front_left,prev_front_left,front,prev_front,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
61,60,120,120,44,43,104,105,0,1,0,0,1,0
61,61,120,120,44,44,104,104,0,1,0,0,1,0
59,61,120,120,44,44,103,104,0,1,0,0,1,0
58,59,120,120,44,44,104,103,0,1,0,0,1,0
57,58,120,120,43,44,103,104,1,0,0,0,1,0
57,57,47,120,44,43,102,103,1,0,0,1,0,0
54,57,43,47,46,44,102,102,1,0,0,1,0,0
53,54,41,43,48,46,104,102,1,0,0,1,0,0
52,53,46,41,47,48,59,104,1,0,0,1,0,0
53,52,46,46,44,47,37,59,1,0,0,1,0,0
55,53,44,46,40,44,33,37,1,0,0,1,0,0
61,55,44,44,39,40,33,33,1,0,0,1,0,0
68,61,45,44,42,39,33,33,1,0,0,1,0,0
79,68,45,45,42,42,33,33,1,0,0,1,0,0
86,79,43,45,37,42,34,33,1,0,0,1,0,0
89,86,41,43,34,37,35,34,1,0,0,1,0,0
92,89,40,41,33,34,37,35,1,0,0,1,0,0
93,92,42,40,31,33,38,37,1,0,0,1,0,0
120,93,44,42,33,31,40,38,1,0,0,1,0,0
120,120,49,44,34,33,43,40,1,0,0,1,0,0
120,120,57,49,32,34,46,43,1,0,0,1,0,0
120,120,68,57,31,32,46,46,1,0,0,1,0,0
120,120,76,68,33,31,43,46,1,0,0,1,0,0
120,120,77,76,35,33,39,43,1,0,0,1,0,0
113,120,78,77,30,35,38,39,1,0,0,1,0,0
103,113,80,78,28,30,39,38,1,0,0,1,0,0
99,103,120,80,29,28,41,39,1,0,0,1,0,0
98,99,120,120,31,29,36,41,0,1,0,1,0,0
99,98,120,120,34,31,33,36,0,1,0,0,1,0
97,99,120,120,35,34,32,33,0,1,0,0,1,0
95,97,120,120,36,35,32,32,0,1,0,0,1,0
95,95,120,120,37,36,32,32,0,1,0,0,1,0
91,95,120,120,37,37,32,32,0,1,0,0,1,0
93,91,120,120,38,37,34,32,0,1,0,0,1,0
90,93,120,120,38,38,33,34,0,1,0,0,1,0
87,90,120,120,38,38,34,33,0,1,0,0,1,0
86,87,120,120,39,38,34,34,0,1,0,0,1,0
84,86,120,120,39,39,34,34,0,1,0,0,1,0
84,84,120,120,40,39,34,34,0,1,0,0,1,0
81,84,120,120,41,40,34,34,0,1,0,0,1,0
81,81,120,120,41,41,34,34,0,1,0,0,1,0
78,81,120,120,42,41,34,34,0,1,0,0,1,0
77,78,120,120,43,42,34,34,0,1,0,0,1,0
77,77,120,120,43,43,34,34,0,1,0,0,1,0
74,77,118,120,44,43,35,34,0,1,0,0,1,0
74,74,114,118,44,44,36,35,0,1,0,0,1,0
72,74,118,114,45,44,36,36,0,1,0,0,1,0
71,72,116,118,45,45,36,36,0,1,0,0,1,0
70,71,115,116,45,45,35,36,0,1,0,0,1,0
70,70,113,115,46,45,34,35,0,1,0,0,1,0
