front_left,prev_front_left,front,prev_front,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
120,120,65,70,110,109,66,65,0,1,0,0,1,0
120,120,67,65,110,110,66,66,0,1,0,0,1,0
76,120,65,67,110,110,66,66,0,1,0,0,1,0
71,76,62,65,109,110,68,66,0,1,0,0,1,0
73,71,61,62,109,109,68,68,0,1,0,0,1,0
72,73,56,61,109,109,69,68,0,1,0,0,1,0
71,72,56,56,109,109,70,69,0,1,0,0,1,0
69,71,55,56,109,109,72,70,0,1,0,0,1,0
67,69,54,55,108,109,73,72,0,1,0,0,1,0
65,67,52,54,108,108,73,73,0,1,0,0,1,0
67,65,50,52,110,108,74,73,1,0,0,0,1,0
65,67,47,50,107,110,75,74,1,0,0,1,0,0
62,65,50,47,110,107,77,75,1,0,0,1,0,0
62,62,51,50,57,110,78,77,1,0,0,1,0,0
62,62,57,51,34,57,80,78,1,0,0,1,0,0
120,62,58,57,31,34,83,80,1,0,0,1,0,0
120,120,57,58,31,31,85,83,1,0,0,1,0,0
120,120,55,57,31,31,91,85,1,0,0,1,0,0
120,120,53,55,31,31,96,91,1,0,0,1,0,0
61,120,52,53,32,31,102,96,1,0,0,1,0,0
58,61,50,52,34,32,111,102,1,0,0,1,0,0
58,58,50,50,34,34,119,111,1,0,0,1,0,0
58,58,47,50,36,34,111,119,1,0,0,1,0,0
58,58,46,47,38,36,102,111,1,0,0,1,0,0
57,58,46,46,40,38,99,102,1,0,0,1,0,0
56,57,46,46,45,40,99,99,1,0,0,1,0,0
54,56,120,46,46,45,46,99,1,0,0,1,0,0
56,54,48,120,44,46,31,46,1,0,0,1,0,0
57,56,47,48,40,44,30,31,1,0,0,1,0,0
62,57,45,47,38,40,29,30,1,0,0,1,0,0
71,62,46,45,38,38,29,29,1,0,0,1,0,0
84,71,47,46,41,38,29,29,1,0,0,1,0,0
89,84,47,47,40,41,30,29,1,0,0,1,0,0
90,89,45,47,35,40,31,30,1,0,0,1,0,0
95,90,43,45,34,35,33,31,1,0,0,1,0,0
120,95,44,43,32,34,34,33,1,0,0,1,0,0
120,120,47,44,33,32,36,34,1,0,0,1,0,0
120,120,51,47,35,33,38,36,1,0,0,1,0,0
120,120,61,51,35,35,41,38,1,0,0,1,0,0
120,120,74,61,33,35,44,41,1,0,0,1,0,0
120,120,79,74,34,33,42,44,1,0,0,1,0,0
119,120,82,79,36,34,39,42,0,1,0,1,0,0
112,119,82,82,36,36,37,39,0,1,0,0,1,0
109,112,86,82,32,36,37,37,0,1,0,0,1,0
108,109,92,86,30,32,38,37,0,1,0,0,1,0
105,108,80,92,29,30,39,38,0,1,0,0,1,0
105,105,120,80,28,29,41,39,1,0,0,0,1,0
104,105,120,120,28,28,42,41,1,0,0,1,0,0
101,104,120,120,29,28,43,42,1,0,0,1,0,0
96,101,120,120,30,29,39,43,1,0,0,1,0,0
94,96,120,120,33,30,35,39,1,0,0,1,0,0
95,94,120,120,35,33,31,35,1,0,0,1,0,0
96,95,120,120,38,35,32,31,0,1,0,1,0,0
102,96,116,120,43,38,30,32,0,1,0,0,1,0
105,102,112,116,45,43,32,30,0,1,0,0,1,0
104,105,109,112,46,45,33,32,0,0,1,0,1,0
104,104,104,109,49,46,31,33,0,0,1,0,0,1
96,104,109,104,46,49,32,31,0,1,0,0,0,1
88,96,118,109,42,46,34,32,0,1,0,0,1,0
84,88,120,118,42,42,34,34,0,1,0,0,1,0
82,84,120,120,42,42,35,34,0,1,0,0,1,0
79,82,120,120,42,42,35,35,0,1,0,0,1,0
77,79,120,120,42,42,35,35,0,1,0,0,1,0
78,77,120,120,43,42,35,35,0,1,0,0,1,0
75,78,120,120,43,43,35,35,0,1,0,0,1,0
73,75,120,120,43,43,36,35,0,1,0,0,1,0
74,73,120,120,44,43,36,36,0,1,0,0,1,0
73,74,120,120,44,44,37,36,0,1,0,0,1,0
72,73,120,120,44,44,38,37,0,1,0,0,1,0
71,72,120,120,45,44,37,38,0,1,0,0,1,0
69,71,118,120,45,45,37,37,0,1,0,0,1,0
69,69,119,118,45,45,35,37,0,1,0,0,1,0
69,69,118,119,45,45,34,35,0,1,0,0,1,0
68,69,115,118,45,45,33,34,0,1,0,0,1,0
