front_left,prev_front_left,front,prev_front,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
106,104,90,90,49,50,48,48,0,1,0,0,1,0
107,106,90,90,50,49,47,48,0,1,0,0,1,0
100,107,89,90,50,50,47,47,0,1,0,0,1,0
103,100,89,89,49,50,47,47,0,1,0,0,1,0
99,103,86,89,49,49,48,47,0,1,0,0,1,0
96,99,85,86,49,49,48,48,0,1,0,0,1,0
96,96,82,85,49,49,48,48,0,1,0,0,1,0
93,96,82,82,49,49,48,48,0,1,0,0,1,0
91,93,80,82,48,49,48,48,0,1,0,0,1,0
90,91,78,80,47,48,48,48,0,1,0,0,1,0
88,90,75,78,48,47,48,48,0,1,0,0,1,0
83,88,75,75,47,48,48,48,0,1,0,0,1,0
83,83,73,75,47,47,48,48,0,1,0,0,1,0
84,83,71,73,47,47,48,48,0,1,0,0,1,0
80,84,71,71,47,47,48,48,0,1,0,0,1,0
80,80,71,71,47,47,48,48,0,1,0,0,1,0
77,80,69,71,46,47,49,48,0,1,0,0,1,0
78,77,68,69,47,46,49,49,0,1,0,0,1,0
74,78,66,68,46,47,49,49,0,1,0,0,1,0
74,74,65,66,46,46,48,49,0,1,0,0,1,0
73,74,63,65,46,46,48,48,0,1,0,0,1,0
73,73,62,63,45,46,48,48,0,1,0,0,1,0
70,73,61,62,45,45,47,48,0,1,0,0,1,0
70,70,59,61,46,45,48,47,0,1,0,0,1,0
68,70,57,59,46,46,47,48,0,1,0,0,1,0
69,68,57,57,45,46,47,47,0,1,0,0,1,0
67,69,55,57,46,45,47,47,1,0,0,0,1,0
66,67,54,55,46,46,47,47,1,0,0,1,0,0
65,66,53,54,46,46,45,47,1,0,0,1,0,0
65,65,53,53,49,46,44,45,1,0,0,1,0,0
64,65,52,53,52,49,41,44,1,0,0,1,0,0
64,64,51,52,56,52,40,41,1,0,0,1,0,0
66,64,52,51,61,56,38,40,1,0,0,1,0,0
70,66,50,52,60,61,38,38,1,0,0,1,0,0
75,70,51,50,57,60,37,38,1,0,0,1,0,0
81,75,52,51,54,57,37,37,1,0,0,1,0,0
86,81,52,52,50,54,36,37,1,0,0,1,0,0
99,86,53,52,48,50,35,36,1,0,0,1,0,0
103,99,53,53,45,48,36,35,1,0,0,1,0,0
120,103,53,53,44,45,38,36,1,0,0,1,0,0
120,120,56,53,42,44,39,38,1,0,0,1,0,0
120,120,61,56,41,42,41,39,1,0,0,1,0,0
120,120,70,61,39,41,43,41,1,0,0,1,0,0
120,120,73,70,38,39,46,43,1,0,0,1,0,0
120,120,79,73,39,38,49,46,1,0,0,1,0,0
120,120,86,79,40,39,53,49,1,0,0,1,0,0
120,120,120,86,41,40,57,53,1,0,0,1,0,0
120,120,120,120,42,41,60,57,1,0,0,1,0,0
120,120,120,120,43,42,58,60,0,1,0,1,0,0
120,120,120,120,41,43,54,58,0,1,0,0,1,0
120,120,120,120,41,41,52,54,0,1,0,0,1,0
120,120,120,120,40,41,52,52,0,1,0,0,1,0
120,120,120,120,41,40,51,52,0,1,0,0,1,0
120,120,120,120,42,41,50,51,1,0,0,0,1,0
120,120,120,120,42,42,50,50,0,1,0,1,0,0
120,120,120,120,46,42,49,50,0,1,0,0,1,0
120,120,120,120,49,46,46,49,0,1,0,0,1,0
120,120,120,120,49,49,47,46,0,1,0,0,1,0
120,120,120,120,49,49,47,47,0,1,0,0,1,0
120,120,120,120,49,49,48,47,0,1,0,0,1,0
120,120,120,120,49,49,46,48,0,1,0,0,1,0
120,120,120,120,50,49,46,46,0,1,0,0,1,0
120,120,120,120,49,50,46,46,0,1,0,0,1,0
120,120,120,120,49,49,46,46,0,1,0,0,1,0
120,120,120,120,49,49,46,46,0,1,0,0,1,0
120,120,120,120,50,49,46,46,0,1,0,0,1,0
120,120,120,120,50,50,46,46,0,1,0,0,1,0
120,120,120,120,50,50,46,46,0,1,0,0,1,0
120,120,120,120,50,50,46,46,0,1,0,0,1,0
120,120,120,120,50,50,46,46,0,1,0,0,1,0
120,120,120,120,50,50,45,46,0,1,0,0,1,0
120,120,120,120,50,50,45,45,0,1,0,0,1,0
120,120,120,120,51,50,45,45,0,1,0,0,1,0
120,120,120,120,51,51,45,45,0,1,0,0,1,0
120,120,120,120,51,51,45,45,0,1,0,0,1,0
120,120,120,120,51,51,45,45,0,1,0,0,1,0
120,120,120,120,51,51,45,45,0,1,0,0,1,0
120,120,120,120,50,51,46,45,0,1,0,0,1,0
120,120,120,120,51,50,45,46,0,1,0,0,1,0
120,120,120,120,51,51,45,45,0,1,0,0,1,0
120,120,120,120,51,51,45,45,0,1,0,0,1,0
120,120,120,120,51,51,45,45,0,1,0,0,1,0
120,120,120,120,51,51,44,45,0,1,0,0,1,0
120,120,120,120,51,51,43,44,0,1,0,0,1,0
120,120,120,120,51,51,42,43,0,1,0,0,1,0
