front_left,prev_front_left,front,prev_front,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
120,120,120,120,19,19,16,16,0,1,0,0,1,0
120,120,120,120,19,19,16,16,0,1,0,0,1,0
120,120,120,120,19,19,16,16,0,1,0,0,1,0
120,120,120,120,19,19,16,16,0,1,0,0,1,0
120,120,120,120,19,19,16,16,1,0,0,0,1,0
120,120,120,120,19,19,16,16,1,0,0,1,0,0
120,120,120,120,20,19,15,16,1,0,0,1,0,0
120,120,120,120,22,20,14,15,1,0,0,1,0,0
120,120,120,120,24,22,13,14,1,0,0,1,0,0
120,120,120,120,27,24,13,13,1,0,0,1,0,0
120,120,120,120,31,27,12,13,1,0,0,1,0,0
120,120,120,120,36,31,12,12,1,0,0,1,0,0
120,120,120,120,42,36,12,12,1,0,0,1,0,0
120,120,120,120,50,42,13,12,1,0,0,1,0,0
120,120,120,120,60,50,13,13,0,1,0,1,0,0
120,120,120,120,74,60,14,13,0,1,0,0,1,0
120,120,120,120,81,74,15,14,0,1,0,0,1,0
120,120,120,120,82,81,16,15,0,1,0,0,1,0
120,120,120,120,88,82,17,16,0,1,0,0,1,0
120,120,120,120,89,88,18,17,0,1,0,0,1,0
120,120,120,120,93,89,19,18,0,1,0,0,1,0
120,120,120,120,94,93,20,19,0,1,0,0,1,0
120,120,120,120,98,94,21,20,0,1,0,0,1,0
120,120,120,120,120,98,22,21,0,1,0,0,1,0
120,120,120,120,113,120,23,22,0,1,0,0,1,0
120,120,120,120,116,113,24,23,0,1,0,0,1,0
120,120,120,120,120,116,25,24,0,1,0,0,1,0
120,120,120,120,120,120,26,25,0,1,0,0,1,0
120,120,120,120,120,120,27,26,0,1,0,0,1,0
120,120,120,120,120,120,28,27,0,0,1,0,1,0
120,120,120,120,120,120,30,28,0,0,1,0,0,1
120,120,120,120,120,120,30,30,0,0,1,0,0,1
120,120,120,120,120,120,31,30,0,0,1,0,0,1
120,120,120,120,94,120,32,31,0,0,1,0,0,1
120,120,120,120,89,94,33,32,0,0,1,0,0,1
120,120,120,120,82,89,35,33,0,0,1,0,0,1
120,120,120,120,77,82,35,35,0,0,1,0,0,1
120,120,120,120,71,77,37,35,0,0,1,0,0,1
120,120,120,120,66,71,37,37,0,0,1,0,0,1
120,120,120,120,62,66,39,37,0,0,1,0,0,1
120,120,120,120,57,62,41,39,0,1,0,0,0,1
120,120,120,120,54,57,43,41,0,1,0,0,1,0
120,120,120,120,52,54,44,43,0,1,0,0,1,0
120,120,120,120,53,52,44,44,0,1,0,0,1,0
120,120,120,120,52,53,44,44,0,1,0,0,1,0
120,120,120,120,52,52,44,44,0,1,0,0,1,0
120,120,120,120,53,52,45,44,0,1,0,0,1,0
120,120,120,120,52,53,45,45,0,1,0,0,1,0
120,120,120,120,53,52,45,45,0,1,0,0,1,0
120,120,120,120,52,53,45,45,0,1,0,0,1,0
120,120,120,120,54,52,45,45,0,1,0,0,1,0
120,120,120,120,53,54,45,45,0,1,0,0,1,0
120,120,120,120,53,53,45,45,0,1,0,0,1,0
120,120,120,120,53,53,45,45,0,1,0,0,1,0
120,120,120,120,53,53,45,45,0,1,0,0,1,0
120,120,120,120,54,53,45,45,0,1,0,0,1,0
120,120,120,120,53,54,46,45,0,1,0,0,1,0
120,120,120,120,54,53,45,46,0,1,0,0,1,0
120,120,120,120,55,54,46,45,0,1,0,0,1,0
120,120,120,120,55,55,46,46,0,1,0,0,1,0
120,120,120,120,55,55,46,46,0,1,0,0,1,0
120,120,120,120,54,55,46,46,0,1,0,0,1,0
120,120,120,120,55,54,46,46,0,1,0,0,1,0
