front_left,prev_front_left,front,prev_front,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
87,87,67,68,120,120,56,54,0,1,0,0,1,0
87,87,67,67,120,120,54,56,0,1,0,0,1,0
85,87,66,67,120,120,52,54,0,1,0,0,1,0
84,85,63,66,120,120,51,52,0,1,0,0,1,0
84,84,62,63,120,120,49,51,0,1,0,0,1,0
84,84,60,62,120,120,51,49,0,1,0,0,1,0
81,84,58,60,120,120,52,51,0,1,0,0,1,0
81,81,56,58,120,120,53,52,0,1,0,0,1,0
80,81,55,56,120,120,53,53,0,1,0,0,1,0
79,80,53,55,120,120,54,53,0,1,0,0,1,0
78,79,51,53,47,120,55,54,1,0,0,0,1,0
77,78,50,51,52,47,55,55,1,0,0,1,0,0
75,77,50,50,47,52,57,55,1,0,0,1,0,0
73,75,52,50,44,47,58,57,1,0,0,1,0,0
72,73,55,52,43,44,60,58,1,0,0,1,0,0
70,72,61,55,43,43,62,60,1,0,0,1,0,0
69,70,65,61,38,43,63,62,1,0,0,1,0,0
67,69,66,65,34,38,68,63,1,0,0,1,0,0
67,67,65,66,34,34,68,68,1,0,0,1,0,0
66,67,65,65,34,34,65,68,1,0,0,1,0,0
67,66,63,65,35,34,63,65,1,0,0,1,0,0
66,67,62,63,36,35,61,63,1,0,0,1,0,0
66,66,60,62,37,36,62,61,0,1,0,1,0,0
69,66,58,60,39,37,57,62,0,1,0,0,1,0
68,69,57,58,40,39,120,57,0,1,0,0,1,0
66,68,56,57,40,40,120,120,0,1,0,0,1,0
65,66,54,56,40,40,120,120,0,1,0,0,1,0
62,65,53,54,40,40,120,120,0,1,0,0,1,0
61,62,52,53,40,40,120,120,1,0,0,0,1,0
60,61,50,52,41,40,48,120,1,0,0,1,0,0
60,60,48,50,43,41,45,48,1,0,0,1,0,0
61,60,47,48,46,43,43,45,1,0,0,1,0,0
63,61,47,47,49,46,42,43,1,0,0,1,0,0
63,63,46,47,49,49,37,42,1,0,0,1,0,0
63,63,46,46,45,49,33,37,1,0,0,1,0,0
63,63,45,46,45,45,32,33,1,0,0,1,0,0
68,63,46,45,45,45,31,32,1,0,0,1,0,0
80,68,47,46,43,45,31,31,1,0,0,1,0,0
90,80,48,47,41,43,31,31,1,0,0,1,0,0
