front_left,prev_front_left,front,prev_front,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
120,120,120,120,18,18,11,11,0,1,0,0,1,0
120,120,120,120,18,18,11,11,0,1,0,0,1,0
120,120,120,120,18,18,11,11,0,1,0,0,1,0
120,120,120,120,18,18,11,11,1,0,0,0,1,0
120,120,120,120,18,18,11,11,1,0,0,1,0,0
120,120,120,120,20,18,11,11,1,0,0,1,0,0
120,120,120,120,22,20,10,11,1,0,0,1,0,0
120,120,120,120,25,22,10,10,1,0,0,1,0,0
120,120,120,120,28,25,10,10,1,0,0,1,0,0
120,120,120,120,33,28,10,10,1,0,0,1,0,0
120,120,120,120,39,33,10,10,1,0,0,1,0,0
120,120,120,120,46,39,10,10,1,0,0,1,0,0
120,120,120,120,57,46,10,10,0,1,0,1,0,0
98,120,120,120,72,57,11,10,0,1,0,0,1,0
99,98,120,120,85,72,12,11,0,1,0,0,1,0
99,99,120,120,95,85,13,12,0,1,0,0,1,0
98,99,120,120,99,95,14,13,0,1,0,0,1,0
99,98,120,120,117,99,15,14,0,1,0,0,1,0
98,99,120,120,120,117,16,15,0,1,0,0,1,0
99,98,120,120,120,120,18,16,0,1,0,0,1,0
99,99,120,120,120,120,19,18,0,1,0,0,1,0
98,99,120,120,120,120,20,19,0,1,0,0,1,0
96,98,120,120,120,120,21,20,0,1,0,0,1,0
102,96,120,120,120,120,22,21,0,1,0,0,1,0
105,102,120,120,120,120,23,22,0,1,0,0,1,0
102,105,120,120,120,120,24,23,0,1,0,0,1,0
104,102,120,120,120,120,25,24,0,1,0,0,1,0
103,104,120,120,120,120,27,25,0,1,0,0,1,0
104,103,120,120,120,120,28,27,0,1,0,0,1,0
100,104,120,120,120,120,29,28,0,0,1,0,1,0
120,100,120,120,120,120,30,29,0,0,1,0,0,1
120,120,120,120,120,120,31,30,0,0,1,0,0,1
120,120,120,120,120,120,32,31,0,0,1,0,0,1
120,120,90,120,120,120,32,32,0,0,1,0,0,1
120,120,120,90,100,120,33,32,0,0,1,0,0,1
120,120,120,120,90,100,34,33,0,0,1,0,0,1
120,120,91,120,83,90,35,34,0,0,1,0,0,1
113,120,120,91,75,83,36,35,0,0,1,0,0,1
120,113,120,120,69,75,38,36,0,0,1,0,0,1
120,120,120,120,64,69,39,38,0,0,1,0,0,1
120,120,120,120,59,64,41,39,0,0,1,0,0,1
120,120,120,120,57,59,43,41,0,1,0,0,0,1
120,120,120,120,53,57,44,43,0,1,0,0,1,0
120,120,117,120,51,53,46,44,0,1,0,0,1,0
74,120,116,117,52,51,46,46,0,1,0,0,1,0
67,74,111,116,51,52,46,46,0,1,0,0,1,0
68,67,111,111,52,51,46,46,0,1,0,0,1,0
68,68,110,111,52,52,47,46,0,1,0,0,1,0
120,68,110,110,51,52,46,47,0,1,0,0,1,0
68,120,106,110,52,51,47,46,0,1,0,0,1,0
67,68,103,106,52,52,46,47,0,1,0,0,1,0
120,67,104,103,51,52,46,46,0,1,0,0,1,0
68,120,103,104,51,51,47,46,0,1,0,0,1,0
65,68,101,103,51,51,46,47,0,1,0,0,1,0
70,65,97,101,51,51,47,46,0,1,0,0,1,0
120,70,97,97,51,51,46,47,0,1,0,0,1,0
70,120,96,97,51,51,46,46,0,1,0,0,1,0
72,70,92,96,52,51,47,46,0,1,0,0,1,0
70,72,92,92,52,52,47,47,0,1,0,0,1,0
67,70,90,92,52,52,47,47,0,1,0,0,1,0
69,67,89,90,52,52,47,47,0,1,0,0,1,0
66,69,88,89,51,52,47,47,0,1,0,0,1,0
75,66,87,88,52,51,47,47,0,1,0,0,1,0
71,75,85,87,52,52,47,47,0,1,0,0,1,0
