front_left,prev_front_left,front,prev_front,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
68,68,77,78,118,120,27,28,0,1,0,0,1,0
68,68,77,77,112,118,32,27,0,1,0,0,1,0
67,68,74,77,103,112,52,32,0,1,0,0,1,0
65,67,75,74,100,103,67,52,0,1,0,0,1,0
64,65,73,75,95,100,75,67,0,1,0,0,1,0
62,64,70,73,90,95,76,75,0,1,0,0,1,0
61,62,70,70,90,90,79,76,0,1,0,0,1,0
60,61,71,70,87,90,79,79,1,0,0,0,1,0
59,60,68,71,88,87,82,79,1,0,0,1,0,0
57,59,65,68,86,88,82,82,1,0,0,1,0,0
57,57,61,65,89,86,78,82,1,0,0,1,0,0
58,57,56,61,91,89,89,78,1,0,0,1,0,0
58,58,53,56,91,91,105,89,1,0,0,1,0,0
59,58,50,53,91,91,117,105,1,0,0,1,0,0
61,59,48,50,88,91,120,117,1,0,0,1,0,0
61,61,47,48,88,88,120,120,1,0,0,1,0,0
62,61,46,47,83,88,120,120,1,0,0,1,0,0
61,62,46,46,77,83,120,120,1,0,0,1,0,0
57,61,46,46,120,77,120,120,1,0,0,1,0,0
54,57,46,46,57,120,120,120,1,0,0,1,0,0
52,54,46,46,53,57,120,120,1,0,0,1,0,0
51,52,48,46,49,53,120,120,1,0,0,1,0,0
120,51,49,48,43,49,86,120,1,0,0,1,0,0
120,120,51,49,39,43,84,86,1,0,0,1,0,0
120,120,51,51,38,39,84,84,1,0,0,1,0,0
120,120,49,51,36,38,87,84,1,0,0,1,0,0
120,120,46,49,35,36,89,87,1,0,0,1,0,0
120,120,42,46,34,35,91,89,1,0,0,1,0,0
120,120,41,42,34,34,89,91,1,0,0,1,0,0
120,120,41,41,34,34,84,89,1,0,0,1,0,0
120,120,38,41,35,34,83,84,1,0,0,1,0,0
120,120,120,38,36,35,80,83,1,0,0,1,0,0
120,120,120,120,37,36,120,80,1,0,0,1,0,0
120,120,120,120,40,37,55,120,1,0,0,1,0,0
98,120,120,120,41,40,50,55,1,0,0,1,0,0
81,98,120,120,41,41,44,50,1,0,0,1,0,0
73,81,120,120,36,41,40,44,1,0,0,1,0,0
66,73,120,120,30,36,36,40,1,0,0,1,0,0
61,66,120,120,30,30,35,36,1,0,0,1,0,0
57,61,120,120,33,30,33,35,1,0,0,1,0,0
52,57,120,120,37,33,33,33,1,0,0,1,0,0
51,52,117,120,120,37,32,33,0,1,0,1,0,0
48,51,94,117,120,120,32,32,0,1,0,0,1,0
46,48,82,94,120,120,32,32,0,1,0,0,1,0
46,46,77,82,120,120,33,32,0,1,0,0,1,0
44,46,75,77,120,120,34,33,0,1,0,0,1,0
43,44,73,75,120,120,35,34,0,1,0,0,1,0
42,43,73,73,120,120,36,35,0,1,0,0,1,0
41,42,73,73,120,120,36,36,0,1,0,0,1,0
41,41,70,73,120,120,37,36,0,1,0,0,1,0
40,41,67,70,120,120,38,37,0,1,0,0,1,0
38,40,68,67,120,120,39,38,0,1,0,0,1,0
36,38,64,68,120,120,40,39,0,1,0,0,1,0
36,36,63,64,120,120,40,40,0,1,0,0,1,0
34,36,63,63,120,120,42,40,0,1,0,0,1,0
33,34,61,63,120,120,42,42,0,1,0,0,1,0
32,33,59,61,120,120,43,42,0,1,0,0,1,0
31,32,58,59,120,120,43,43,0,0,1,0,1,0
30,31,56,58,119,120,44,43,0,0,1,0,0,1
31,30,60,56,120,119,44,44,0,0,1,0,0,1
32,31,72,60,120,120,45,44,0,0,1,0,0,1
34,32,88,72,120,120,48,45,0,0,1,0,0,1
37,34,104,88,120,120,49,48,0,0,1,0,0,1
39,37,105,104,120,120,51,49,0,0,1,0,0,1
43,39,103,105,120,120,53,51,0,0,1,0,0,1
48,43,100,103,120,120,55,53,0,0,1,0,0,1
52,48,99,100,120,120,57,55,0,1,0,0,0,1
61,52,98,99,120,120,60,57,0,1,0,0,1,0
66,61,97,98,120,120,62,60,0,1,0,0,1,0
71,66,97,97,120,120,62,62,0,1,0,0,1,0
73,71,94,97,120,120,62,62,0,1,0,0,1,0
76,73,92,94,120,120,63,62,0,1,0,0,1,0
82,76,91,92,120,120,64,63,0,1,0,0,1,0
84,82,91,91,120,120,64,64,0,1,0,0,1,0
86,84,88,91,120,120,63,64,0,1,0,0,1,0
88,86,87,88,120,120,64,63,0,1,0,0,1,0
88,88,86,87,120,120,64,64,0,1,0,0,1,0
89,88,85,86,120,120,65,64,0,1,0,0,1,0
90,89,82,85,120,120,65,65,0,1,0,0,1,0
89,90,81,82,120,120,65,65,0,1,0,0,1,0
87,89,80,81,120,120,65,65,0,1,0,0,1,0
86,87,77,80,120,120,64,65,0,1,0,0,1,0
84,86,77,77,120,120,62,64,0,1,0,0,1,0
83,84,75,77,120,120,59,62,0,0,1,0,1,0
80,83,74,75,120,120,57,59,0,0,1,0,0,1
78,80,73,74,120,120,60,57,0,0,1,0,0,1
75,78,72,73,120,120,68,60,0,0,1,0,0,1
73,75,72,72,120,120,76,68,0,0,1,0,0,1
71,73,72,72,120,120,79,76,0,0,1,0,0,1
68,71,73,72,120,120,88,79,0,0,1,0,0,1
67,68,76,73,120,120,101,88,0,0,1,0,0,1
66,67,80,76,120,120,120,101,0,0,1,0,0,1
66,66,120,80,120,120,120,120,0,0,1,0,0,1
64,66,120,120,120,120,120,120,0,0,1,0,0,1
65,64,120,120,120,120,120,120,0,0,1,0,0,1
64,65,120,120,88,120,120,120,0,0,1,0,0,1
65,64,120,120,87,88,120,120,0,0,1,0,0,1
66,65,120,120,80,87,120,120,0,0,1,0,0,1
67,66,120,120,75,80,120,120,0,0,1,0,0,1
120,67,120,120,70,75,120,120,0,0,1,0,0,1
120,120,120,120,66,70,54,120,0,0,1,0,0,1
120,120,120,120,60,66,56,54,0,0,1,0,0,1
120,120,120,120,56,60,60,56,0,0,1,0,0,1
120,120,120,120,53,56,66,60,0,1,0,0,0,1
120,120,120,120,49,53,62,66,0,1,0,0,1,0
120,120,120,120,49,49,63,62,0,1,0,0,1,0
120,120,120,120,48,49,65,63,0,1,0,0,1,0
120,120,120,120,48,48,66,65,0,1,0,0,1,0
120,120,120,120,48,48,67,66,0,1,0,0,1,0
120,120,120,120,48,48,64,67,0,1,0,0,1,0
120,120,120,120,48,48,70,64,0,1,0,0,1,0
120,120,120,120,47,48,70,70,0,1,0,0,1,0
120,120,120,120,47,47,70,70,0,1,0,0,1,0
120,120,120,120,47,47,71,70,0,1,0,0,1,0
120,120,120,120,46,47,69,71,0,1,0,0,1,0
120,120,120,120,46,46,73,69,0,1,0,0,1,0
120,120,120,120,47,46,70,73,0,1,0,0,1,0
120,120,120,120,46,47,72,70,0,1,0,0,1,0
120,120,120,120,45,46,67,72,0,1,0,0,1,0
120,120,120,120,45,45,67,67,0,1,0,0,1,0
120,120,120,120,45,45,53,67,0,1,0,0,1,0
120,120,120,120,45,45,60,53,0,1,0,0,1,0
120,120,120,120,45,45,120,60,0,1,0,0,1,0
120,120,120,120,45,45,56,120,0,1,0,0,1,0
120,120,120,120,45,45,120,56,0,1,0,0,1,0
120,120,120,120,45,45,120,120,0,1,0,0,1,0
120,120,120,120,44,45,120,120,0,1,0,0,1,0
120,120,120,120,45,44,120,120,0,1,0,0,1,0
120,120,120,120,45,45,120,120,0,1,0,0,1,0
120,120,120,120,44,45,120,120,0,1,0,0,1,0
120,120,120,120,44,44,120,120,0,1,0,0,1,0
120,120,120,120,45,44,120,120,0,1,0,0,1,0
120,120,120,120,44,45,20,120,0,1,0,0,1,0
120,120,120,120,45,44,33,20,0,1,0,0,1,0
120,120,120,120,44,45,37,33,0,1,0,0,1,0
120,120,120,120,44,44,38,37,0,1,0,0,1,0
120,120,120,120,43,44,40,38,0,1,0,0,1,0
120,120,120,120,43,43,40,40,0,1,0,0,1,0
120,120,120,120,43,43,39,40,0,1,0,0,1,0
120,120,120,120,43,43,40,39,0,1,0,0,1,0
120,120,120,120,42,43,39,40,0,1,0,0,1,0
120,120,120,120,42,42,40,39,0,1,0,0,1,0
120,120,120,120,42,42,41,40,0,1,0,0,1,0
120,120,120,120,41,42,41,41,1,0,0,0,1,0
120,120,120,120,41,41,42,41,0,1,0,1,0,0
120,120,120,120,42,41,41,42,0,1,0,0,1,0
120,120,120,120,43,42,41,41,0,1,0,0,1,0
120,120,120,120,43,43,41,41,0,1,0,0,1,0
120,120,120,120,42,43,40,41,0,1,0,0,1,0
120,120,120,120,42,42,40,40,0,1,0,0,1,0
120,120,120,120,42,42,40,40,0,1,0,0,1,0
120,120,120,120,43,42,40,40,0,1,0,0,1,0
120,120,120,120,44,43,39,40,0,1,0,0,1,0
120,120,120,120,44,44,40,39,0,1,0,0,1,0
120,120,120,120,45,44,39,40,0,1,0,0,1,0
120,120,120,120,45,45,39,39,0,1,0,0,1,0
120,120,120,120,44,45,39,39,0,1,0,0,1,0
120,120,120,120,46,44,40,39,0,1,0,0,1,0
120,120,120,120,47,46,39,40,0,1,0,0,1,0
