front_left,prev_front_left,front,prev_front,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
79,79,63,63,71,66,120,120,0,1,0,0,1,0
78,79,63,63,66,71,120,120,0,1,0,0,1,0
77,78,62,63,62,66,120,120,0,1,0,0,1,0
75,77,60,62,67,62,120,120,0,1,0,0,1,0
73,75,59,60,64,67,120,120,0,1,0,0,1,0
70,73,58,59,62,64,120,120,0,1,0,0,1,0
69,70,56,58,68,62,120,120,0,1,0,0,1,0
67,69,55,56,71,68,120,120,1,0,0,0,1,0
65,67,54,55,70,71,120,120,1,0,0,1,0,0
66,65,52,54,74,70,120,120,1,0,0,1,0,0
67,66,52,52,74,74,120,120,1,0,0,1,0,0
70,67,51,52,71,74,120,120,1,0,0,1,0,0
74,70,51,51,66,71,120,120,1,0,0,1,0,0
77,74,51,51,62,66,120,120,1,0,0,1,0,0
80,77,51,51,60,62,120,120,1,0,0,1,0,0
82,80,50,51,54,60,120,120,1,0,0,1,0,0
84,82,51,50,51,54,120,120,1,0,0,1,0,0
80,84,52,51,48,51,120,120,1,0,0,1,0,0
77,80,53,52,46,48,120,120,1,0,0,1,0,0
76,77,54,53,44,46,120,120,1,0,0,1,0,0
77,76,56,54,42,44,120,120,1,0,0,1,0,0
79,77,59,56,41,42,120,120,1,0,0,1,0,0
120,79,64,59,39,41,120,120,1,0,0,1,0,0
120,120,69,64,39,39,120,120,1,0,0,1,0,0
120,120,69,69,37,39,120,120,1,0,0,1,0,0
120,120,69,69,36,37,87,120,1,0,0,1,0,0
120,120,66,69,37,36,80,87,1,0,0,1,0,0
120,120,63,66,39,37,73,80,1,0,0,1,0,0
120,120,62,63,39,39,65,73,1,0,0,1,0,0
120,120,63,62,40,39,60,65,0,1,0,1,0,0
120,120,68,63,42,40,54,60,0,1,0,0,1,0
120,120,72,68,42,42,52,54,0,1,0,0,1,0
120,120,120,72,42,42,51,52,0,1,0,0,1,0
120,120,120,120,43,42,50,51,0,1,0,0,1,0
120,120,120,120,43,43,49,50,0,1,0,0,1,0
120,120,120,120,42,43,49,49,0,1,0,0,1,0
120,120,120,120,43,42,49,49,0,1,0,0,1,0
120,120,120,120,43,43,49,49,0,1,0,0,1,0
120,120,120,120,42,43,49,49,0,1,0,0,1,0
120,120,120,120,42,42,49,49,0,1,0,0,1,0
120,120,120,120,42,42,48,49,0,1,0,0,1,0
120,120,120,120,42,42,48,48,1,0,0,0,1,0
120,120,120,120,42,42,48,48,1,0,0,1,0,0
120,120,120,120,42,42,46,48,1,0,0,1,0,0
120,120,120,120,46,42,43,46,1,0,0,1,0,0
120,120,120,120,47,46,41,43,1,0,0,1,0,0
120,120,120,120,47,47,39,41,1,0,0,1,0,0
120,120,120,120,43,47,38,39,1,0,0,1,0,0
120,120,120,120,38,43,37,38,1,0,0,1,0,0
120,120,120,120,35,38,36,37,1,0,0,1,0,0
120,120,120,120,35,35,35,36,1,0,0,1,0,0
120,120,120,120,39,35,35,35,1,0,0,1,0,0
120,120,120,120,46,39,35,35,0,1,0,1,0,0
120,120,120,120,54,46,35,35,0,1,0,0,1,0
120,120,120,120,56,54,36,35,0,1,0,0,1,0
120,120,120,120,56,56,38,36,0,1,0,0,1,0
120,120,120,120,58,56,38,38,0,1,0,0,1,0
120,120,120,120,58,58,39,38,0,1,0,0,1,0
120,120,120,120,59,58,40,39,0,1,0,0,1,0
120,120,120,120,60,59,41,40,0,1,0,0,1,0
120,120,120,120,60,60,42,41,0,1,0,0,1,0
120,120,120,120,59,60,43,42,0,1,0,0,1,0
120,120,120,120,58,59,43,43,0,1,0,0,1,0
120,120,120,120,55,58,44,43,0,1,0,0,1,0
120,120,120,120,56,55,46,44,0,1,0,0,1,0
120,120,120,120,120,56,46,46,0,1,0,0,1,0
120,120,120,120,56,120,47,46,0,1,0,0,1,0
120,120,120,120,120,56,48,47,0,0,1,0,1,0
120,120,120,120,57,120,49,48,0,0,1,0,0,1
120,120,120,120,120,57,49,49,0,0,1,0,0,1
120,120,120,120,58,120,50,49,0,0,1,0,0,1
120,120,120,120,59,58,50,50,0,0,1,0,0,1
120,120,120,120,58,59,52,50,0,0,1,0,0,1
120,120,120,120,57,58,54,52,0,0,1,0,0,1
120,120,120,120,55,57,54,54,0,0,1,0,0,1
120,120,120,120,53,55,56,54,0,0,1,0,0,1
120,120,120,120,51,53,57,56,0,0,1,0,0,1
120,120,120,120,48,51,59,57,0,0,1,0,0,1
120,120,120,120,46,48,61,59,0,1,0,0,0,1
120,120,120,120,44,46,63,61,0,1,0,0,1,0
120,120,120,120,44,44,65,63,0,1,0,0,1,0
120,120,120,120,43,44,64,65,0,1,0,0,1,0
120,120,120,120,43,43,64,64,0,1,0,0,1,0
120,120,120,120,43,43,64,64,0,1,0,0,1,0
120,120,120,120,44,43,65,64,0,1,0,0,1,0
120,120,120,120,45,44,65,65,0,1,0,0,1,0
120,120,120,120,44,45,65,65,0,1,0,0,1,0
120,120,120,120,44,44,65,65,0,1,0,0,1,0
120,120,120,120,44,44,66,65,0,1,0,0,1,0
120,120,120,120,44,44,66,66,0,1,0,0,1,0
120,120,120,120,44,44,66,66,0,1,0,0,1,0
120,120,120,120,43,44,66,66,0,1,0,0,1,0
120,120,120,120,43,43,66,66,0,1,0,0,1,0
120,120,120,120,43,43,66,66,0,1,0,0,1,0
120,120,120,120,43,43,66,66,0,1,0,0,1,0
120,120,120,120,43,43,66,66,0,1,0,0,1,0
120,120,120,120,42,43,63,66,0,1,0,0,1,0
120,120,120,120,43,42,60,63,0,1,0,0,1,0
120,120,120,120,43,43,57,60,0,1,0,0,1,0
120,120,120,120,43,43,52,57,0,1,0,0,1,0
120,120,120,120,42,43,49,52,0,1,0,0,1,0
120,120,120,120,43,42,46,49,0,1,0,0,1,0
120,120,120,120,41,43,43,46,0,1,0,0,1,0
120,120,120,120,39,41,41,43,0,1,0,0,1,0
120,120,120,120,43,39,40,41,0,1,0,0,1,0
120,120,120,120,120,43,40,40,0,1,0,0,1,0
120,120,120,120,120,120,39,40,0,1,0,0,1,0
120,120,120,120,41,120,39,39,0,1,0,0,1,0
120,120,120,120,39,41,39,39,0,1,0,0,1,0
120,120,120,120,41,39,39,39,0,1,0,0,1,0
120,120,120,120,36,41,39,39,0,1,0,0,1,0
120,120,120,120,120,36,39,39,0,1,0,0,1,0
120,120,120,120,120,120,40,39,0,1,0,0,1,0
120,120,120,120,120,120,39,40,0,1,0,0,1,0
120,120,120,120,41,120,40,39,0,1,0,0,1,0
120,120,120,120,120,41,40,40,0,1,0,0,1,0
120,120,120,120,39,120,40,40,0,1,0,0,1,0
120,120,120,120,120,39,40,40,0,1,0,0,1,0
120,120,120,120,120,120,40,40,0,1,0,0,1,0
120,120,120,120,120,120,41,40,0,1,0,0,1,0
120,120,120,120,120,120,41,41,0,1,0,0,1,0
120,120,120,120,120,120,41,41,0,1,0,0,1,0
120,120,120,120,120,120,41,41,0,1,0,0,1,0
120,120,120,120,120,120,41,41,0,1,0,0,1,0
120,120,120,120,41,120,41,41,0,0,1,0,1,0
120,120,120,120,38,41,41,41,0,0,1,0,0,1
120,120,120,120,120,38,42,41,0,0,1,0,0,1
120,120,120,120,34,120,44,42,0,0,1,0,0,1
120,120,120,120,120,34,46,44,0,0,1,0,0,1
120,120,120,120,120,120,49,46,0,0,1,0,0,1
120,120,120,120,120,120,52,49,0,0,1,0,0,1
120,120,120,120,120,120,56,52,0,0,1,0,0,1
120,120,120,120,120,120,60,56,0,0,1,0,0,1
120,120,120,120,120,120,66,60,0,0,1,0,0,1
120,120,120,120,120,120,72,66,0,0,1,0,0,1
120,120,120,120,120,120,84,72,0,0,1,0,0,1
120,120,120,120,120,120,100,84,0,0,1,0,0,1
120,120,120,120,120,120,120,100,0,0,1,0,0,1
120,120,120,120,120,120,120,120,0,1,0,0,0,1
