front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5,
400,0,24,0,400,0,0,0,1,0,0,0,0,1,0,0,
400,0,23,-1,32,-368,0,1,0,0,0,0,0,1,0,0,
400,0,24,1,35,3,0,1,0,0,0,0,1,0,0,0,
400,0,64,40,25,-10,0,0,1,0,0,0,1,0,0,0,
169,-231,63,-1,23,-2,0,0,1,0,0,0,0,1,0,0,
166,-3,57,-6,22,-1,0,0,1,0,0,0,0,1,0,0,
163,-3,59,2,22,0,0,0,1,0,0,0,0,1,0,0,
160,-3,58,-1,23,1,0,0,1,0,0,0,0,1,0,0,
158,-2,56,-2,23,0,0,0,0,1,0,0,0,1,0,0,
155,-3,54,-2,24,1,0,0,1,0,0,0,0,0,1,0,
154,-1,50,-4,25,1,0,0,1,0,0,0,0,1,0,0,
154,0,50,0,25,0,0,0,1,0,0,0,0,1,0,0,
152,-2,29,-21,25,0,0,0,1,0,0,0,0,1,0,0,
148,-4,30,1,28,3,0,0,1,0,0,0,0,1,0,0,
148,0,29,-1,27,-1,0,0,1,0,0,0,0,1,0,0,
145,-3,29,0,29,2,0,0,1,0,0,0,0,1,0,0,
400,255,30,1,29,0,0,0,1,0,0,0,0,1,0,0,
400,0,30,0,28,-1,0,0,0,1,0,0,0,1,0,0,
400,0,30,0,28,0,0,0,0,1,0,0,0,0,1,0,
400,0,28,-2,56,28,0,0,1,0,0,0,0,0,1,0,
39,-361,26,-2,57,1,0,0,1,0,0,0,0,1,0,0,
36,-3,25,-1,58,1,0,0,1,0,0,0,0,1,0,0,
33,-3,24,-1,58,0,0,0,1,0,0,0,0,1,0,0,
31,-2,24,0,61,3,0,0,1,0,0,0,0,1,0,0,
30,-1,22,-2,57,-4,0,0,1,0,0,0,0,1,0,0,
27,-3,25,3,64,7,0,1,0,0,0,0,0,1,0,0,
26,-1,30,5,80,16,0,1,0,0,0,0,1,0,0,0,
25,-1,24,-6,120,40,0,0,1,0,0,0,1,0,0,0,
