front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5,
109,1,157,87,41,-1,0,0,1,0,0,0,0,1,0,0,
108,-1,157,0,41,0,0,0,1,0,0,0,0,1,0,0,
108,0,66,-91,42,1,0,0,1,0,0,0,0,1,0,0,
106,-2,70,4,43,1,0,0,1,0,0,0,0,1,0,0,
104,-2,66,-4,44,1,0,0,1,0,0,0,0,1,0,0,
101,-3,66,0,45,1,0,0,1,0,0,0,0,1,0,0,
99,-2,101,35,46,1,0,0,0,1,0,0,0,1,0,0,
96,-3,103,2,48,2,0,0,0,1,0,0,0,0,1,0,
94,-2,64,-39,49,1,0,0,1,0,0,0,0,0,1,0,
91,-3,62,-2,51,2,0,0,1,0,0,0,0,1,0,0,
89,-2,57,-5,52,1,0,0,1,0,0,0,0,1,0,0,
86,-3,56,-1,52,0,0,0,1,0,0,0,0,1,0,0,
84,-2,56,0,52,0,0,0,1,0,0,0,0,1,0,0,
82,-2,56,0,52,0,0,0,1,0,0,0,0,1,0,0,
79,-3,56,0,52,0,0,0,1,0,0,0,0,1,0,0,
77,-2,57,1,53,1,0,0,1,0,0,0,0,1,0,0,
74,-3,58,1,54,1,0,0,1,0,0,0,0,1,0,0,
72,-2,58,0,54,0,0,0,1,0,0,0,0,1,0,0,
70,-2,58,0,54,0,0,0,1,0,0,0,0,1,0,0,
67,-3,57,-1,54,0,0,0,1,0,0,0,0,1,0,0,
65,-2,59,2,54,0,0,0,1,0,0,0,0,1,0,0,
62,-3,58,-1,55,1,0,0,1,0,0,0,0,1,0,0,
56,-6,59,1,55,0,0,0,1,0,0,0,0,1,0,0,
56,0,59,0,56,1,0,0,1,0,0,0,0,1,0,0,
54,-2,59,0,55,-1,0,0,1,0,0,0,0,1,0,0,
52,-2,59,0,56,1,0,0,1,0,0,0,0,1,0,0,
49,-3,75,16,56,0,0,0,1,0,0,0,0,1,0,0,
47,-2,63,-12,57,1,0,0,1,0,0,0,0,1,0,0,
46,-1,60,-3,57,0,0,1,0,0,0,0,0,1,0,0,
43,-3,71,11,56,-1,0,1,0,0,0,0,1,0,0,0,
40,-3,71,0,56,0,0,1,0,0,0,0,1,0,0,0,
38,-2,131,60,56,0,0,1,0,0,0,0,1,0,0,0,
37,-1,37,-94,57,1,0,1,0,0,0,0,1,0,0,0,
36,-1,35,-2,57,0,0,1,0,0,0,0,1,0,0,0,
35,-1,33,-2,57,0,0,1,0,0,0,0,1,0,0,0,
35,0,32,-1,59,2,0,1,0,0,0,0,1,0,0,0,
