front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
64,0,61,0,28,1,33,1.47,0,1,0,0,1,0
64,0,63,2,27,-1,36,1.82,0,1,0,0,1,0
62,-2,36,-27,27,0,9,-7.73,0,1,0,0,1,0
60,-2,60,24,28,1,32,1.11,0,1,0,0,1,0
58,-2,58,-2,29,1,29,0.76,0,1,0,0,1,0
56,-2,60,2,28,-1,32,1.11,0,1,0,0,1,0
55,-1,59,-1,29,1,30,1.11,0,1,0,0,1,0
53,-2,56,-3,29,0,27,0.05,0,1,0,0,1,0
51,-2,56,0,29,0,27,0.05,0,1,0,0,1,0
171,120,53,-3,30,1,23,-0.66,0,0,1,0,1,0
164,-7,52,-1,30,0,22,-1.01,0,1,0,0,0,1
79,-85,50,-2,32,2,18,-1.01,0,1,0,0,1,0
113,34,38,-12,33,1,5,-4.90,0,1,0,0,1,0
57,-56,39,1,33,0,6,-4.54,1,0,0,0,1,0
150,93,38,-1,32,-1,6,-5.25,1,0,0,1,0,0
70,-80,45,7,33,1,12,-2.42,1,0,0,1,0,0
142,72,45,0,33,0,12,-2.42,0,1,0,1,0,0
141,-1,47,2,33,0,14,-1.72,0,1,0,0,1,0
113,-28,38,-9,34,1,4,-4.54,1,0,0,0,1,0
139,26,51,13,30,-4,21,-1.36,0,1,0,1,0,0
144,5,52,1,29,-1,23,-1.36,0,1,0,0,1,0
144,0,56,4,29,0,27,0.05,0,1,0,0,1,0
140,-4,56,0,32,3,24,1.11,0,1,0,0,1,0
139,-1,133,77,39,7,94,30.81,0,1,0,0,1,0
137,-2,159,26,34,-5,125,38.24,0,1,0,0,1,0
133,-4,130,-29,35,1,95,28.34,0,1,0,0,1,0
132,-1,129,-1,37,2,92,28.69,0,0,1,0,1,0
151,19,134,5,38,1,96,30.81,0,0,1,0,0,1
127,-24,127,-7,38,0,89,28.34,0,0,1,0,0,1
125,-2,132,5,41,3,91,31.16,0,1,0,0,0,1
74,-51,135,3,48,7,87,34.70,0,1,0,0,1,0
71,-3,128,-7,49,1,79,32.58,0,1,0,0,1,0
57,-14,132,4,50,1,82,34.35,0,1,0,0,1,0
67,10,130,-2,51,1,79,33.99,0,1,0,0,1,0
64,-3,128,-2,52,1,76,33.64,0,1,0,0,1,0
60,-4,126,-2,47,-5,79,31.16,0,1,0,0,1,0
58,-2,111,-15,53,6,58,27.98,0,1,0,0,1,0
57,-1,108,-3,50,-3,58,25.86,0,0,1,0,1,0
56,-1,106,-2,49,-1,57,24.80,0,0,1,0,0,1
53,-3,104,-2,50,1,54,24.45,0,0,1,0,0,1
51,-2,104,0,50,0,54,24.45,0,1,0,0,0,1
50,-1,102,-2,58,8,44,26.57,0,1,0,0,1,0
49,-1,101,-1,59,1,42,26.57,0,1,0,0,1,0
46,-3,32,-69,30,-29,2,-8.08,0,1,0,0,1,0
45,-1,31,-1,88,58,-57,12.07,0,1,0,0,1,0
91,46,31,0,140,52,-109,30.46,0,1,0,0,1,0

