front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5,
186,-3,36,-2,44,-30,0,0,1,0,0,0,0,1,0,0,
183,-3,36,0,46,2,0,0,1,0,0,0,0,1,0,0,
181,-2,36,0,36,-10,0,0,1,0,0,0,0,1,0,0,
178,-3,400,364,37,1,0,0,1,0,0,0,0,1,0,0,
174,-4,38,-362,36,-1,0,0,1,0,0,0,0,1,0,0,
172,-2,36,-2,36,0,0,0,1,0,0,0,0,1,0,0,
169,-3,36,0,36,0,0,0,1,0,0,0,0,1,0,0,
167,-2,36,0,37,1,0,0,1,0,0,0,0,1,0,0,
164,-3,38,2,36,-1,0,0,1,0,0,0,0,1,0,0,
162,-2,37,-1,36,0,0,0,1,0,0,0,0,1,0,0,
159,-3,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
157,-2,36,-1,35,-1,0,0,1,0,0,0,0,1,0,0,
154,-3,36,0,36,1,0,0,1,0,0,0,0,1,0,0,
151,-3,37,1,36,0,0,0,1,0,0,0,0,1,0,0,
149,-2,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
146,-3,36,-1,36,0,0,0,1,0,0,0,0,1,0,0,
143,-3,37,1,35,-1,0,0,1,0,0,0,0,1,0,0,
141,-2,37,0,36,1,0,0,1,0,0,0,0,1,0,0,
138,-3,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
136,-2,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
133,-3,38,1,36,0,0,0,1,0,0,0,0,1,0,0,
131,-2,38,0,36,0,0,0,1,0,0,0,0,1,0,0,
128,-3,37,-1,36,0,0,0,1,0,0,0,0,1,0,0,
126,-2,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
123,-3,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
121,-2,37,0,37,1,0,0,1,0,0,0,0,1,0,0,
118,-3,38,1,35,-2,0,0,1,0,0,0,0,1,0,0,
116,-2,39,1,36,1,0,0,1,0,0,0,0,1,0,0,
113,-3,38,-1,36,0,0,0,1,0,0,0,0,1,0,0,
111,-2,37,-1,36,0,0,0,1,0,0,0,0,1,0,0,
108,-3,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
106,-2,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
103,-3,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
101,-2,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
98,-3,37,0,36,0,0,0,1,0,0,0,0,1,0,0,
96,-2,38,1,36,0,0,0,1,0,0,0,0,1,0,0,
94,-2,38,0,36,0,0,0,1,0,0,0,0,1,0,0,
91,-3,38,0,37,1,0,0,1,0,0,0,0,1,0,0,
89,-2,37,-1,37,0,0,0,1,0,0,0,0,1,0,0,
86,-3,38,1,36,-1,0,0,1,0,0,0,0,1,0,0,
84,-2,37,-1,36,0,0,0,1,0,0,0,0,1,0,0,
81,-3,38,1,36,0,0,0,0,1,0,0,0,1,0,0,
79,-2,38,0,36,0,0,0,1,0,0,0,0,0,1,0,
77,-2,37,-1,37,1,0,0,1,0,0,0,0,1,0,0,
74,-3,36,-1,37,0,0,0,1,0,0,0,0,1,0,0,
72,-2,37,1,37,0,0,0,1,0,0,0,0,1,0,0,
70,-2,36,-1,38,1,0,0,1,0,0,0,0,1,0,0,
68,-2,35,-1,38,0,0,0,1,0,0,0,0,1,0,0,
65,-3,35,0,45,7,0,0,1,0,0,0,0,1,0,0,
62,-3,34,-1,46,1,0,0,1,0,0,0,0,1,0,0,
61,-1,34,0,48,2,0,0,1,0,0,0,0,1,0,0,
58,-3,34,0,36,-12,0,0,1,0,0,0,0,1,0,0,
56,-2,33,-1,50,14,0,0,1,0,0,0,0,1,0,0,
54,-2,33,0,52,2,0,1,0,0,0,0,0,1,0,0,
51,-3,32,-1,53,1,0,1,0,0,0,0,1,0,0,0,
49,-2,32,0,55,2,0,0,1,0,0,0,1,0,0,0,
48,-1,34,2,57,2,0,0,1,0,0,0,0,1,0,0,
45,-3,36,2,58,1,0,0,1,0,0,0,0,1,0,0,
42,-3,54,18,36,-22,0,1,0,0,0,0,0,1,0,0,
40,-2,36,-18,34,-2,1,0,0,0,0,0,1,0,0,0,
37,-3,52,16,32,-2,1,0,0,0,0,1,0,0,0,0,
36,-1,52,0,31,-1,1,0,0,0,0,1,0,0,0,0,
36,0,52,0,30,-1,1,0,0,0,0,1,0,0,0,0,
37,1,38,-14,30,0,0,1,0,0,0,1,0,0,0,0,
39,2,37,-1,29,-1,0,1,0,0,0,0,1,0,0,0,
39,0,36,-1,30,1,0,1,0,0,0,0,1,0,0,0,
40,1,36,0,31,1,0,1,0,0,0,0,1,0,0,0,
65,25,35,-1,32,1,0,1,0,0,0,0,1,0,0,0,
62,-3,34,-1,34,2,0,1,0,0,0,0,1,0,0,0,
60,-2,34,0,36,2,0,1,0,0,0,0,1,0,0,0,
59,-1,34,0,39,3,0,1,0,0,0,0,1,0,0,0,
58,-1,34,0,42,3,0,0,1,0,0,0,1,0,0,0,
57,-1,34,0,45,3,0,0,1,0,0,0,0,1,0,0,
106,49,35,1,47,2,0,0,1,0,0,0,0,1,0,0,
104,-2,35,0,50,3,0,0,1,0,0,0,0,1,0,0,
101,-3,34,-1,51,1,0,0,1,0,0,0,0,1,0,0,
147,46,34,0,54,3,0,0,1,0,0,0,0,1,0,0,
400,253,32,-2,56,2,0,1,0,0,0,0,0,1,0,0,
141,-259,32,0,59,3,0,1,0,0,0,0,1,0,0,0,
137,-4,32,0,39,-20,0,0,1,0,0,0,1,0,0,0,
136,-1,41,9,36,-3,0,0,1,0,0,0,0,1,0,0,
135,-1,36,-5,34,-2,0,0,1,0,0,0,0,1,0,0,
400,265,34,-2,36,2,0,0,1,0,0,0,0,1,0,0,
400,0,38,4,45,9,0,0,1,0,0,0,0,1,0,0,
400,0,33,-5,47,2,0,0,1,0,0,0,0,1,0,0,
400,0,34,1,50,3,0,0,1,0,0,0,0,1,0,0,
400,0,34,0,52,2,0,0,1,0,0,0,0,1,0,0,
400,0,34,0,56,4,0,0,1,0,0,0,0,1,0,0,
400,0,33,-1,58,2,0,0,1,0,0,0,0,1,0,0,
400,0,33,0,96,38,0,1,0,0,0,0,0,1,0,0,
400,0,32,-1,104,8,0,0,1,0,0,0,1,0,0,0,
400,0,36,4,32,-72,0,0,1,0,0,0,0,1,0,0,
400,0,37,1,36,4,0,0,1,0,0,0,0,1,0,0,
400,0,51,14,152,116,0,0,1,0,0,0,0,1,0,0,
400,0,49,-2,33,-119,0,0,1,0,0,0,0,1,0,0,
400,0,47,-2,37,4,0,0,1,0,0,0,0,1,0,0,
400,0,46,-1,38,1,0,0,1,0,0,0,0,1,0,0,
400,0,45,-1,39,1,0,0,1,0,0,0,0,1,0,0,
400,0,44,-1,35,-4,0,0,0,1,0,0,0,1,0,0,
400,0,41,-3,36,1,0,0,1,0,0,0,0,0,1,0,
400,0,39,-2,37,1,0,0,1,0,0,0,0,1,0,0,
400,0,38,-1,47,10,0,0,0,1,0,0,0,1,0,0,
400,0,36,-2,50,3,0,0,1,0,0,0,0,0,1,0,
97,-303,35,-1,52,2,0,1,0,0,0,0,0,1,0,0,
95,-2,35,0,53,1,0,1,0,0,0,0,1,0,0,0,
91,-4,35,0,55,2,0,0,1,0,0,0,1,0,0,0,
400,309,36,1,36,-19,0,0,1,0,0,0,0,1,0,0,
74,-326,36,0,36,0,0,0,1,0,0,0,0,1,0,0,
72,-2,37,1,36,0,0,0,1,0,0,0,0,1,0,0,
69,-3,36,-1,36,0,0,0,1,0,0,0,0,1,0,0,
400,331,35,-1,161,125,0,0,1,0,0,0,0,1,0,0,
63,-337,36,1,163,2,0,0,1,0,0,0,0,1,0,0,
60,-3,36,0,164,1,0,0,1,0,0,0,0,1,0,0,
57,-3,35,-1,37,-127,0,0,1,0,0,0,0,1,0,0,
56,-1,35,0,36,-1,0,0,1,0,0,0,0,1,0,0,
53,-3,35,0,166,130,0,0,1,0,0,0,0,1,0,0,
50,-3,35,0,36,-130,0,0,1,0,0,0,0,1,0,0,
49,-1,34,-1,152,116,0,0,1,0,0,0,0,1,0,0,
47,-2,34,0,400,248,0,0,1,0,0,0,0,1,0,0,
45,-2,34,0,37,-363,0,0,1,0,0,0,0,1,0,0,
41,-4,33,-1,36,-1,0,1,0,0,0,0,0,1,0,0,
39,-2,33,0,36,0,0,0,1,0,0,0,1,0,0,0,
400,361,52,19,36,0,0,0,1,0,0,0,0,1,0,0,
400,0,34,-18,34,-2,0,0,1,0,0,0,0,1,0,0,
400,0,49,15,37,3,0,0,1,0,0,0,0,1,0,0,
400,0,35,-14,34,-3,0,0,1,0,0,0,0,1,0,0,
400,0,65,30,36,2,0,0,1,0,0,0,0,1,0,0,
400,0,35,-30,55,19,0,0,1,0,0,0,0,1,0,0,
400,0,36,1,34,-21,0,0,1,0,0,0,0,1,0,0,
195,-205,34,-2,59,25,0,0,1,0,0,0,0,1,0,0,
400,205,34,0,61,2,0,0,1,0,0,0,0,1,0,0,
400,0,33,-1,163,102,0,0,1,0,0,0,0,1,0,0,
199,-201,33,0,70,-93,0,0,1,0,0,0,0,1,0,0,
196,-3,32,-1,36,-34,0,0,1,0,0,0,0,1,0,0,
194,-2,32,0,36,0,0,1,0,0,0,0,0,1,0,0,
192,-2,32,0,37,1,0,1,0,0,0,0,1,0,0,0,
190,-2,36,4,36,-1,0,0,1,0,0,0,1,0,0,0,
173,-17,36,0,36,0,0,0,1,0,0,0,0,1,0,0,
400,227,145,109,33,-3,0,0,1,0,0,0,0,1,0,0,
400,0,140,-5,40,7,0,0,1,0,0,0,0,1,0,0,
400,0,137,-3,41,1,0,0,1,0,0,0,0,1,0,0,
400,0,134,-3,43,2,0,0,1,0,0,0,0,1,0,0,
400,0,132,-2,34,-9,0,0,1,0,0,0,0,1,0,0,
72,-328,130,-2,49,15,0,0,1,0,0,0,0,1,0,0,
88,16,128,-2,36,-13,0,0,1,0,0,0,0,1,0,0,
85,-3,126,-2,36,0,0,0,1,0,0,0,0,1,0,0,
82,-3,124,-2,38,2,0,0,1,0,0,0,0,1,0,0,
80,-2,122,-2,41,3,0,0,1,0,0,0,0,1,0,0,
77,-3,121,-1,40,-1,0,0,1,0,0,0,0,1,0,0,
75,-2,120,-1,37,-3,0,0,1,0,0,0,0,1,0,0,
72,-3,38,-82,36,-1,0,0,1,0,0,0,0,1,0,0,
70,-2,38,0,36,0,0,0,1,0,0,0,0,1,0,0,
70,0,37,-1,45,9,0,0,1,0,0,0,0,1,0,0,
65,-5,36,-1,47,2,0,0,1,0,0,0,0,1,0,0,
63,-2,38,2,48,1,0,0,1,0,0,0,0,1,0,0,
63,0,37,-1,50,2,0,0,1,0,0,0,0,1,0,0,
58,-5,37,0,50,0,0,0,1,0,0,0,0,1,0,0,
117,59,36,-1,51,1,0,0,1,0,0,0,0,1,0,0,
56,-61,36,0,55,4,0,0,1,0,0,0,0,1,0,0,
112,56,37,1,56,1,0,0,1,0,0,0,0,1,0,0,
109,-3,36,-1,56,0,0,0,1,0,0,0,0,1,0,0,
107,-2,37,1,59,3,0,0,1,0,0,0,0,1,0,0,
105,-2,36,-1,61,2,0,0,1,0,0,0,0,1,0,0,
102,-3,37,1,63,2,0,0,1,0,0,0,0,1,0,0,
75,-27,36,-1,65,2,0,0,1,0,0,0,0,1,0,0,
97,22,37,1,68,3,0,0,1,0,0,0,0,1,0,0,
74,-23,36,-1,52,-16,0,0,1,0,0,0,0,1,0,0,
72,-2,36,0,50,-2,0,0,1,0,0,0,0,1,0,0,
89,17,37,1,57,7,0,0,1,0,0,0,0,1,0,0,
87,-2,35,-2,57,0,0,0,1,0,0,0,0,1,0,0,
