front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
135,0,27,0,48,-1,-21,-3.48,0,1,0,0,1,0
135,0,29,2,49,1,-20,-2.42,0,1,0,0,1,0
133,-2,30,1,50,1,-20,-1.72,0,1,0,0,1,0
131,-2,28,-2,53,3,-25,-1.36,0,1,0,0,1,0
128,-3,28,0,57,4,-29,0.05,0,1,0,0,1,0
126,-2,29,1,58,1,-29,0.76,0,1,0,0,1,0
123,-3,85,56,64,6,21,22.68,0,1,0,0,1,0
121,-2,85,0,29,-35,56,10.30,0,1,0,0,1,0
119,-2,105,20,30,1,75,17.73,0,1,0,0,1,0
116,-3,87,-18,30,0,57,11.37,0,1,0,0,1,0
114,-2,87,0,29,-1,58,11.01,0,0,1,0,1,0
111,-3,103,16,29,0,74,16.67,0,0,1,0,0,1
109,-2,85,-18,78,49,7,27.63,0,0,1,0,0,1
107,-2,84,-1,78,0,6,27.28,0,1,0,0,0,1
105,-2,83,-1,65,-13,18,22.33,0,0,1,0,1,0
104,-1,84,1,64,-1,20,22.33,0,0,1,0,0,1
102,-2,85,1,64,0,21,22.68,0,0,1,0,0,1
100,-2,80,-5,68,4,12,22.33,0,0,1,0,0,1
99,-1,78,-2,66,-2,12,20.91,0,1,0,0,0,1
97,-2,76,-2,68,2,8,20.91,0,1,0,0,1,0
93,-4,75,-1,57,-11,18,16.67,0,0,1,0,1,0
93,0,74,-1,57,0,17,16.32,0,0,1,0,0,1
88,-5,73,-1,58,1,15,16.32,0,0,1,0,0,1
85,-3,71,-2,59,1,12,15.96,0,0,1,0,0,1
82,-3,70,-1,56,-3,14,14.55,0,0,1,0,0,1
80,-2,68,-2,57,1,11,14.19,0,0,1,0,0,1
78,-2,67,-1,57,0,10,13.84,0,0,1,0,0,1
76,-2,65,-2,58,1,7,13.49,0,0,1,0,0,1
74,-2,64,-1,59,1,5,13.49,0,0,1,0,0,1
72,-2,62,-2,61,2,1,13.49,0,0,1,0,0,1
66,-6,60,-2,63,2,-3,13.49,0,0,1,0,0,1
62,-4,59,-1,64,1,-5,13.49,0,1,0,0,0,1
59,-3,58,-1,62,-2,-4,12.43,0,1,0,0,1,0
56,-3,56,-2,54,-8,2,8.89,0,1,0,0,1,0
55,-1,36,-20,57,3,-21,2.88,0,1,0,0,1,0
54,-1,52,16,69,12,-17,12.78,0,1,0,0,1,0
52,-2,50,-2,56,-13,-6,7.48,0,1,0,0,1,0
51,-1,49,-1,72,16,-23,12.78,0,1,0,0,1,0
50,-1,49,0,74,2,-25,13.49,0,1,0,0,1,0
51,1,45,-4,75,1,-30,12.43,0,1,0,0,1,0
50,-1,44,-1,29,-46,15,-4.19,0,1,0,0,1,0
47,-3,41,-3,29,0,12,-5.25,0,1,0,0,1,0
45,-2,39,-2,30,1,9,-5.61,1,0,0,0,1,0
43,-2,38,-1,30,0,8,-5.96,1,0,0,1,0,0
42,-1,36,-2,30,0,6,-6.67,1,0,0,1,0,0
39,-3,37,1,30,0,7,-6.31,1,0,0,1,0,0
37,-2,37,0,31,1,6,-5.96,1,0,0,1,0,0
36,-1,38,1,33,2,5,-4.90,1,0,0,1,0,0
36,0,36,-2,34,1,2,-5.25,1,0,0,1,0,0
34,-2,32,-4,35,1,-3,-6.31,1,0,0,1,0,0
35,1,31,-1,36,1,-5,-6.31,1,0,0,1,0,0
73,38,30,-1,39,3,-9,-5.61,0,1,0,1,0,0
68,-5,29,-1,43,4,-14,-4.54,1,0,0,0,1,0
65,-3,29,0,38,-5,-9,-6.31,1,0,0,1,0,0
64,-1,29,0,38,0,-9,-6.31,0,1,0,1,0,0
62,-2,29,0,39,1,-10,-5.96,0,1,0,0,1,0
60,-2,32,3,40,1,-8,-4.54,0,1,0,0,1,0
59,-1,30,-2,43,3,-13,-4.19,0,1,0,0,1,0
60,1,30,0,36,-7,-6,-6.67,0,1,0,0,1,0
56,-4,30,0,33,-3,-3,-7.73,0,1,0,0,1,0
56,0,31,1,34,1,-3,-7.02,0,1,0,0,1,0
56,0,31,0,33,-1,-2,-7.37,0,1,0,0,1,0
54,-2,33,2,33,0,0,-6.67,0,1,0,0,1,0
53,-1,49,16,32,-1,17,-1.36,0,1,0,0,1,0
51,-2,48,-1,29,-3,19,-2.78,0,1,0,0,1,0
50,-1,50,2,31,2,19,-1.36,0,1,0,0,1,0
142,92,46,-4,31,0,15,-2.78,0,1,0,0,1,0
140,-2,43,-3,30,-1,13,-4.19,0,1,0,0,1,0
44,-96,43,0,30,0,13,-4.19,1,0,0,0,1,0
56,12,40,-3,29,-1,11,-5.61,1,0,0,1,0,0
56,0,41,1,29,0,12,-5.25,0,1,0,1,0,0
54,-2,37,-4,29,0,8,-6.67,0,1,0,0,1,0
51,-3,40,3,29,0,11,-5.61,0,1,0,0,1,0
50,-1,38,-2,30,1,8,-5.96,0,1,0,0,1,0
50,0,38,0,31,1,7,-5.61,0,1,0,0,1,0
46,-4,125,87,32,1,93,25.51,1,0,0,0,1,0
43,-3,123,-2,33,1,90,25.15,0,1,0,1,0,0
42,-1,120,-3,33,0,87,24.09,0,1,0,0,1,0
39,-3,118,-2,34,1,84,23.74,0,1,0,0,1,0
38,-1,117,-1,35,1,82,23.74,0,1,0,0,1,0
36,-2,115,-2,38,3,77,24.09,0,1,0,0,1,0
33,-3,113,-2,39,1,74,23.74,0,0,1,0,1,0
29,-4,111,-2,40,1,71,23.39,0,0,1,0,0,1
29,0,109,-2,41,1,68,23.03,0,0,1,0,0,1
30,1,108,-1,42,1,66,23.03,0,0,1,0,0,1
73,43,106,-2,44,2,62,23.03,0,0,1,0,0,1
71,-2,105,-1,45,1,60,23.03,0,1,0,0,0,1
101,30,101,-4,46,1,55,21.97,0,1,0,0,1,0
56,-45,164,63,47,1,117,44.60,0,0,1,0,1,0
56,0,161,-3,49,2,112,44.25,0,1,0,0,0,1
56,0,160,-1,49,0,111,43.89,0,1,0,0,1,0
70,14,157,-3,50,1,107,43.18,0,1,0,0,1,0
89,19,156,-1,50,0,106,42.83,0,1,0,0,1,0
87,-2,154,-2,50,0,104,42.12,0,1,0,0,1,0
85,-2,151,-3,51,1,100,41.42,0,1,0,0,1,0
82,-3,150,-1,52,1,98,41.42,0,0,1,0,1,0
79,-3,148,-2,57,5,91,42.48,0,0,1,0,0,1
56,-23,147,-1,84,27,63,51.67,0,1,0,0,0,1
76,20,145,-2,59,-25,86,42.12,0,1,0,0,1,0
74,-2,143,-2,86,27,57,50.96,0,0,1,0,1,0
72,-2,142,-1,88,2,54,51.32,0,0,1,0,0,1
69,-3,140,-2,89,1,51,50.96,0,0,1,0,0,1
68,-1,140,0,140,51,0,68.99,0,1,0,0,0,1
68,0,228,88,57,-83,171,70.76,0,1,0,0,1,0
134,66,227,-1,100,43,127,85.61,0,1,0,0,1,0
131,-3,226,-1,142,42,84,100.11,0,1,0,0,1,0
129,-2,224,-2,143,1,81,99.75,0,1,0,0,1,0
60,-69,223,-1,145,2,78,100.11,0,0,1,0,1,0
58,-2,221,-2,69,-76,152,72.53,0,0,1,0,0,1
121,63,219,-2,70,1,149,72.18,0,0,1,0,0,1
118,-3,217,-2,59,-11,158,67.58,0,1,0,0,0,1
109,-9,215,-2,59,0,156,66.87,0,1,0,0,1,0
106,-3,213,-2,60,1,153,66.52,0,0,1,0,1,0
102,-4,212,-1,38,-22,174,58.39,0,0,1,0,0,1
94,-8,210,-2,51,13,159,62.28,0,0,1,0,0,1
90,-4,259,49,62,11,197,83.49,0,0,1,0,0,1
89,-1,256,-3,36,-26,220,73.24,0,0,1,0,0,1
103,14,254,-2,36,0,218,72.53,0,1,0,0,0,1
200,97,167,-87,29,-7,138,39.30,0,1,0,0,1,0
198,-2,166,-1,17,-12,149,34.70,0,1,0,0,1,0
196,-2,165,-1,51,34,114,46.37,0,0,1,0,1,0
193,-3,164,-1,36,-15,128,40.71,0,1,0,0,0,1
119,-74,36,-128,50,14,-14,0.41,0,1,0,0,1,0
117,-2,36,0,30,-20,6,-6.67,0,1,0,0,1,0
113,-4,35,-1,37,7,-2,-4.54,0,1,0,0,1,0
111,-2,33,-2,39,2,-6,-4.54,0,1,0,0,1,0
109,-2,31,-2,41,2,-10,-4.54,0,1,0,0,1,0
74,-35,31,0,43,2,-12,-3.84,0,1,0,0,1,0
70,-4,29,-2,64,21,-35,2.88,1,0,0,0,1,0
67,-3,29,0,84,20,-55,9.95,0,1,0,1,0,0
60,-7,29,0,68,-16,-39,4.29,0,1,0,0,1,0
57,-3,29,0,71,3,-42,5.35,0,1,0,0,1,0
