front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
37,0,36,0,166,0,0,0,1,0,0,0,0,1,0,0,
38,1,35,-1,167,1,0,1,0,0,0,0,0,1,0,0,
36,-2,34,-1,169,2,0,1,0,0,0,0,1,0,0,0,
35,-1,32,-2,163,-6,0,1,0,0,0,0,1,0,0,0,
53,18,30,-2,65,-98,0,1,0,0,0,0,1,0,0,0,
50,-3,20,-10,67,2,0,1,0,0,0,0,1,0,0,0,
48,-2,19,-1,70,3,0,1,0,0,0,0,1,0,0,0,
46,-2,28,9,14,-56,0,0,1,0,0,0,1,0,0,0,
69,23,29,1,15,1,0,0,1,0,0,0,0,1,0,0,
66,-3,27,-2,38,23,0,0,1,0,0,0,0,1,0,0,
64,-2,27,0,36,-2,0,1,0,0,0,0,0,1,0,0,
61,-3,26,-1,37,1,0,1,0,0,0,0,1,0,0,0,
76,15,26,0,22,-15,0,1,0,0,0,0,1,0,0,0,
73,-3,27,1,36,14,0,0,1,0,0,0,1,0,0,0,
71,-2,29,2,37,1,0,0,1,0,0,0,0,1,0,0,
68,-3,29,0,39,2,0,0,1,0,0,0,0,1,0,0,
66,-2,30,1,41,2,0,0,1,0,0,0,0,1,0,0,
64,-2,30,0,42,1,0,0,1,0,0,0,0,1,0,0,
61,-3,28,-2,44,2,0,0,1,0,0,0,0,1,0,0,
59,-2,30,2,43,-1,0,0,1,0,0,0,0,1,0,0,
57,-2,29,-1,49,6,0,0,1,0,0,0,0,1,0,0,
54,-3,30,1,49,0,0,0,1,0,0,0,0,1,0,0,
52,-2,30,0,51,2,0,0,1,0,0,0,0,1,0,0,
50,-2,29,-1,34,-17,0,0,1,0,0,0,0,1,0,0,
48,-2,29,0,34,0,0,1,0,0,0,0,0,1,0,0,
45,-3,29,0,36,2,0,1,0,0,0,0,1,0,0,0,
43,-2,35,6,30,-6,0,1,0,0,0,0,1,0,0,0,
42,-1,52,17,27,-3,0,1,0,0,0,0,1,0,0,0,
41,-1,46,-6,26,-1,0,1,0,0,0,0,1,0,0,0,
38,-3,43,-3,26,0,0,1,0,0,0,0,1,0,0,0,
37,-1,38,-5,27,1,0,1,0,0,0,0,1,0,0,0,
36,-1,35,-3,27,0,0,1,0,0,0,0,1,0,0,0,
36,0,34,-1,28,1,0,1,0,0,0,0,1,0,0,0,
46,10,31,-3,29,1,0,1,0,0,0,0,1,0,0,0,
42,-4,30,-1,30,1,0,1,0,0,0,0,1,0,0,0,
42,0,29,-1,31,1,0,1,0,0,0,0,1,0,0,0,
60,18,29,0,33,2,0,1,0,0,0,0,1,0,0,0,
57,-3,28,-1,36,3,0,1,0,0,0,0,1,0,0,0,
56,-1,28,0,37,1,0,1,0,0,0,0,1,0,0,0,
54,-2,28,0,41,4,0,1,0,0,0,0,1,0,0,0,
56,2,29,1,44,3,0,0,1,0,0,0,1,0,0,0,
400,344,30,1,49,5,0,0,1,0,0,0,0,1,0,0,
400,0,30,0,57,8,0,0,1,0,0,0,0,1,0,0,
400,0,29,-1,60,3,0,0,1,0,0,0,0,1,0,0,
400,0,29,0,56,-4,0,0,1,0,0,0,0,1,0,0,
65,-335,29,0,65,9,0,0,1,0,0,0,0,1,0,0,
63,-2,30,1,58,-7,0,0,1,0,0,0,0,1,0,0,
400,337,28,-2,39,-19,0,0,1,0,0,0,0,1,0,0,
84,-316,29,1,41,2,0,1,0,0,0,0,0,1,0,0,
56,-28,27,-2,43,2,0,1,0,0,0,0,1,0,0,0,
80,24,29,2,30,-13,0,0,1,0,0,0,1,0,0,0,
400,320,30,1,28,-2,0,0,1,0,0,0,0,1,0,0,
