front;front_delta;front_right;front_right_delta;rear_right;rear_right_delta;mode1;mode2;mode3;mode4;mode5;prev_mode1;prev_mode2;prev_mode3;prev_mode4;prev_mode5;Column1
49;-2;30;1;129;27;0;0;1;0;0;0;0;1;0;0;
47;-2;29;-1;108;-21;0;0;1;0;0;0;0;1;0;0;
44;-3;29;0;105;-3;0;0;1;0;0;0;0;1;0;0;
43;-1;28;-1;109;4;0;0;1;0;0;0;0;1;0;0;
40;-3;27;-1;44;-65;0;0;1;0;0;0;0;1;0;0;
40;0;27;0;46;2;0;1;0;0;0;0;0;1;0;0;
39;-1;27;0;47;1;0;1;0;0;0;0;1;0;0;0;
52;13;30;3;49;2;0;1;0;0;0;0;1;0;0;0;
50;-2;31;1;50;1;0;1;0;0;0;0;1;0;0;0;
48;-2;29;-2;57;7;0;1;0;0;0;0;1;0;0;0;
46;-2;29;0;57;0;0;1;0;0;0;0;1;0;0;0;
44;-2;29;0;27;-30;0;1;0;0;0;0;1;0;0;0;
42;-2;29;0;26;-1;0;1;0;0;0;0;1;0;0;0;
40;-2;29;0;26;0;0;1;0;0;0;0;1;0;0;0;
39;-1;31;2;30;4;0;1;0;0;0;0;1;0;0;0;
39;0;36;5;37;7;0;1;0;0;0;0;1;0;0;0;
37;-2;35;-1;38;1;0;1;0;0;0;0;1;0;0;0;
38;1;33;-2;39;1;0;1;0;0;0;0;1;0;0;0;
37;-1;33;0;31;-8;0;1;0;0;0;0;1;0;0;0;
41;4;32;-1;29;-2;0;0;1;0;0;0;1;0;0;0;
400;359;31;-1;30;1;0;0;1;0;0;0;0;1;0;0;
136;-264;31;0;31;1;0;0;1;0;0;0;0;1;0;0;
133;-3;31;0;33;2;0;0;1;0;0;0;0;1;0;0;
131;-2;30;-1;34;1;0;0;1;0;0;0;0;1;0;0;
128;-3;29;-1;36;2;0;1;0;0;0;0;0;1;0;0;
127;-1;29;0;39;3;0;1;0;0;0;0;1;0;0;0;
124;-3;28;-1;40;1;0;1;0;0;0;0;1;0;0;0;
122;-2;28;0;43;3;0;1;0;0;0;0;1;0;0;0;
120;-2;27;-1;45;2;0;1;0;0;0;0;1;0;0;0;
117;-3;27;0;49;4;0;0;1;0;0;0;1;0;0;0;
114;-3;28;1;30;-19;0;0;1;0;0;0;0;1;0;0;
111;-3;31;3;29;-1;0;0;1;0;0;0;0;1;0;0;
108;-3;30;-1;29;0;0;0;1;0;0;0;0;1;0;0;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
