front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
400,371,25,-1,30,2,-5,-10.55,1,0,0,1,0,0
400,0,27,2,32,2,-5,-9.14,1,0,0,1,0,0
79,-321,25,-2,33,1,-8,-9.49,0,1,0,1,0,0
77,-2,26,1,36,3,-10,-8.08,0,1,0,0,1,0
74,-3,24,-2,37,1,-13,-8.43,1,0,0,0,1,0
73,-1,25,1,40,3,-15,-7.02,1,0,0,1,0,0
71,-2,25,0,43,3,-18,-5.96,1,0,0,1,0,0
265,194,24,-1,47,4,-23,-4.90,1,0,0,1,0,0
262,-3,27,3,50,3,-23,-2.78,0,1,0,1,0,0
259,-3,111,84,26,-24,85,18.44,0,1,0,0,1,0
257,-2,400,289,30,4,370,122.03,0,1,0,0,1,0
253,-4,62,-338,31,1,31,2.88,0,1,0,0,1,0
251,-2,59,-3,32,1,27,2.17,0,1,0,0,1,0
249,-2,400,341,30,-2,370,122.03,0,1,0,0,1,0
244,-5,56,-344,33,3,23,1.47,0,1,0,0,1,0
161,-83,56,0,35,2,21,2.17,0,1,0,0,1,0
240,79,50,-6,37,2,13,0.76,0,1,0,0,1,0
237,-3,50,0,40,3,10,1.82,0,1,0,0,1,0
234,-3,30,-20,42,2,-12,-4.54,0,1,0,0,1,0
232,-2,29,-1,43,1,-14,-4.54,0,1,0,0,1,0
229,-3,29,0,45,2,-16,-3.84,0,1,0,0,1,0
226,-3,30,1,48,3,-18,-2.42,0,1,0,0,1,0
224,-2,29,-1,50,2,-21,-2.07,1,0,0,0,1,0
221,-3,30,1,51,1,-21,-1.36,1,0,0,1,0,0
219,-2,40,10,29,-22,11,-5.61,0,1,0,1,0,0
138,-81,226,186,28,-1,198,59.80,0,1,0,0,1,0
135,-3,223,-3,27,-1,196,58.39,0,1,0,0,1,0
132,-3,159,-64,26,-1,133,35.41,0,1,0,0,1,0
130,-2,155,-4,26,0,129,33.99,0,1,0,0,1,0
127,-3,155,0,27,1,128,34.35,0,1,0,0,1,0
125,-2,152,-3,27,0,125,33.29,0,0,1,0,1,0
122,-3,151,-1,29,2,122,33.64,0,1,0,0,0,1
121,-1,134,-17,29,0,105,27.63,0,1,0,0,1,0
119,-2,147,13,30,1,117,32.58,0,1,0,0,1,0
117,-2,145,-2,31,1,114,32.22,0,1,0,0,1,0
101,-16,129,-16,30,-1,99,26.21,0,1,0,0,1,0
99,-2,142,13,32,2,110,31.52,0,1,0,0,1,0
95,-4,141,-1,400,368,-259,161.27,0,0,1,0,1,0
92,-3,131,-10,400,0,-269,157.74,0,1,0,0,0,1
182,90,137,6,130,-270,7,64.40,0,1,0,0,1,0
180,-2,141,4,132,2,9,66.52,0,0,1,0,1,0
177,-3,137,-4,135,3,2,66.17,0,0,1,0,0,1
175,-2,314,177,91,-44,223,113.19,0,0,1,0,0,1
174,-1,312,-2,93,2,219,113.19,0,1,0,0,0,1
104,-70,310,-2,95,2,215,113.19,0,0,1,0,1,0
124,20,308,-2,97,2,211,113.19,0,0,1,0,0,1
82,-42,306,-2,140,43,166,127.68,0,1,0,0,0,1
79,-3,304,-2,142,2,162,127.68,0,1,0,0,1,0
77,-2,303,-1,144,2,159,128.04,0,1,0,0,1,0
74,-3,300,-3,105,-39,195,113.19,0,1,0,0,1,0
