front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
62,0,20,1,42,0,-22,-8.08,1,0,0,0,1,0
63,1,18,-2,43,1,-25,-8.43,1,0,0,1,0,0
59,-4,18,0,19,-24,-1,-16.92,1,0,0,1,0,0
57,-2,17,-1,20,1,-3,-16.92,1,0,0,1,0,0
55,-2,17,0,21,1,-4,-16.57,1,0,0,1,0,0
52,-3,17,0,24,3,-7,-15.50,1,0,0,1,0,0
49,-3,19,2,33,9,-14,-11.62,1,0,0,1,0,0
48,-1,19,0,34,1,-15,-11.26,0,1,0,1,0,0
46,-2,21,2,35,1,-14,-10.20,0,1,0,0,1,0
43,-3,21,0,21,-14,0,-15.15,0,1,0,0,1,0
43,0,23,2,37,16,-14,-8.79,0,1,0,0,1,0
40,-3,23,0,22,-15,1,-14.09,0,1,0,0,1,0
37,-3,23,0,20,-2,3,-14.80,1,0,0,0,1,0
35,-2,22,-1,20,0,2,-15.15,1,0,0,1,0,0
34,-1,42,20,19,-1,23,-8.43,1,0,0,1,0,0
33,-1,42,0,19,0,23,-8.43,1,0,0,1,0,0
31,-2,33,-9,18,-1,15,-11.97,1,0,0,1,0,0
30,-1,30,-3,18,0,12,-13.03,1,0,0,1,0,0
29,-1,29,-1,19,1,10,-13.03,1,0,0,1,0,0
29,0,27,-2,20,1,7,-13.38,1,0,0,1,0,0
29,0,25,-2,20,0,5,-14.09,1,0,0,1,0,0
400,371,24,-1,22,2,2,-13.74,1,0,0,1,0,0
400,0,23,-1,25,3,-2,-13.03,1,0,0,1,0,0
84,-316,23,0,27,2,-4,-12.32,1,0,0,1,0,0
83,-1,27,4,30,3,-3,-9.85,1,0,0,1,0,0
82,-1,26,-1,41,11,-15,-6.31,0,1,0,1,0,0
162,80,27,1,41,0,-14,-5.96,0,1,0,0,1,0
159,-3,27,0,42,1,-15,-5.61,0,1,0,0,1,0
157,-2,27,0,42,0,-15,-5.61,0,1,0,0,1,0
155,-2,27,0,42,0,-15,-5.61,0,1,0,0,1,0
152,-3,29,2,47,5,-18,-3.13,0,1,0,0,1,0
150,-2,27,-2,48,1,-21,-3.48,0,1,0,0,1,0
148,-2,30,3,52,4,-22,-1.01,1,0,0,0,1,0
145,-3,400,370,29,-23,371,121.67,0,1,0,1,0,0
143,-2,400,0,26,-3,374,120.61,0,1,0,0,1,0
140,-3,400,0,50,24,350,129.10,0,1,0,0,1,0
136,-4,400,0,30,-20,370,122.03,0,1,0,0,1,0
133,-3,146,-254,28,-2,118,31.52,0,1,0,0,1,0
130,-3,56,-90,27,-1,29,-0.66,0,1,0,0,1,0
128,-2,56,0,28,1,28,-0.30,0,1,0,0,1,0
126,-2,53,-3,29,1,24,-1.01,0,0,1,0,1,0
124,-2,52,-1,29,0,23,-1.36,0,0,1,0,0,1
122,-2,50,-2,43,14,7,2.88,0,1,0,0,0,1
120,-2,31,-19,42,-1,-11,-4.19,0,1,0,0,1,0
118,-2,31,0,43,1,-12,-3.84,0,1,0,0,1,0
116,-2,30,-1,46,3,-16,-3.13,0,1,0,0,1,0
114,-2,29,-1,47,1,-18,-3.13,0,1,0,0,1,0
111,-3,30,1,49,2,-19,-2.07,0,1,0,0,1,0
110,-1,28,-2,50,1,-22,-2.42,0,1,0,0,1,0
107,-3,29,1,52,2,-23,-1.36,0,1,0,0,1,0
106,-1,29,0,55,3,-26,-0.30,0,1,0,0,1,0
103,-3,27,-2,55,0,-28,-1.01,0,1,0,0,1,0
101,-2,26,-1,56,1,-30,-1.01,0,1,0,0,1,0
99,-2,27,1,57,1,-30,-0.30,0,1,0,0,1,0
97,-2,27,0,59,2,-32,0.41,0,1,0,0,1,0
94,-3,28,1,60,1,-32,1.11,0,1,0,0,1,0
92,-2,27,-1,62,2,-35,1.47,0,1,0,0,1,0
56,-36,27,0,64,2,-37,2.17,0,1,0,0,1,0
87,31,25,-2,68,4,-43,2.88,0,1,0,0,1,0
86,-1,23,-2,66,-2,-43,1.47,0,1,0,0,1,0
84,-2,400,377,68,2,332,135.46,0,1,0,0,1,0
80,-4,400,0,71,3,329,136.52,0,1,0,0,1,0
77,-3,308,-92,73,2,235,104.70,0,1,0,0,1,0
75,-2,306,-2,75,2,231,104.70,0,1,0,0,1,0
71,-4,306,0,77,2,229,105.41,0,1,0,0,1,0
70,-1,89,-217,80,3,9,29.75,0,1,0,0,1,0
67,-3,305,216,81,1,224,106.47,0,1,0,0,1,0
66,-1,86,-219,83,2,3,29.75,0,1,0,0,1,0
63,-3,80,-6,85,2,-5,28.34,0,1,0,0,1,0
61,-2,81,1,88,3,-7,29.75,0,1,0,0,1,0
61,0,77,-4,138,50,-61,46.01,0,1,0,0,1,0
67,6,76,-1,91,-47,-15,29.04,0,1,0,0,1,0
61,-6,74,-2,141,50,-67,46.01,0,0,1,0,1,0
60,-1,74,0,102,-39,-28,32.22,0,0,1,0,0,1
60,0,298,224,96,-6,202,109.30,0,0,1,0,0,1
57,-3,56,-242,98,2,-42,24.45,0,1,0,0,0,1
