front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
60,1,51,0,39,0,12,1.82,0,1,0,0,1,0
58,-2,50,-1,41,2,9,2.17,0,1,0,0,1,0
57,-1,49,-1,42,1,7,2.17,0,1,0,0,1,0
56,-1,49,0,44,2,5,2.88,0,1,0,0,1,0
56,0,47,-2,47,3,0,3.23,0,1,0,0,1,0
67,11,46,-1,49,2,-3,3.59,0,1,0,0,1,0
65,-2,47,1,50,1,-3,4.29,0,1,0,0,1,0
62,-3,45,-2,52,2,-7,4.29,0,1,0,0,1,0
60,-2,43,-2,54,2,-11,4.29,0,1,0,0,1,0
57,-3,41,-2,57,3,-16,4.65,0,1,0,0,1,0
56,-1,40,-1,59,2,-19,5.00,0,1,0,0,1,0
53,-3,39,-1,64,5,-25,6.42,0,1,0,0,1,0
51,-2,37,-2,63,-1,-26,5.35,1,0,0,0,1,0
49,-2,36,-1,65,2,-29,5.71,1,0,0,1,0,0
47,-2,37,1,67,2,-30,6.77,1,0,0,1,0,0
45,-2,37,0,47,-20,-10,-0.30,1,0,0,1,0,0
43,-2,39,2,44,-3,-5,-0.66,1,0,0,1,0,0
42,-1,57,18,43,-1,14,5.35,1,0,0,1,0,0
40,-2,45,-12,43,0,2,1.11,1,0,0,1,0,0
39,-1,40,-5,36,-7,4,-3.13,1,0,0,1,0,0
37,-2,38,-2,37,1,1,-3.48,1,0,0,1,0,0
37,0,37,-1,36,-1,1,-4.19,1,0,0,1,0,0
36,-1,35,-2,37,1,-2,-4.54,1,0,0,1,0,0
37,1,33,-2,38,1,-5,-4.90,1,0,0,1,0,0
37,0,32,-1,39,1,-7,-4.90,1,0,0,1,0,0
85,48,32,0,40,1,-8,-4.54,1,0,0,1,0,0
119,34,30,-2,41,1,-11,-4.90,1,0,0,1,0,0
117,-2,30,0,43,2,-13,-4.19,0,1,0,1,0,0
100,-17,30,0,44,1,-14,-3.84,0,1,0,0,1,0
96,-4,29,-1,47,3,-18,-3.13,0,1,0,0,1,0
94,-2,29,0,49,2,-20,-2.42,0,1,0,0,1,0
92,-2,28,-1,50,1,-22,-2.42,0,1,0,0,1,0
91,-1,28,0,52,2,-24,-1.72,0,1,0,0,1,0
88,-3,27,-1,54,2,-27,-1.36,1,0,0,0,1,0
88,0,25,-2,56,2,-31,-1.36,1,0,0,1,0,0
86,-2,25,0,58,2,-33,-0.66,1,0,0,1,0,0
81,-5,26,1,61,3,-35,0.76,0,1,0,1,0,0
79,-2,25,-1,63,2,-38,1.11,0,1,0,0,1,0
76,-3,26,1,65,2,-39,2.17,0,1,0,0,1,0
75,-1,25,-1,68,3,-43,2.88,0,1,0,0,1,0
72,-3,25,0,70,2,-45,3.59,1,0,0,0,1,0
70,-2,24,-1,73,3,-49,4.29,0,1,0,1,0,0
68,-2,26,2,75,2,-49,5.71,0,1,0,0,1,0
66,-2,27,1,80,5,-53,7.83,0,1,0,0,1,0
64,-2,25,-2,82,2,-57,7.83,0,1,0,0,1,0
61,-3,26,1,84,2,-58,8.89,1,0,0,0,1,0
60,-1,25,-1,87,3,-62,9.60,1,0,0,1,0,0
58,-2,27,2,26,-61,1,-11.26,0,1,0,1,0,0
56,-2,28,1,25,-1,3,-11.26,0,1,0,0,1,0
55,-1,29,1,25,0,4,-10.91,0,1,0,0,1,0
53,-2,29,0,25,0,4,-10.91,0,1,0,0,1,0
51,-2,65,36,26,1,39,2.17,0,1,0,0,1,0
49,-2,65,0,26,0,39,2.17,0,1,0,0,1,0

