front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
45,-5,34,-4,400,0,0,0,1,0,0,0,0,1,0,0,
43,-2,32,-2,400,0,0,0,1,0,0,0,0,1,0,0,
56,13,31,-1,400,0,0,1,0,0,0,0,0,1,0,0,
52,-4,29,-2,400,0,0,1,0,0,0,0,1,0,0,0,
50,-2,26,-3,400,0,0,1,0,0,0,0,1,0,0,0,
47,-3,25,-1,400,0,0,1,0,0,0,0,1,0,0,0,
400,353,24,-1,400,0,0,1,0,0,0,0,1,0,0,0,
400,0,28,4,71,-329,0,1,0,0,0,0,1,0,0,0,
400,0,28,0,67,-4,0,0,1,0,0,0,1,0,0,0,
400,0,31,3,29,-38,0,0,1,0,0,0,0,1,0,0,
400,0,36,5,38,9,0,0,1,0,0,0,0,1,0,0,
400,0,31,-5,36,-2,0,0,1,0,0,0,0,1,0,0,
400,0,30,-1,40,4,0,0,1,0,0,0,0,1,0,0,
400,0,29,-1,41,1,0,0,1,0,0,0,0,1,0,0,
400,0,29,0,44,3,0,0,1,0,0,0,0,1,0,0,
400,0,400,371,400,356,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,53,-347,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,36,-17,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,37,1,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,40,3,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,43,3,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,67,24,0,0,1,0,0,0,0,0,1,0,
400,0,400,0,70,3,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,400,330,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,400,0,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,400,0,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,400,0,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,400,0,0,0,1,0,0,0,0,0,1,0,
400,0,30,-370,119,-281,0,0,1,0,0,0,0,1,0,0,
400,0,29,-1,120,1,0,0,1,0,0,0,0,1,0,0,
400,0,30,1,400,280,0,1,0,0,0,0,0,1,0,0,
400,0,29,-1,400,0,0,0,1,0,0,0,1,0,0,0,
400,0,400,371,27,-373,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,29,2,0,0,1,0,0,0,0,1,0,0,
