front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
61,0,57,0,74,-1,0,0,1,0,0,0,0,1,0,0,
60,-1,56,-1,75,1,0,0,1,0,0,0,0,1,0,0,
59,-1,55,-1,69,-6,0,0,1,0,0,0,0,1,0,0,
58,-1,53,-2,69,0,0,0,1,0,0,0,0,1,0,0,
56,-2,52,-1,70,1,0,0,1,0,0,0,0,1,0,0,
55,-1,50,-2,70,0,0,0,1,0,0,0,0,1,0,0,
54,-1,48,-2,71,1,0,0,1,0,0,0,0,1,0,0,
51,-3,48,0,71,0,0,0,1,0,0,0,0,1,0,0,
51,0,30,-18,72,1,0,0,1,0,0,0,0,1,0,0,
50,-1,44,14,74,2,0,0,1,0,0,0,0,1,0,0,
53,3,43,-1,75,1,0,0,1,0,0,0,0,1,0,0,
50,-3,42,-1,74,-1,0,0,1,0,0,0,0,1,0,0,
62,12,39,-3,76,2,0,0,1,0,0,0,0,1,0,0,
60,-2,38,-1,76,0,0,0,1,0,0,0,0,1,0,0,
58,-2,36,-2,77,1,0,0,1,0,0,0,0,1,0,0,
56,-2,34,-2,78,1,0,1,0,0,0,0,0,1,0,0,
54,-2,17,-17,78,0,0,1,0,0,0,0,1,0,0,0,
51,-3,32,15,74,-4,0,1,0,0,0,0,1,0,0,0,
50,-1,16,-16,57,-17,0,1,0,0,0,0,1,0,0,0,
49,-1,31,15,54,-3,0,0,1,0,0,0,1,0,0,0,
70,21,32,1,57,3,0,0,1,0,0,0,0,1,0,0,
287,217,30,-2,50,-7,0,0,1,0,0,0,0,1,0,0,
400,113,30,0,51,1,0,1,0,0,0,0,0,1,0,0,
63,-337,29,-1,52,1,0,1,0,0,0,0,1,0,0,0,
62,-1,28,-1,51,-1,0,1,0,0,0,0,1,0,0,0,
400,338,30,2,36,-15,0,0,1,0,0,0,1,0,0,0,
81,-319,31,1,36,0,0,0,1,0,0,0,0,1,0,0,
400,319,32,1,33,-3,0,0,1,0,0,0,0,1,0,0,
400,0,32,0,32,-1,0,0,1,0,0,0,0,1,0,0,
65,-335,32,0,33,1,0,0,1,0,0,0,0,1,0,0,
63,-2,32,0,37,4,0,0,1,0,0,0,0,1,0,0,
60,-3,400,368,57,20,0,0,1,0,0,0,0,1,0,0,
320,260,31,-369,66,9,0,0,1,0,0,0,0,1,0,0,
56,-264,33,2,36,-30,0,0,1,0,0,0,0,1,0,0,

