front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
157,-4,34,-1,102,2,0,0,1,0,0,0,0,1,0,0,
155,-2,33,-1,103,1,0,0,1,0,0,0,0,1,0,0,
153,-2,31,-2,105,2,0,0,1,0,0,0,0,1,0,0,
151,-2,31,0,107,2,0,1,0,0,0,0,0,1,0,0,
148,-3,21,-10,114,7,0,1,0,0,0,0,1,0,0,0,
146,-2,29,8,57,-57,0,1,0,0,0,0,1,0,0,0,
143,-3,29,0,58,1,0,1,0,0,0,0,1,0,0,0,
140,-3,30,1,38,-20,0,1,0,0,0,0,1,0,0,0,
137,-3,32,2,38,0,0,0,1,0,0,0,1,0,0,0,
135,-2,400,368,41,3,0,0,1,0,0,0,0,1,0,0,
131,-4,38,-362,43,2,0,0,1,0,0,0,0,1,0,0,
129,-2,147,109,43,0,0,0,1,0,0,0,0,1,0,0,
127,-2,36,-111,33,-10,0,0,1,0,0,0,0,1,0,0,
124,-3,76,40,48,15,0,0,1,0,0,0,0,1,0,0,
121,-3,76,0,36,-12,0,0,1,0,0,0,0,1,0,0,
119,-2,139,63,52,16,0,0,1,0,0,0,0,1,0,0,
116,-3,66,-73,36,-16,0,0,1,0,0,0,0,1,0,0,
115,-1,65,-1,37,1,0,0,1,0,0,0,0,1,0,0,
111,-4,69,4,36,-1,0,0,1,0,0,0,0,1,0,0,
108,-3,65,-4,36,0,0,0,0,1,0,0,0,1,0,0,
106,-2,65,0,36,0,0,0,0,1,0,0,0,0,1,0,
103,-3,65,0,42,6,0,0,0,1,0,0,0,0,1,0,
101,-2,62,-3,43,1,0,0,0,1,0,0,0,0,1,0,
99,-2,60,-2,68,25,0,0,0,1,0,0,0,0,1,0,
97,-2,58,-2,71,3,0,0,1,0,0,0,0,0,1,0,
96,-1,56,-2,166,95,0,0,1,0,0,0,0,1,0,0,
94,-2,44,-12,174,8,0,0,1,0,0,0,0,1,0,0,
88,-6,43,-1,167,-7,0,0,1,0,0,0,0,1,0,0,
91,3,52,9,169,2,0,0,1,0,0,0,0,1,0,0,
84,-7,50,-2,180,11,0,0,0,1,0,0,0,1,0,0,
81,-3,50,0,184,4,0,0,0,1,0,0,0,0,1,0,
77,-4,47,-3,176,-8,0,0,0,1,0,0,0,0,1,0,
50,-27,45,-2,177,1,0,0,0,1,0,0,0,0,1,0,
46,-4,43,-2,179,2,0,0,1,0,0,0,0,0,1,0,
43,-3,41,-2,186,7,0,1,0,0,0,0,0,1,0,0,
40,-3,39,-2,188,2,0,1,0,0,0,0,1,0,0,0,
39,-1,38,-1,182,-6,0,1,0,0,0,0,1,0,0,0,
39,0,36,-2,189,7,0,1,0,0,0,0,1,0,0,0,
38,-1,34,-2,186,-3,0,1,0,0,0,0,1,0,0,0,
42,4,33,-1,59,-127,0,1,0,0,0,0,1,0,0,0,
57,15,34,1,31,-28,0,1,0,0,0,0,1,0,0,0,
56,-1,32,-2,34,3,0,1,0,0,0,0,1,0,0,0,
56,0,33,1,36,2,0,1,0,0,0,0,1,0,0,0,
63,7,33,0,46,10,0,1,0,0,0,0,1,0,0,0,
61,-2,34,1,49,3,0,0,1,0,0,0,1,0,0,0,
58,-3,35,1,50,1,0,0,1,0,0,0,0,1,0,0,
56,-2,35,0,36,-14,0,0,1,0,0,0,0,1,0,0,
54,-2,34,-1,54,18,0,0,1,0,0,0,0,1,0,0,
51,-3,34,0,36,-18,0,0,1,0,0,0,0,1,0,0,
49,-2,34,0,37,1,0,1,0,0,0,0,0,1,0,0,
48,-1,33,-1,36,-1,0,1,0,0,0,0,1,0,0,0,
45,-3,34,1,36,0,0,1,0,0,0,0,1,0,0,0,
43,-2,36,2,34,-2,0,1,0,0,0,0,1,0,0,0,
41,-2,39,3,34,0,0,1,0,0,0,0,1,0,0,0,
40,-1,41,2,32,-2,0,1,0,0,0,0,1,0,0,0,
37,-3,50,9,32,0,0,1,0,0,0,0,1,0,0,0,
38,1,38,-12,32,0,0,1,0,0,0,0,1,0,0,0,
37,-1,35,-3,33,1,0,1,0,0,0,0,1,0,0,0,
36,-1,33,-2,34,1,0,1,0,0,0,0,1,0,0,0,
39,3,31,-2,35,1,0,1,0,0,0,0,1,0,0,0,
57,18,29,-2,37,2,0,1,0,0,0,0,1,0,0,0,
56,-1,28,-1,39,2,0,1,0,0,0,0,1,0,0,0,
54,-2,28,0,40,1,0,1,0,0,0,0,1,0,0,0,
52,-2,28,0,42,2,0,1,0,0,0,0,1,0,0,0,
50,-2,29,1,45,3,0,1,0,0,0,0,1,0,0,0,
50,0,29,0,48,3,0,1,0,0,0,0,1,0,0,0,
72,22,28,-1,57,9,0,1,0,0,0,0,1,0,0,0,
400,328,31,3,60,3,0,0,1,0,0,0,1,0,0,0,
400,0,36,5,30,-30,0,0,1,0,0,0,0,1,0,0,
400,0,41,5,30,0,0,0,1,0,0,0,0,1,0,0,
400,0,41,0,31,1,0,0,0,1,0,0,0,1,0,0,
400,0,40,-1,41,10,0,0,1,0,0,0,0,0,1,0,
400,0,30,-10,43,2,0,0,1,0,0,0,0,1,0,0,
80,-320,30,0,45,2,0,0,1,0,0,0,0,1,0,0,
77,-3,30,0,46,1,0,0,1,0,0,0,0,1,0,0,
75,-2,29,-1,50,4,0,0,1,0,0,0,0,1,0,0,
72,-3,29,0,50,0,0,0,1,0,0,0,0,1,0,0,
