front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
56,0,54,0,187,1,0,0,0,1,0,0,0,0,1,0,
54,-2,52,-2,189,2,0,0,0,1,0,0,0,0,1,0,
51,-3,50,-2,191,2,0,0,0,1,0,0,0,0,1,0,
48,-3,49,-1,193,2,0,0,0,1,0,0,0,0,1,0,
46,-2,36,-13,326,133,0,0,1,0,0,0,0,0,1,0,
42,-4,33,-3,328,2,0,0,1,0,0,0,0,1,0,0,
40,-2,31,-2,331,3,0,1,0,0,0,0,0,1,0,0,
37,-3,30,-1,331,0,0,1,0,0,0,0,1,0,0,0,
35,-2,46,16,334,3,0,1,0,0,0,0,1,0,0,0,
33,-2,44,-2,194,-140,0,1,0,0,0,0,1,0,0,0,
31,-2,38,-6,192,-2,0,1,0,0,0,0,1,0,0,0,
30,-1,42,4,193,1,0,1,0,0,0,0,1,0,0,0,
28,-2,28,-14,193,0,0,1,0,0,0,0,1,0,0,0,
28,0,26,-2,193,0,0,1,0,0,0,0,1,0,0,0,
27,-1,23,-3,58,-135,0,1,0,0,0,0,1,0,0,0,
26,-1,22,-1,36,-22,0,1,0,0,0,0,1,0,0,0,
73,47,21,-1,46,10,0,1,0,0,0,0,1,0,0,0,
61,-12,20,-1,32,-14,0,1,0,0,0,0,1,0,0,0,
58,-3,20,0,34,2,0,1,0,0,0,0,1,0,0,0,
57,-1,19,-1,36,2,0,1,0,0,0,0,1,0,0,0,
58,1,20,1,38,2,0,1,0,0,0,0,1,0,0,0,
56,-2,21,1,42,4,0,1,0,0,0,0,1,0,0,0,
54,-2,22,1,29,-13,0,1,0,0,0,0,1,0,0,0,
51,-3,21,-1,23,-6,0,1,0,0,0,0,1,0,0,0,
49,-2,23,2,22,-1,0,1,0,0,0,0,1,0,0,0,
47,-2,27,4,21,-1,0,1,0,0,0,0,1,0,0,0,
46,-1,32,5,20,-1,0,1,0,0,0,0,1,0,0,0,
45,-1,47,15,20,0,0,1,0,0,0,0,1,0,0,0,
43,-2,46,-1,20,0,0,1,0,0,0,0,1,0,0,0,
44,1,44,-2,21,1,0,0,1,0,0,0,1,0,0,0,
50,6,41,-3,22,1,0,0,1,0,0,0,0,1,0,0,
51,1,38,-3,23,1,0,0,1,0,0,0,0,1,0,0,
49,-2,36,-2,25,2,0,1,0,0,0,0,0,1,0,0,
36,-13,34,-2,26,1,0,1,0,0,0,0,1,0,0,0,
36,0,32,-2,27,1,0,1,0,0,0,0,1,0,0,0,
36,0,30,-2,28,1,0,1,0,0,0,0,1,0,0,0,
44,8,29,-1,29,1,0,1,0,0,0,0,1,0,0,0,
43,-1,27,-2,30,1,0,1,0,0,0,0,1,0,0,0,
59,16,27,0,34,4,0,1,0,0,0,0,1,0,0,0,
56,-3,26,-1,35,1,0,1,0,0,0,0,1,0,0,0,
55,-1,26,0,37,2,0,1,0,0,0,0,1,0,0,0,
53,-2,28,2,40,3,0,1,0,0,0,0,1,0,0,0,
54,1,27,-1,43,3,0,0,1,0,0,0,1,0,0,0,
77,23,28,1,46,3,0,0,1,0,0,0,0,1,0,0,
75,-2,28,0,55,9,0,0,1,0,0,0,0,1,0,0,
400,325,28,0,57,2,0,0,1,0,0,0,0,1,0,0,
69,-331,27,-1,52,-5,0,0,1,0,0,0,0,1,0,0,
66,-3,29,2,61,9,0,1,0,0,0,0,0,1,0,0,
400,334,27,-2,64,3,0,1,0,0,0,0,1,0,0,0,
400,0,29,2,28,-36,0,0,1,0,0,0,1,0,0,0,
400,0,57,28,27,-1,0,0,1,0,0,0,0,1,0,0,
400,0,36,-21,29,2,0,0,1,0,0,0,0,1,0,0,
400,0,36,0,28,-1,0,0,1,0,0,0,0,1,0,0,
400,0,49,13,28,0,0,0,1,0,0,0,0,1,0,0,
400,0,48,-1,30,2,0,0,0,1,0,0,0,1,0,0,
400,0,46,-2,30,0,0,0,1,0,0,0,0,0,1,0,
400,0,34,-12,36,6,0,0,1,0,0,0,0,1,0,0,
400,0,31,-3,37,1,0,0,1,0,0,0,0,1,0,0,
400,0,32,1,38,1,0,0,1,0,0,0,0,1,0,0,
400,0,31,-1,39,1,0,0,1,0,0,0,0,1,0,0,
400,0,31,0,44,5,0,0,1,0,0,0,0,1,0,0,
400,0,30,-1,44,0,0,0,1,0,0,0,0,1,0,0,
