front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
66,0,400,0,50,20,0,0,1,0,0,0,0,1,0,0,
65,-1,400,0,55,5,0,0,1,0,0,0,0,1,0,0,
62,-3,400,0,36,-19,0,0,1,0,0,0,0,1,0,0,
58,-4,400,0,29,-7,0,0,1,0,0,0,0,1,0,0,
56,-2,400,0,43,14,0,1,0,0,0,0,0,1,0,0,
52,-4,400,0,52,9,0,1,0,0,0,0,1,0,0,0,
50,-2,400,0,57,5,0,1,0,0,0,0,1,0,0,0,
46,-4,400,0,54,-3,0,1,0,0,0,0,1,0,0,0,
43,-3,400,0,400,346,0,1,0,0,0,0,1,0,0,0,
38,-5,48,-352,400,0,0,1,0,0,0,0,1,0,0,0,
36,-2,36,-12,400,0,0,1,0,0,0,0,1,0,0,0,
34,-2,34,-2,400,0,0,1,0,0,0,0,1,0,0,0,
33,-1,32,-2,400,0,0,1,0,0,0,0,1,0,0,0,
36,3,30,-2,400,0,0,1,0,0,0,0,1,0,0,0,
123,87,28,-2,400,0,0,1,0,0,0,0,1,0,0,0,
119,-4,26,-2,400,0,0,1,0,0,0,0,1,0,0,0,
400,281,27,1,400,0,0,1,0,0,0,0,1,0,0,0,
400,0,28,1,49,-351,0,0,1,0,0,0,1,0,0,0,
400,0,30,2,38,-11,0,0,1,0,0,0,0,1,0,0,
400,0,100,70,40,2,0,0,1,0,0,0,0,1,0,0,
400,0,87,-13,45,5,0,0,1,0,0,0,0,1,0,0,
400,0,86,-1,46,1,0,0,1,0,0,0,0,1,0,0,
400,0,85,-1,63,17,0,0,1,0,0,0,0,1,0,0,
400,0,93,8,66,3,0,0,0,1,0,0,0,1,0,0,
400,0,84,-9,57,-9,0,0,0,1,0,0,0,0,1,0,
400,0,83,-1,57,0,0,0,0,1,0,0,0,0,1,0,
400,0,80,-3,57,0,0,0,0,1,0,0,0,0,1,0,
400,0,78,-2,75,18,0,0,1,0,0,0,0,0,1,0,
400,0,75,-3,76,1,0,0,1,0,0,0,0,1,0,0,
400,0,73,-2,79,3,0,0,0,1,0,0,0,1,0,0,
400,0,71,-2,400,321,0,0,0,1,0,0,0,0,1,0,
75,-325,68,-3,400,0,0,0,0,1,0,0,0,0,1,0,
69,-6,65,-3,400,0,0,0,0,1,0,0,0,0,1,0,
64,-5,62,-3,400,0,0,0,1,0,0,0,0,0,1,0,
60,-4,40,-22,400,0,0,0,1,0,0,0,0,1,0,0,
56,-4,57,17,400,0,0,0,1,0,0,0,0,1,0,0,
54,-2,55,-2,400,0,0,0,1,0,0,0,0,1,0,0,
50,-4,52,-3,400,0,0,0,1,0,0,0,0,1,0,0,
47,-3,50,-2,400,0,0,0,0,1,0,0,0,1,0,0,
44,-3,47,-3,400,0,0,0,0,1,0,0,0,0,1,0,
40,-4,51,4,400,0,0,1,0,0,0,0,0,0,1,0,
37,-3,48,-3,400,0,0,1,0,0,0,0,1,0,0,0,
36,-1,45,-3,27,-373,0,1,0,0,0,0,1,0,0,0,
34,-2,43,-2,25,-2,0,1,0,0,0,0,1,0,0,0,
32,-2,38,-5,25,0,0,1,0,0,0,0,1,0,0,0,
30,-2,37,-1,25,0,0,1,0,0,0,0,1,0,0,0,
30,0,30,-7,25,0,0,1,0,0,0,0,1,0,0,0,
28,-2,28,-2,26,1,0,1,0,0,0,0,1,0,0,0,
29,1,25,-3,28,2,0,1,0,0,0,0,1,0,0,0,
56,27,24,-1,29,1,0,1,0,0,0,0,1,0,0,0,
30,-26,23,-1,31,2,0,1,0,0,0,0,1,0,0,0,
41,11,23,0,32,1,0,1,0,0,0,0,1,0,0,0,
44,3,22,-1,34,2,0,1,0,0,0,0,1,0,0,0,
50,6,21,-1,37,3,0,1,0,0,0,0,1,0,0,0,
36,-14,21,0,38,1,0,1,0,0,0,0,1,0,0,0,
36,0,22,1,43,5,0,1,0,0,0,0,1,0,0,0,
31,-5,22,0,50,7,0,0,1,0,0,0,1,0,0,0,
29,-2,29,7,25,-25,0,0,1,0,0,0,0,1,0,0,
26,-3,28,-1,25,0,0,0,1,0,0,0,0,1,0,0,
24,-2,24,-4,25,0,0,0,1,0,0,0,0,1,0,0,
23,-1,24,0,26,1,0,0,1,0,0,0,0,1,0,0,
20,-3,25,1,56,30,0,0,1,0,0,0,0,1,0,0,
