front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5,
73,3,22,1,19,-2,0,0,1,0,0,0,1,0,0,0,
72,-1,69,47,18,-1,0,0,1,0,0,0,0,1,0,0,
70,-2,68,-1,19,1,0,0,1,0,0,0,0,1,0,0,
68,-2,67,-1,19,0,0,0,0,1,0,0,0,1,0,0,
66,-2,57,-10,21,2,0,0,0,1,0,0,0,0,1,0,
64,-2,58,1,63,42,0,0,1,0,0,0,0,0,1,0,
61,-3,268,210,35,-28,0,0,1,0,0,0,0,1,0,0,
58,-3,21,-247,50,15,0,0,1,0,0,0,0,1,0,0,
56,-2,21,0,37,-13,0,0,1,0,0,0,0,1,0,0,
53,-3,22,1,52,15,0,1,0,0,0,0,0,1,0,0,
51,-2,20,-2,53,1,0,1,0,0,0,0,1,0,0,0,
49,-2,20,0,56,3,0,0,1,0,0,0,1,0,0,0,
50,1,48,28,21,-35,0,0,1,0,0,0,0,1,0,0,
69,19,23,-25,61,40,0,0,1,0,0,0,0,1,0,0,
67,-2,43,20,20,-41,0,0,1,0,0,0,0,1,0,0,
65,-2,23,-20,66,46,0,0,1,0,0,0,0,1,0,0,
400,335,25,2,21,-45,0,0,1,0,0,0,0,1,0,0,
61,-339,24,-1,22,1,0,0,1,0,0,0,0,1,0,0,
261,200,23,-1,21,-1,0,0,1,0,0,0,0,1,0,0,
258,-3,24,1,22,1,0,0,1,0,0,0,0,1,0,0,
257,-1,24,0,22,0,0,0,1,0,0,0,0,1,0,0,
253,-4,23,-1,22,0,0,0,1,0,0,0,0,1,0,0,
251,-2,24,1,24,2,0,0,1,0,0,0,0,1,0,0,
249,-2,23,-1,23,-1,0,0,1,0,0,0,0,1,0,0,
247,-2,24,1,24,1,0,0,1,0,0,0,0,1,0,0,
244,-3,26,2,22,-2,0,0,1,0,0,0,0,1,0,0,
242,-2,27,1,40,18,0,0,1,0,0,0,0,1,0,0,
239,-3,23,-4,43,3,0,0,1,0,0,0,0,1,0,0,
237,-2,25,2,46,3,0,0,1,0,0,0,0,1,0,0,
235,-2,23,-2,36,-10,0,0,1,0,0,0,0,1,0,0,
232,-3,24,1,50,14,0,0,1,0,0,0,0,1,0,0,
230,-2,21,-3,51,1,0,0,1,0,0,0,0,1,0,0,
227,-3,21,0,55,4,0,0,1,0,0,0,0,1,0,0,
226,-1,21,0,63,8,0,0,1,0,0,0,0,1,0,0,
223,-3,20,-1,164,101,0,0,1,0,0,0,0,1,0,0,
219,-4,20,0,60,-104,0,0,1,0,0,0,0,1,0,0,
216,-3,20,0,64,4,0,0,1,0,0,0,0,1,0,0,
216,0,19,-1,36,-28,0,0,1,0,0,0,0,1,0,0,
