front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
45,0,50,0,10,0,40,-8.79,0,1,0,0,1,0
44,-1,50,0,67,57,-17,11.37,1,0,0,0,1,0
42,-2,49,-1,16,-51,33,-7.02,1,0,0,1,0,0
40,-2,43,-6,70,54,-27,9.95,1,0,0,1,0,0
39,-1,41,-2,10,-60,31,-11.97,1,0,0,1,0,0
38,-1,41,0,9,-1,32,-12.32,1,0,0,1,0,0
37,-1,39,-2,9,0,30,-13.03,1,0,0,1,0,0
36,-1,36,-3,9,0,27,-14.09,1,0,0,1,0,0
35,-1,35,-1,10,1,25,-14.09,1,0,0,1,0,0
36,1,32,-3,10,0,22,-15.15,1,0,0,1,0,0
107,71,31,-1,11,1,20,-15.15,1,0,0,1,0,0
61,-46,30,-1,12,1,18,-15.15,1,0,0,1,0,0
59,-2,29,-1,15,3,14,-14.44,1,0,0,1,0,0
56,-3,30,1,16,1,14,-13.74,1,0,0,1,0,0
56,0,28,-2,17,1,11,-14.09,1,0,0,1,0,0
55,-1,28,0,20,3,8,-13.03,1,0,0,1,0,0
56,1,28,0,22,2,6,-12.32,0,1,0,1,0,0
241,185,29,1,39,17,-10,-5.96,0,1,0,0,1,0
239,-2,29,0,29,-10,0,-9.49,0,1,0,0,1,0
236,-3,28,-1,41,12,-13,-5.61,0,1,0,0,1,0
234,-2,29,1,42,1,-13,-4.90,0,1,0,0,1,0
231,-3,28,-1,43,1,-15,-4.90,0,1,0,0,1,0
229,-2,29,1,38,-5,-9,-6.31,0,1,0,0,1,0
226,-3,28,-1,45,7,-17,-4.19,0,1,0,0,1,0
224,-2,27,-1,41,-4,-14,-5.96,1,0,0,0,1,0
222,-2,29,2,44,3,-15,-4.19,0,1,0,1,0,0
220,-2,28,-1,44,0,-16,-4.54,0,1,0,0,1,0
217,-3,29,1,46,2,-17,-3.48,0,1,0,0,1,0
215,-2,30,1,48,2,-18,-2.42,0,1,0,0,1,0
213,-2,30,0,50,2,-20,-1.72,0,1,0,0,1,0
210,-3,29,-1,52,2,-23,-1.36,0,1,0,0,1,0
208,-2,29,0,54,2,-25,-0.66,0,1,0,0,1,0
206,-2,29,0,56,2,-27,0.05,0,1,0,0,1,0
203,-3,104,75,57,1,47,26.92,0,1,0,0,1,0
200,-3,30,-74,60,3,-30,1.82,0,1,0,0,1,0
198,-2,31,1,30,-30,1,-8.43,0,1,0,0,1,0
196,-2,102,71,30,0,72,16.67,0,1,0,0,1,0
193,-3,32,-70,78,48,-46,8.89,0,1,0,0,1,0
191,-2,32,0,70,-8,-38,6.06,0,1,0,0,1,0
189,-2,110,78,73,3,37,34.70,0,1,0,0,1,0
186,-3,108,-2,74,1,34,34.35,0,1,0,0,1,0
184,-2,154,46,77,3,77,51.67,0,1,0,0,1,0
181,-3,106,-48,110,33,-4,46.37,0,1,0,0,1,0
179,-2,64,-42,30,-80,34,3.23,0,1,0,0,1,0
176,-3,61,-3,31,1,30,2.53,0,1,0,0,1,0
174,-2,59,-2,30,-1,29,1.47,0,1,0,0,1,0
172,-2,62,3,30,0,32,2.53,0,1,0,0,1,0
169,-3,56,-6,41,11,15,4.29,0,1,0,0,1,0
167,-2,56,0,37,-4,19,2.88,0,1,0,0,1,0
165,-2,225,169,247,210,-22,136.88,0,1,0,0,1,0
125,-40,225,0,42,-205,183,64.40,0,1,0,0,1,0
160,35,56,-169,32,-10,24,1.11,0,1,0,0,1,0
157,-3,222,166,32,0,190,59.80,0,1,0,0,1,0
155,-2,220,-2,32,0,188,59.09,0,1,0,0,1,0
152,-3,54,-166,32,0,22,0.41,0,1,0,0,1,0
150,-2,51,-3,33,1,18,-0.30,0,1,0,0,1,0
147,-3,51,0,33,0,18,-0.30,0,1,0,0,1,0
145,-2,50,-1,33,0,17,-0.66,0,1,0,0,1,0
73,-72,50,0,34,1,16,-0.30,0,1,0,0,1,0
71,-2,50,0,34,0,16,-0.30,0,1,0,0,1,0
70,-1,50,0,35,1,15,0.05,0,0,1,0,1,0
67,-3,67,17,35,0,32,6.06,0,0,1,0,0,1
64,-3,39,-28,36,1,3,-3.48,0,0,1,0,0,1
132,68,37,-2,37,1,0,-3.84,0,1,0,0,0,1
130,-2,36,-1,62,25,-26,4.65,0,1,0,0,1,0
129,-1,35,-1,63,1,-28,4.65,0,1,0,0,1,0
126,-3,33,-2,66,3,-33,5.00,0,1,0,0,1,0
124,-2,34,1,70,4,-36,6.77,0,1,0,0,1,0
122,-2,35,1,72,2,-37,7.83,0,1,0,0,1,0
120,-2,33,-2,74,2,-41,7.83,0,1,0,0,1,0
118,-2,33,0,76,2,-43,8.54,0,1,0,0,1,0
116,-2,32,-1,149,73,-117,33.99,0,1,0,0,1,0
114,-2,31,-1,156,7,-125,36.11,0,1,0,0,1,0
111,-3,31,0,81,-75,-50,9.60,1,0,0,0,1,0
109,-2,30,-1,81,0,-51,9.24,0,1,0,1,0,0
107,-2,31,1,160,79,-129,37.53,0,1,0,0,1,0
105,-2,31,0,272,112,-241,77.13,0,1,0,0,1,0
102,-3,31,0,274,2,-243,77.83,0,1,0,0,1,0
99,-3,31,0,275,1,-244,78.19,0,1,0,0,1,0
97,-2,31,0,277,2,-246,78.89,0,1,0,0,1,0
94,-3,31,0,36,-241,-5,-6.31,0,1,0,0,1,0
92,-2,33,2,35,-1,-2,-5.96,0,1,0,0,1,0
90,-2,39,6,36,1,3,-3.48,0,1,0,0,1,0
87,-3,37,-2,33,-3,4,-5.25,0,1,0,0,1,0
85,-2,69,32,33,0,36,6.06,0,1,0,0,1,0
83,-2,69,0,32,-1,37,5.71,0,1,0,0,1,0
80,-3,400,331,32,0,368,122.73,0,1,0,0,1,0
77,-3,400,0,33,1,367,123.09,0,1,0,0,1,0
74,-3,400,0,33,0,367,123.09,0,1,0,0,1,0
71,-3,400,0,33,0,367,123.09,0,1,0,0,1,0
68,-3,400,0,32,-1,368,122.73,0,1,0,0,1,0
65,-3,400,0,50,18,350,129.10,0,0,1,0,1,0
62,-3,395,-5,55,5,340,129.10,0,0,1,0,0,1
59,-3,400,5,37,-18,363,124.50,0,0,1,0,0,1
56,-3,400,0,58,21,342,131.93,0,0,1,0,0,1
54,-2,389,-11,60,2,329,128.74,0,0,1,0,0,1
53,-1,319,-70,59,-1,260,103.64,0,0,1,0,0,1
51,-2,317,-2,60,1,257,103.29,0,0,1,0,0,1
51,0,134,-183,64,4,70,40.00,0,0,1,0,0,1
50,-1,131,-3,66,2,65,39.65,0,0,1,0,0,1
50,0,129,-2,67,1,62,39.30,0,0,1,0,0,1
400,350,78,-51,69,2,9,21.97,0,1,0,0,0,1
375,-25,76,-2,71,2,5,21.97,0,1,0,0,1,0
307,-68,74,-2,71,0,3,21.26,0,1,0,0,1,0
304,-3,74,0,71,0,3,21.26,0,1,0,0,1,0
301,-3,105,31,72,1,33,32.58,0,1,0,0,1,0
298,-3,119,14,72,0,47,37.53,0,1,0,0,1,0
296,-2,70,-49,71,-1,-1,19.85,0,1,0,0,1,0
293,-3,70,0,71,0,-1,19.85,0,0,1,0,1,0
291,-2,67,-3,72,1,-5,19.14,0,1,0,0,0,1
288,-3,44,-23,72,0,-28,11.01,0,1,0,0,1,0
286,-2,117,73,73,1,44,37.17,0,1,0,0,1,0
283,-3,65,-52,73,0,-8,18.79,0,1,0,0,1,0
281,-2,109,44,73,0,36,34.35,0,0,1,0,1,0
278,-3,58,-51,75,2,-17,17.02,0,0,1,0,0,1
276,-2,56,-2,74,-1,-18,15.96,0,1,0,0,0,1
274,-2,38,-18,75,1,-37,9.95,0,1,0,0,1,0
271,-3,36,-2,76,1,-40,9.60,0,1,0,0,1,0
102,-169,36,0,76,0,-40,9.60,0,1,0,0,1,0
266,164,34,-2,36,-40,-2,-5.25,0,1,0,0,1,0
99,-167,33,-1,35,-1,-2,-5.96,0,0,1,0,1,0
262,163,33,0,36,1,-3,-5.61,0,1,0,0,0,1
97,-165,32,-1,140,104,-108,30.81,0,1,0,0,1,0
80,-17,31,-1,120,-20,-89,23.39,0,1,0,0,1,0
77,-3,31,0,36,-84,-5,-6.31,0,1,0,0,1,0
77,0,30,-1,117,81,-87,21.97,1,0,0,0,1,0
77,0,30,0,119,2,-89,22.68,0,1,0,1,0,0
74,-3,31,1,37,-82,-6,-5.96,0,1,0,0,1,0
82,8,32,1,36,-1,-4,-5.96,0,1,0,0,1,0
148,66,33,1,40,4,-7,-4.19,0,1,0,0,1,0
242,94,36,3,36,-4,0,-4.54,0,1,0,0,1,0
