front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
56,17,31,-1,16,0,15,-13.38,0,1,0,0,1,0
66,10,16,-15,16,0,0,-18.69,0,1,0,0,1,0
80,14,16,0,30,14,-14,-13.74,0,1,0,0,1,0
70,-10,31,15,22,-8,9,-11.26,0,1,0,0,1,0
66,-4,30,-1,29,7,1,-9.14,0,1,0,0,1,0
400,334,29,-1,30,1,-1,-9.14,0,1,0,0,1,0
50,-350,29,0,29,-1,0,-9.49,0,1,0,0,1,0
36,-14,30,1,16,-13,14,-13.74,0,1,0,0,1,0
400,364,16,-14,29,13,-13,-14.09,0,1,0,0,1,0
56,-344,37,21,29,0,8,-6.67,0,1,0,0,1,0
400,344,16,-21,41,12,-25,-9.85,0,1,0,0,1,0
50,-350,18,2,28,-13,-10,-13.74,0,1,0,0,1,0
50,0,16,-2,18,-10,-2,-17.98,0,1,0,0,1,0
400,350,16,0,22,4,-6,-16.57,0,1,0,0,1,0
42,-358,36,20,31,9,5,-6.31,0,1,0,0,1,0
400,358,30,-6,30,-1,0,-8.79,0,1,0,0,1,0
60,-340,45,15,16,-14,29,-8.43,0,1,0,0,1,0
400,340,36,-9,20,4,16,-10.20,0,1,0,0,1,0
36,-364,39,3,30,10,9,-5.61,0,1,0,0,1,0
33,-3,16,-23,16,-14,0,-18.69,0,1,0,0,1,0
400,367,28,12,16,0,12,-14.44,0,1,0,0,1,0
56,-344,30,2,25,9,5,-10.55,0,1,0,0,1,0
400,344,54,24,29,4,25,-0.66,0,1,0,0,1,0
37,-363,36,-18,29,0,7,-7.02,0,1,0,0,1,0
36,-1,16,-20,21,-8,-5,-16.92,0,0,1,0,1,0
49,13,60,44,22,1,38,-1.01,0,0,1,0,0,1
400,351,29,-31,19,-3,10,-13.03,0,0,1,0,0,1
400,0,22,-7,18,-1,4,-15.86,0,1,0,0,0,1
56,-344,17,-5,19,1,-2,-17.27,0,1,0,0,1,0
58,2,32,15,36,17,-4,-5.96,0,1,0,0,1,0
400,342,33,1,50,14,-17,-0.66,0,1,0,0,1,0
400,0,49,16,19,-31,30,-5.96,0,1,0,0,1,0
76,-324,47,-2,19,0,28,-6.67,0,1,0,0,1,0
66,-10,36,-11,22,3,14,-9.49,0,1,0,0,1,0
400,334,36,0,16,-6,20,-11.62,0,1,0,0,1,0
70,-330,30,-6,17,1,13,-13.38,0,1,0,0,1,0
59,-11,16,-14,16,-1,0,-18.69,0,1,0,0,1,0
137,78,33,17,36,20,-3,-5.61,0,1,0,0,1,0
56,-81,34,1,24,-12,10,-9.49,0,1,0,0,1,0
60,4,23,-11,16,-8,7,-16.21,0,1,0,0,1,0
58,-2,27,4,30,14,-3,-9.85,0,1,0,0,1,0
56,-2,33,6,19,-11,14,-11.62,0,1,0,0,1,0
400,344,26,-7,36,17,-10,-8.08,0,1,0,0,1,0
50,-350,31,5,32,-4,-1,-7.73,0,1,0,0,1,0
47,-3,32,1,34,2,-2,-6.67,0,1,0,0,1,0
56,9,32,0,30,-4,2,-8.08,0,1,0,0,1,0
44,-12,16,-16,23,-7,-7,-16.21,0,1,0,0,1,0
36,-8,36,20,24,1,12,-8.79,0,1,0,0,1,0
18,-18,37,1,32,8,5,-5.61,0,1,0,0,1,0
49,31,35,-2,25,-7,10,-8.79,0,1,0,0,1,0
