front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
79,0,74,15,69,1,5,20.56,0,1,0,0,1,0
78,-1,74,0,57,-12,17,16.32,0,1,0,0,1,0
77,-1,56,-18,70,13,-14,14.55,0,1,0,0,1,0
75,-2,77,21,55,-15,22,16.67,0,1,0,0,1,0
74,-1,56,-21,56,1,0,9.60,0,1,0,0,1,0
89,15,121,65,33,-23,88,24.45,0,1,0,0,1,0
87,-2,70,-51,33,0,37,6.42,0,1,0,0,1,0
85,-2,152,82,34,1,118,35.76,1,0,0,0,1,0
82,-3,148,-4,29,-5,119,32.58,1,0,0,1,0,0
62,-20,153,5,36,7,117,36.82,1,0,0,1,0,0
79,17,64,-89,37,1,27,5.71,1,0,0,1,0,0
42,-37,46,-18,43,6,3,1.47,1,0,0,1,0,0
42,0,252,206,50,7,202,76.77,1,0,0,1,0,0
34,-8,75,-177,58,8,17,17.02,1,0,0,1,0,0
32,-2,72,-3,59,1,13,16.32,1,0,0,1,0,0
29,-3,73,1,63,4,10,18.08,1,0,0,1,0,0
27,-2,400,327,84,21,316,141.12,1,0,0,1,0,0
25,-2,400,0,148,64,252,163.75,1,0,0,1,0,0
25,0,28,-372,150,2,-122,32.93,1,0,0,1,0,0
400,375,21,-7,50,-100,-29,-4.90,1,0,0,1,0,0
36,-364,20,-1,86,36,-66,7.48,1,0,0,1,0,0
32,-4,19,-1,73,-13,-54,2.53,1,0,0,1,0,0
30,-2,19,0,261,188,-242,68.99,1,0,0,1,0,0
29,-1,20,1,400,139,-380,118.49,1,0,0,1,0,0
128,99,21,1,80,-320,-59,5.71,1,0,0,1,0,0
57,-71,22,1,163,83,-141,35.41,1,0,0,1,0,0
56,-1,22,0,29,-134,-7,-11.97,0,1,0,1,0,0
121,65,25,3,29,0,-4,-10.91,0,1,0,0,1,0
71,-50,29,4,24,-5,5,-11.26,0,1,0,0,1,0
68,-3,25,-4,24,0,1,-12.68,0,1,0,0,1,0
115,47,29,4,34,10,-5,-7.73,0,1,0,0,1,0
112,-3,30,1,35,1,-5,-7.02,0,1,0,0,1,0
61,-51,157,127,37,2,120,38.59,0,1,0,0,1,0
59,-2,29,-128,39,2,-10,-5.96,0,1,0,0,1,0
56,-3,154,125,41,2,113,38.94,0,1,0,0,1,0
56,0,29,-125,44,3,-15,-4.19,0,1,0,0,1,0
72,16,153,124,45,1,108,40.00,0,1,0,0,1,0
69,-3,400,247,48,3,352,128.39,0,1,0,0,1,0
65,-4,184,-216,50,2,134,52.73,0,1,0,0,1,0
63,-2,120,-64,51,1,69,30.46,0,1,0,0,1,0
81,18,131,11,56,5,75,36.11,0,1,0,0,1,0
58,-23,118,-13,57,1,61,31.87,0,1,0,0,1,0
57,-1,109,-9,400,343,-291,149.96,0,1,0,0,1,0
83,26,108,-1,400,0,-292,149.60,0,1,0,0,1,0
69,-14,107,-1,400,0,-293,149.25,0,0,1,0,1,0
76,7,105,-2,400,0,-295,148.54,0,0,1,0,0,1
74,-2,103,-2,400,0,-297,147.84,0,1,0,0,0,1
73,-1,100,-3,400,0,-300,146.77,0,1,0,0,1,0
72,-1,97,-3,57,-343,40,24.45,0,1,0,0,1,0
71,-1,95,-2,57,0,38,23.74,0,1,0,0,1,0
70,-1,92,-3,58,1,34,23.03,0,1,0,0,1,0
119,49,90,-2,60,2,30,23.03,0,0,1,0,1,0
96,-23,89,-1,75,15,14,27.98,0,0,1,0,0,1
92,-4,87,-2,63,-12,24,23.03,0,1,0,0,0,1
89,-3,85,-2,348,285,-263,123.09,0,1,0,0,1,0
86,-3,83,-2,231,-117,-148,81.01,0,1,0,0,1,0
84,-2,83,0,231,0,-148,81.01,0,1,0,0,1,0
82,-2,82,-1,233,2,-151,81.37,0,1,0,0,1,0
79,-3,79,-3,234,1,-155,80.66,0,0,1,0,1,0
77,-2,77,-2,91,-143,-14,29.40,0,0,1,0,0,1
75,-2,75,-2,236,145,-161,79.95,0,1,0,0,0,1
72,-3,75,0,239,3,-164,81.01,0,1,0,0,1,0
70,-2,79,4,89,-150,-10,29.40,0,1,0,0,1,0
68,-2,71,-8,90,1,-19,26.92,0,1,0,0,1,0
66,-2,140,69,91,1,49,51.67,0,1,0,0,1,0
64,-2,67,-73,365,274,-298,122.73,0,0,1,0,1,0
61,-3,65,-2,96,-269,-31,26.92,0,1,0,0,0,1
59,-2,136,71,101,5,35,53.79,0,1,0,0,1,0
57,-2,135,-1,106,5,29,55.21,0,1,0,0,1,0
55,-2,134,-1,130,24,4,63.34,0,1,0,0,1,0

