front;front_delta;front_right;front_right_delta;rear_right;rear_right_delta;mode1;mode2;mode3;mode4;mode5;prev_mode1;prev_mode2;prev_mode3;prev_mode4;prev_mode5;Column1
126;-4;76;-2;73;2;0;0;1;0;0;0;0;1;0;0;
125;-1;75;-1;73;0;0;0;1;0;0;0;0;1;0;0;
124;-1;74;-1;73;0;0;0;1;0;0;0;0;1;0;0;
121;-3;72;-2;74;1;0;0;0;1;0;0;0;1;0;0;
119;-2;70;-2;76;2;0;0;0;1;0;0;0;0;1;0;
116;-3;68;-2;77;1;0;0;0;1;0;0;0;0;1;0;
114;-2;66;-2;79;2;0;0;0;1;0;0;0;0;1;0;
113;-1;64;-2;25;-54;0;0;0;1;0;0;0;0;1;0;
65;-48;62;-2;24;-1;0;0;0;1;0;0;0;0;1;0;
61;-4;60;-2;109;85;0;0;0;1;0;0;0;0;1;0;
58;-3;59;-1;400;291;0;0;1;0;0;0;0;0;1;0;
55;-3;61;2;400;0;0;0;1;0;0;0;0;1;0;0;
51;-4;400;339;400;0;0;0;1;0;0;0;0;1;0;0;
47;-4;400;0;400;0;0;1;0;0;0;0;0;1;0;0;
43;-4;399;-1;400;0;0;0;1;0;0;0;1;0;0;0;
40;-3;396;-3;400;0;0;1;0;0;0;0;0;1;0;0;
36;-4;45;-351;90;-310;0;1;0;0;0;0;1;0;0;0;
35;-1;36;-9;90;0;0;1;0;0;0;0;1;0;0;0;
34;-1;34;-2;90;0;0;1;0;0;0;0;1;0;0;0;
32;-2;31;-3;92;2;0;1;0;0;0;0;1;0;0;0;
78;46;30;-1;93;1;0;0;1;0;0;0;1;0;0;0;
75;-3;28;-2;97;4;0;1;0;0;0;0;0;1;0;0;
73;-2;27;-1;103;6;0;1;0;0;0;0;1;0;0;0;
71;-2;26;-1;108;5;0;0;1;0;0;0;1;0;0;0;
70;-1;25;-1;117;9;0;1;0;0;0;0;0;1;0;0;
68;-2;25;0;397;280;0;1;0;0;0;0;1;0;0;0;
66;-2;26;1;398;1;0;0;1;0;0;0;1;0;0;0;
63;-3;25;-1;399;1;0;1;0;0;0;0;0;1;0;0;
63;0;26;1;400;1;0;0;1;0;0;0;1;0;0;0;
61;-2;28;2;400;0;0;0;1;0;0;0;0;1;0;0;
59;-2;28;0;29;-371;0;0;1;0;0;0;0;1;0;0;
70;11;29;1;29;0;0;0;1;0;0;0;0;1;0;0;
56;-14;29;0;63;34;0;0;1;0;0;0;0;1;0;0;
55;-1;29;0;30;-33;0;0;1;0;0;0;0;1;0;0;
