front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
62,0,16,0,16,-1,0,-18.69,0,1,0,0,1,0
62,0,16,0,16,0,0,-18.69,0,1,0,0,1,0
60,-2,20,4,19,3,1,-16.21,0,1,0,0,1,0
57,-3,26,6,16,-3,10,-15.15,0,1,0,0,1,0
56,-1,19,-7,20,4,-1,-16.21,0,1,0,0,1,0
30,-26,30,11,65,45,-35,3.59,0,1,0,0,1,0
63,33,16,-14,16,-49,0,-18.69,0,1,0,0,1,0
61,-2,23,7,17,1,6,-15.86,0,1,0,0,1,0
36,-25,25,2,16,-1,9,-15.50,0,1,0,0,1,0
65,29,56,31,29,13,27,0.05,0,1,0,0,1,0
56,-9,51,-5,36,7,15,0.76,0,1,0,0,1,0
61,5,16,-35,18,-18,-2,-17.98,0,1,0,0,1,0
53,-8,17,1,58,40,-41,-3.48,0,1,0,0,1,0
50,-3,17,0,57,-1,-40,-3.84,0,1,0,0,1,0
50,0,54,37,16,-41,38,-5.25,0,1,0,0,1,0
52,2,52,-2,36,20,16,1.11,0,1,0,0,1,0
39,-13,25,-27,20,-16,5,-14.09,0,1,0,0,1,0
36,-3,33,8,37,17,-4,-5.25,0,1,0,0,1,0
47,11,30,-3,16,-21,14,-13.74,0,1,0,0,1,0
44,-3,16,-14,55,39,-39,-4.90,0,1,0,0,1,0
42,-2,25,9,17,-38,8,-15.15,0,1,0,0,1,0
21,-21,38,13,17,0,21,-10.55,0,1,0,0,1,0
23,2,37,-1,36,19,1,-4.19,1,0,0,0,1,0
38,15,16,-21,19,-17,-3,-17.63,1,0,0,1,0,0
38,0,16,0,16,-3,0,-18.69,1,0,0,1,0,0
29,-9,33,17,18,2,15,-11.97,0,1,0,1,0,0
37,8,16,-17,16,-2,0,-18.69,0,1,0,0,1,0
36,-1,32,16,22,6,10,-10.91,1,0,0,0,1,0
60,24,16,-16,61,39,-45,-2.78,1,0,0,1,0,0
44,-16,20,4,18,-43,2,-16.57,1,0,0,1,0,0
17,-27,30,10,16,-2,14,-13.74,1,0,0,1,0,0
50,33,30,0,16,0,14,-13.74,0,1,0,1,0,0
44,-6,32,2,29,13,3,-8.43,0,1,0,0,1,0
37,-7,31,-1,17,-12,14,-13.03,0,1,0,0,1,0
36,-1,17,-14,36,19,-19,-11.26,0,1,0,0,1,0
35,-1,20,3,30,-6,-10,-12.32,0,1,0,0,1,0
33,-2,29,9,16,-14,13,-14.09,0,1,0,0,1,0
30,-3,29,0,22,6,7,-11.97,1,0,0,0,1,0
50,20,16,-13,41,19,-25,-9.85,0,1,0,1,0,0
36,-14,25,9,17,-24,8,-15.15,0,1,0,0,1,0
36,0,21,-4,36,19,-15,-9.85,0,1,0,0,1,0
29,-7,16,-5,32,-4,-16,-13.03,1,0,0,0,1,0
