front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
58,0,59,0,80,-1,-21,19.14,0,1,0,0,1,0
57,-1,75,16,81,1,-6,25.15,0,1,0,0,1,0
56,-1,56,-19,57,-24,-1,9.95,0,1,0,0,1,0
54,-2,55,-1,58,1,-3,9.95,0,1,0,0,1,0
51,-3,52,-3,86,28,-34,18.79,0,1,0,0,1,0
50,-1,50,-2,58,-28,-8,8.18,1,0,0,0,1,0
47,-3,50,0,59,1,-9,8.54,1,0,0,1,0,0
45,-2,45,-5,60,1,-15,7.12,1,0,0,1,0,0
44,-1,44,-1,97,37,-53,19.85,1,0,0,1,0,0
43,-1,41,-3,61,-36,-20,6.06,1,0,0,1,0,0
43,0,39,-2,63,2,-24,6.06,1,0,0,1,0,0
62,19,38,-1,64,1,-26,6.06,0,1,0,1,0,0
59,-3,38,0,101,37,-63,19.14,0,1,0,0,1,0
57,-2,36,-2,68,-33,-32,6.77,0,1,0,0,1,0
55,-2,35,-1,71,3,-36,7.48,1,0,0,0,1,0
52,-3,34,-1,72,1,-38,7.48,1,0,0,1,0,0
51,-1,33,-1,69,-3,-36,6.06,1,0,0,1,0,0
50,-1,32,-1,69,0,-37,5.71,0,1,0,1,0,0
49,-1,32,0,69,0,-37,5.71,0,1,0,0,1,0
46,-3,31,-1,71,2,-40,6.06,0,1,0,0,1,0
46,0,31,0,72,1,-41,6.42,1,0,0,0,1,0
140,94,29,-2,73,1,-44,6.06,1,0,0,1,0,0
138,-2,29,0,74,1,-45,6.42,0,1,0,1,0,0
135,-3,29,0,76,2,-47,7.12,1,0,0,0,1,0
133,-2,29,0,78,2,-49,7.83,0,1,0,1,0,0
130,-3,30,1,80,2,-50,8.89,0,1,0,0,1,0
128,-2,30,0,81,1,-51,9.24,1,0,0,0,1,0
126,-2,29,-1,83,2,-54,9.60,1,0,0,1,0,0
124,-2,30,1,400,317,-370,122.03,1,0,0,1,0,0
72,-52,29,-1,36,-364,-7,-7.02,1,0,0,1,0,0
70,-2,30,1,37,1,-7,-6.31,1,0,0,1,0,0
116,46,36,6,37,0,-1,-4.19,0,1,0,1,0,0
64,-52,37,1,38,1,-1,-3.48,0,1,0,0,1,0
112,48,39,2,40,2,-1,-2.07,0,1,0,0,1,0
110,-2,37,-2,43,3,-6,-1.72,0,1,0,0,1,0
58,-52,161,124,45,2,116,42.83,0,1,0,0,1,0
56,-2,159,-2,48,3,111,43.18,0,1,0,0,1,0
73,17,157,-2,49,1,108,42.83,0,1,0,0,1,0
70,-3,155,-2,51,2,104,42.83,0,1,0,0,1,0
71,1,154,-1,52,1,102,42.83,0,0,1,0,1,0
65,-6,152,-2,54,2,98,42.83,0,0,1,0,0,1
63,-2,150,-2,56,2,94,42.83,0,0,1,0,0,1
61,-2,124,-26,57,1,67,33.99,0,0,1,0,0,1
88,27,112,-12,58,1,54,30.10,0,0,1,0,0,1
87,-1,111,-1,58,0,53,29.75,0,0,1,0,0,1
85,-2,109,-2,61,3,48,30.10,0,1,0,0,0,1
83,-2,107,-2,62,1,45,29.75,0,1,0,0,1,0
82,-1,106,-1,64,2,42,30.10,0,1,0,0,1,0
81,-1,104,-2,66,2,38,30.10,0,1,0,0,1,0
79,-2,103,-1,400,334,-297,147.84,0,1,0,0,1,0
77,-2,100,-3,318,-82,-218,117.78,0,1,0,0,1,0
75,-2,98,-2,57,-261,41,24.80,0,0,1,0,1,0
74,-1,97,-1,56,-1,41,24.09,0,0,1,0,0,1
122,48,94,-3,57,1,37,23.39,0,0,1,0,0,1
97,-25,92,-2,58,1,34,23.03,0,0,1,0,0,1
94,-3,89,-3,60,2,29,22.68,0,0,1,0,0,1
91,-3,87,-2,328,268,-241,116.72,0,1,0,0,0,1
88,-3,86,-1,229,-99,-143,81.37,0,1,0,0,1,0
85,-3,83,-3,231,2,-148,81.01,0,1,0,0,1,0
83,-2,81,-2,67,-164,14,22.33,0,0,1,0,1,0
80,-3,80,-1,233,166,-153,80.66,0,0,1,0,0,1
77,-3,78,-2,236,3,-158,81.01,0,1,0,0,0,1
75,-2,78,0,244,8,-166,83.84,0,1,0,0,1,0
72,-3,78,0,245,1,-167,84.20,0,1,0,0,1,0
69,-3,75,-3,359,114,-284,123.44,0,1,0,0,1,0
67,-2,138,63,361,2,-223,146.42,0,1,0,0,1,0
