front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
23,-1,42,4,30,-1,12,-4.54,1,0,0,1,0,0
22,-1,42,0,32,2,10,-3.84,1,0,0,1,0,0
20,-2,36,-6,31,-1,5,-6.31,1,0,0,1,0,0
20,0,36,0,32,1,4,-5.96,1,0,0,1,0,0
18,-2,41,5,31,-1,10,-4.54,1,0,0,1,0,0
18,0,20,-21,31,0,-11,-11.97,1,0,0,1,0,0
16,-2,16,-4,31,0,-15,-13.38,1,0,0,1,0,0
16,0,16,0,32,1,-16,-13.03,1,0,0,1,0,0
15,-1,13,-3,32,0,-19,-14.09,1,0,0,1,0,0
15,0,13,0,32,0,-19,-14.09,1,0,0,1,0,0
15,0,11,-2,34,2,-23,-14.09,1,0,0,1,0,0
16,1,10,-1,34,0,-24,-14.44,1,0,0,1,0,0
125,109,9,-1,36,2,-27,-14.09,1,0,0,1,0,0
30,-95,8,-1,36,0,-28,-14.44,1,0,0,1,0,0
27,-3,0,-8,16,-20,-16,-24.34,1,0,0,1,0,0
206,179,16,16,9,-7,7,-21.16,0,1,0,1,0,0
183,-23,245,229,8,-1,237,59.45,0,1,0,0,1,0
206,23,243,-2,9,1,234,59.09,0,1,0,0,1,0
180,-26,241,-2,9,0,232,58.39,0,1,0,0,1,0
56,-124,240,-1,10,1,230,58.39,0,1,0,0,1,0
198,142,238,-2,11,1,227,58.03,0,1,0,0,1,0
197,-1,237,-1,11,0,226,57.68,1,0,0,0,1,0
193,-4,235,-2,12,1,223,57.33,0,1,0,1,0,0
192,-1,192,-43,12,0,180,42.12,0,1,0,0,1,0
74,-118,235,43,14,2,221,58.03,0,1,0,0,1,0
72,-2,235,0,15,1,220,58.39,0,1,0,0,1,0

