front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
125,0,28,2,50,21,-22,-2.42,0,1,0,0,1,0
124,-1,25,-3,49,-1,-24,-3.84,0,1,0,0,1,0
122,-2,24,-1,51,2,-27,-3.48,0,1,0,0,1,0
119,-3,23,-1,52,1,-29,-3.48,0,1,0,0,1,0
117,-2,24,1,53,1,-29,-2.78,1,0,0,0,1,0
115,-2,22,-2,55,2,-33,-2.78,1,0,0,1,0,0
113,-2,23,1,58,3,-35,-1.36,0,1,0,1,0,0
111,-2,26,3,65,7,-39,2.17,0,1,0,0,1,0
110,-1,29,3,68,3,-39,4.29,0,1,0,0,1,0
108,-2,32,3,25,-43,7,-9.85,0,1,0,0,1,0
106,-2,32,0,23,-2,9,-10.55,0,1,0,0,1,0
104,-2,111,79,23,0,88,17.38,0,1,0,0,1,0
80,-24,109,-2,25,2,84,17.38,0,1,0,0,1,0
103,23,106,-3,24,-1,82,15.96,0,1,0,0,1,0
100,-3,104,-2,24,0,80,15.25,0,1,0,0,1,0
98,-2,101,-3,24,0,77,14.19,0,1,0,0,1,0
97,-1,99,-2,24,0,75,13.49,0,0,1,0,1,0
64,-33,98,-1,25,1,73,13.49,0,1,0,0,0,1
63,-1,96,-2,94,69,2,37.17,0,1,0,0,1,0
59,-4,36,-60,27,-67,9,-7.73,0,1,0,0,1,0
87,28,36,0,26,-1,10,-8.08,0,1,0,0,1,0
86,-1,36,0,32,6,4,-5.96,0,1,0,0,1,0
47,-39,36,0,27,-5,9,-7.73,0,0,1,0,1,0
51,4,37,1,33,6,4,-5.25,0,0,1,0,0,1
60,9,34,-3,31,-2,3,-7.02,0,1,0,0,0,1
51,-9,31,-3,29,-2,2,-8.79,0,1,0,0,1,0
48,-3,32,1,29,0,3,-8.43,0,1,0,0,1,0
46,-2,32,0,29,0,3,-8.43,0,1,0,0,1,0
74,28,31,-1,29,0,2,-8.79,0,0,1,0,1,0
71,-3,31,0,29,0,2,-8.79,0,0,1,0,0,1
54,-17,31,0,30,1,1,-8.43,0,1,0,0,0,1
58,4,29,-2,30,0,-1,-9.14,0,1,0,0,1,0
66,8,30,1,30,0,0,-8.79,0,1,0,0,1,0
38,-28,30,0,29,-1,1,-9.14,0,1,0,0,1,0
64,26,31,1,29,0,2,-8.79,0,1,0,0,1,0
62,-2,32,1,30,1,2,-8.08,0,0,1,0,1,0
59,-3,31,-1,30,0,1,-8.43,0,0,1,0,0,1
56,-3,31,0,31,1,0,-8.08,0,1,0,0,0,1
57,1,30,-1,32,1,-2,-8.08,0,1,0,0,1,0
56,-1,31,1,30,-2,1,-8.43,0,1,0,0,1,0
54,-2,31,0,30,0,1,-8.43,0,1,0,0,1,0
53,-1,31,0,30,0,1,-8.43,0,1,0,0,1,0
51,-2,30,-1,30,0,0,-8.79,0,1,0,0,1,0
49,-2,31,1,30,0,1,-8.43,0,1,0,0,1,0
48,-1,31,0,30,0,1,-8.43,0,1,0,0,1,0
47,-1,32,1,29,-1,3,-8.43,0,1,0,0,1,0
36,-11,32,0,30,1,2,-8.08,0,1,0,0,1,0
44,8,31,-1,29,-1,2,-8.79,0,1,0,0,1,0
42,-2,32,1,29,0,3,-8.43,0,1,0,0,1,0
42,0,32,0,30,1,2,-8.08,0,1,0,0,1,0
52,10,33,1,29,-1,4,-8.08,0,1,0,0,1,0
37,-15,32,-1,29,0,3,-8.43,0,1,0,0,1,0
57,20,32,0,29,0,3,-8.43,0,1,0,0,1,0
55,-2,33,1,29,0,4,-8.08,0,1,0,0,1,0
53,-2,33,0,29,0,4,-8.08,1,0,0,0,1,0
52,-1,33,0,29,0,4,-8.08,1,0,0,1,0,0
50,-2,36,3,29,0,7,-7.02,0,1,0,1,0,0
49,-1,43,7,29,0,14,-4.54,0,1,0,0,1,0
47,-2,43,0,29,0,14,-4.54,1,0,0,0,1,0
46,-1,42,-1,30,1,12,-4.54,1,0,0,1,0,0
44,-2,42,0,29,-1,13,-4.90,1,0,0,1,0,0
43,-1,44,2,30,1,14,-3.84,1,0,0,1,0,0
43,0,43,-1,30,0,13,-4.19,1,0,0,1,0,0
43,0,42,-1,29,-1,13,-4.90,0,1,0,1,0,0
44,1,39,-3,30,1,9,-5.61,0,1,0,0,1,0
44,0,38,-1,33,3,5,-4.90,0,1,0,0,1,0
41,-3,37,-1,33,0,4,-5.25,0,1,0,0,1,0
43,2,37,0,34,1,3,-4.90,0,1,0,0,1,0
78,35,34,-3,37,3,-3,-4.90,0,1,0,0,1,0
56,-22,33,-1,38,1,-5,-4.90,0,1,0,0,1,0
36,-20,31,-2,39,1,-8,-5.25,0,1,0,0,1,0
32,-4,29,-2,40,1,-11,-5.61,0,1,0,0,1,0
30,-2,29,0,42,2,-13,-4.90,1,0,0,0,1,0
28,-2,25,-4,16,-26,9,-15.50,1,0,0,1,0,0
27,-1,25,0,17,1,8,-15.15,1,0,0,1,0,0
65,38,24,-1,45,28,-21,-5.61,1,0,0,1,0,0
57,-8,21,-3,47,2,-26,-5.96,1,0,0,1,0,0
55,-2,21,0,36,-11,-15,-9.85,1,0,0,1,0,0
53,-2,21,0,26,-10,-5,-13.38,1,0,0,1,0,0
49,-4,21,0,36,10,-15,-9.85,1,0,0,1,0,0
47,-2,23,2,36,0,-13,-9.14,1,0,0,1,0,0
45,-2,23,0,37,1,-14,-8.79,1,0,0,1,0,0
43,-2,25,2,38,1,-13,-7.73,0,1,0,1,0,0
41,-2,27,2,25,-13,2,-11.62,0,1,0,0,1,0
41,0,49,22,25,0,24,-3.84,0,1,0,0,1,0
38,-3,48,-1,24,-1,24,-4.54,0,1,0,0,1,0
36,-2,47,-1,24,0,23,-4.90,0,1,0,0,1,0
33,-3,47,0,24,0,23,-4.90,1,0,0,0,1,0
31,-2,46,-1,24,0,22,-5.25,1,0,0,1,0,0
30,-1,36,-10,23,-1,13,-9.14,1,0,0,1,0,0
29,-1,30,-6,24,1,6,-10.91,1,0,0,1,0,0
28,-1,30,0,24,0,6,-10.91,1,0,0,1,0,0
26,-2,26,-4,24,0,2,-12.32,1,0,0,1,0,0
27,1,25,-1,25,1,0,-12.32,1,0,0,1,0,0
