front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
17,0,9,0,43,0,0,1,0,0,0,1,0,0,0,0,
17,0,9,0,44,1,0,1,0,0,0,0,1,0,0,0,
16,-1,9,0,44,0,0,1,0,0,0,0,1,0,0,0,
16,0,9,0,45,1,0,1,0,0,0,0,1,0,0,0,
400,384,0,-9,8,-37,0,1,0,0,0,0,1,0,0,0,
400,0,400,400,7,-1,0,0,1,0,0,0,1,0,0,0,
400,0,400,0,8,1,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,9,1,0,0,1,0,0,0,0,1,0,0,
400,0,40,-360,11,2,0,0,1,0,0,0,0,1,0,0,
400,0,39,-1,12,1,0,0,1,0,0,0,0,1,0,0,
400,0,37,-2,14,2,0,0,1,0,0,0,0,1,0,0,
400,0,59,22,15,1,0,0,1,0,0,0,0,1,0,0,
400,0,59,0,17,2,0,0,1,0,0,0,0,1,0,0,
400,0,56,-3,18,1,0,0,1,0,0,0,0,1,0,0,
400,0,56,0,20,2,0,0,0,1,0,0,0,1,0,0,
400,0,52,-4,22,2,0,0,0,1,0,0,0,0,1,0,
400,0,50,-2,24,2,0,0,0,1,0,0,0,0,1,0,
400,0,49,-1,27,3,0,0,1,0,0,0,0,0,1,0,
65,-335,30,-19,27,0,0,0,1,0,0,0,0,1,0,0,
400,335,30,0,28,1,0,0,1,0,0,0,0,1,0,0,
319,-81,29,-1,28,0,0,0,1,0,0,0,0,1,0,0,
318,-1,29,0,29,1,0,0,1,0,0,0,0,1,0,0,
56,-262,30,1,29,0,0,0,1,0,0,0,0,1,0,0,
400,344,30,0,29,0,0,0,1,0,0,0,0,1,0,0,
400,0,30,0,29,0,0,0,1,0,0,0,0,1,0,0,
307,-93,31,1,29,0,0,0,1,0,0,0,0,1,0,0,
400,93,31,0,30,1,0,0,1,0,0,0,0,1,0,0,
302,-98,30,-1,50,20,0,0,1,0,0,0,0,1,0,0,
400,98,31,1,29,-21,0,0,1,0,0,0,0,1,0,0,
400,0,31,0,29,0,0,0,1,0,0,0,0,1,0,0,
400,0,32,1,29,0,0,0,1,0,0,0,0,1,0,0,
400,0,32,0,29,0,0,0,1,0,0,0,0,1,0,0,
400,0,33,1,30,1,0,0,1,0,0,0,0,1,0,0,
400,0,33,0,31,1,0,0,1,0,0,0,0,1,0,0,
102,-298,33,0,30,-1,0,0,0,1,0,0,0,1,0,0,
101,-1,33,0,30,0,0,0,1,0,0,0,0,0,1,0,
98,-3,32,-1,82,52,0,0,1,0,0,0,0,1,0,0,

