front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5,
72,0,27,1,24,-33,0,0,1,0,0,0,0,1,0,0,
69,-3,28,1,25,1,0,0,1,0,0,0,0,1,0,0,
400,331,30,2,27,2,0,0,1,0,0,0,0,1,0,0,
400,0,28,-2,26,-1,0,0,1,0,0,0,0,1,0,0,
64,-336,28,0,25,-1,0,0,1,0,0,0,0,1,0,0,
60,-4,29,1,25,0,0,0,1,0,0,0,0,1,0,0,
58,-2,28,-1,26,1,0,0,1,0,0,0,0,1,0,0,
56,-2,28,0,25,-1,0,0,1,0,0,0,0,1,0,0,
56,0,28,0,26,1,0,0,1,0,0,0,0,1,0,0,
56,0,28,0,28,2,0,0,1,0,0,0,0,1,0,0,
308,252,28,0,27,-1,0,0,1,0,0,0,0,1,0,0,
306,-2,30,2,27,0,0,0,1,0,0,0,0,1,0,0,
303,-3,30,0,27,0,0,0,1,0,0,0,0,1,0,0,
300,-3,27,-3,27,0,0,0,1,0,0,0,0,1,0,0,
298,-2,27,0,27,0,0,0,1,0,0,0,0,1,0,0,
295,-3,27,0,27,0,0,0,1,0,0,0,0,1,0,0,
293,-2,29,2,27,0,0,0,1,0,0,0,0,1,0,0,
290,-3,28,-1,29,2,0,1,0,0,0,0,0,1,0,0,
287,-3,29,1,28,-1,0,1,0,0,0,0,1,0,0,0,
286,-1,30,1,27,-1,0,1,0,0,0,0,1,0,0,0,
283,-3,29,-1,24,-3,0,0,1,0,0,0,1,0,0,0,
283,0,28,-1,25,1,0,1,0,0,0,0,0,1,0,0,
400,117,27,-1,26,1,0,0,1,0,0,0,1,0,0,0,
400,0,28,1,26,0,0,0,1,0,0,0,0,1,0,0,
400,0,27,-1,28,2,0,1,0,0,0,0,0,1,0,0,
400,0,27,0,29,1,0,0,1,0,0,0,1,0,0,0,
400,0,27,0,31,2,0,1,0,0,0,0,0,1,0,0,
400,0,26,-1,33,2,0,0,1,0,0,0,1,0,0,0,
400,0,27,1,33,0,0,0,1,0,0,0,0,1,0,0,
400,0,27,0,37,4,0,0,1,0,0,0,0,1,0,0,
400,0,28,1,38,1,0,0,1,0,0,0,0,1,0,0,
400,0,28,0,30,-8,0,1,0,0,0,0,0,1,0,0,
400,0,27,-1,28,-2,0,0,1,0,0,0,1,0,0,0,
400,0,29,2,26,-2,0,1,0,0,0,0,0,1,0,0,
400,0,31,2,26,0,0,0,1,0,0,0,1,0,0,0,
400,0,250,219,27,1,0,0,1,0,0,0,0,1,0,0,
400,0,248,-2,27,0,0,0,1,0,0,0,0,1,0,0,
400,0,249,1,27,0,0,0,1,0,0,0,0,1,0,0,
400,0,400,151,29,2,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,29,0,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,36,7,0,0,1,0,0,0,0,0,1,0,
400,0,32,-368,42,6,0,0,0,1,0,0,0,1,0,0,
400,0,30,-2,125,83,0,0,1,0,0,0,0,0,1,0,
400,0,30,0,45,-80,0,0,1,0,0,0,0,1,0,0,
400,0,26,-4,400,355,0,0,1,0,0,0,0,1,0,0,
400,0,26,0,87,-313,0,0,1,0,0,0,0,1,0,0,
400,0,25,-1,89,2,0,1,0,0,0,0,0,1,0,0,
400,0,400,375,93,4,0,0,1,0,0,0,1,0,0,0,
400,0,400,0,400,307,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,400,0,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,400,0,0,0,1,0,0,0,0,0,1,0,
400,0,400,0,400,0,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,400,0,0,0,1,0,0,0,0,0,1,0,
400,0,88,-312,124,-276,0,0,0,1,0,0,0,1,0,0,
400,0,86,-2,127,3,0,0,1,0,0,0,0,0,1,0,
400,0,83,-3,400,273,0,0,0,1,0,0,0,1,0,0,
