front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
69,69,68,67,91,91,27,26,0,1,0,0,1,0
68,69,67,68,173,91,26,27,0,1,0,0,1,0
67,68,64,67,172,173,60,26,0,1,0,0,1,0
63,67,62,64,171,172,200,60,0,1,0,0,1,0
58,63,58,62,169,171,58,200,0,1,0,0,1,0
56,58,55,58,167,169,200,58,0,1,0,0,1,0
51,56,52,55,166,167,200,200,1,0,0,0,1,0
48,51,51,52,167,166,200,200,1,0,0,1,0,0
45,48,51,51,176,167,90,200,1,0,0,1,0,0
42,45,200,51,177,176,88,90,1,0,0,1,0,0
40,42,110,200,200,177,88,88,1,0,0,1,0,0
38,40,107,110,40,200,91,88,1,0,0,1,0,0
37,38,104,107,36,40,93,91,1,0,0,1,0,0
37,37,101,104,34,36,97,93,1,0,0,1,0,0
200,37,98,101,32,34,168,97,1,0,0,1,0,0
101,200,71,98,31,32,170,168,1,0,0,1,0,0
96,101,68,71,29,31,173,170,1,0,0,1,0,0
91,96,64,68,32,29,177,173,1,0,0,1,0,0
87,91,62,64,34,32,42,177,0,1,0,1,0,0
85,87,60,62,34,34,37,42,0,1,0,0,1,0
82,85,58,60,200,34,37,37,0,1,0,0,1,0
78,82,56,58,200,200,36,37,0,1,0,0,1,0
