front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
95,95,200,200,97,98,4,4,0,1,0,0,1,0
95,95,200,200,97,97,4,4,0,1,0,0,1,0
200,95,200,200,97,97,4,4,0,1,0,0,1,0
200,200,200,200,93,97,4,4,0,1,0,0,1,0
200,200,77,200,87,93,7,4,0,1,0,0,1,0
200,200,76,77,84,87,9,7,0,1,0,0,1,0
200,200,74,76,82,84,11,9,0,1,0,0,1,0
200,200,71,74,80,82,13,11,0,0,1,0,1,0
200,200,70,71,77,80,15,13,0,1,0,0,0,1
200,200,200,70,75,77,16,15,0,1,0,0,1,0
76,200,200,200,72,75,19,16,0,1,0,0,1,0
200,76,200,200,69,72,20,19,0,1,0,0,1,0
200,200,200,200,65,69,21,20,0,1,0,0,1,0
200,200,200,200,63,65,23,21,0,1,0,0,1,0
200,200,200,200,59,63,24,23,0,1,0,0,1,0
200,200,200,200,58,59,25,24,0,1,0,0,1,0
200,200,200,200,55,58,26,25,0,1,0,0,1,0
200,200,200,200,53,55,28,26,0,0,1,0,1,0
200,200,200,200,51,53,29,28,0,1,0,0,0,1
57,200,200,200,51,51,31,29,0,1,0,0,1,0
200,57,200,200,46,51,32,31,1,0,0,0,1,0
200,200,200,200,37,46,31,32,1,0,0,1,0,0
200,200,200,200,44,37,29,31,1,0,0,1,0,0
200,200,200,200,46,44,28,29,1,0,0,1,0,0
200,200,58,200,48,46,28,28,1,0,0,1,0,0
200,200,200,58,51,48,30,28,0,1,0,1,0,0
200,200,200,200,200,51,31,30,0,1,0,0,1,0
200,200,200,200,200,200,34,31,0,1,0,0,1,0
200,200,200,200,200,200,37,34,0,1,0,0,1,0
200,200,200,200,200,200,39,37,0,1,0,0,1,0
200,200,200,200,200,200,42,39,0,1,0,0,1,0
200,200,198,200,200,200,45,42,0,0,1,0,1,0
200,200,195,198,200,200,47,45,0,0,1,0,0,1
200,200,195,195,200,200,50,47,0,0,1,0,0,1
200,200,196,195,200,200,53,50,0,1,0,0,0,1
200,200,200,196,200,200,54,53,0,1,0,0,1,0
200,200,200,200,37,200,55,54,0,1,0,0,1,0
200,200,200,200,39,37,56,55,0,1,0,0,1,0
200,200,200,200,40,39,56,56,0,1,0,0,1,0
200,200,200,200,38,40,57,56,0,0,1,0,1,0
200,200,200,200,37,38,35,57,0,1,0,0,0,1
200,200,200,200,36,37,35,35,0,1,0,0,1,0
200,200,200,200,36,36,35,35,0,1,0,0,1,0
200,200,200,200,35,36,37,35,0,1,0,0,1,0
200,200,200,200,35,35,36,37,0,1,0,0,1,0
200,200,200,200,36,35,36,36,0,1,0,0,1,0
200,200,200,200,35,36,37,36,0,1,0,0,1,0
200,200,200,200,35,35,37,37,0,1,0,0,1,0
200,200,200,200,34,35,37,37,0,1,0,0,1,0
65,200,200,200,34,34,38,37,0,1,0,0,1,0
60,65,200,200,33,34,37,38,0,1,0,0,1,0
200,60,200,200,34,33,37,37,0,1,0,0,1,0
194,200,200,200,56,34,83,37,0,1,0,0,1,0
52,194,200,200,57,56,97,83,0,1,0,0,1,0
187,52,200,200,55,57,58,97,0,1,0,0,1,0
183,187,200,200,55,55,96,58,0,1,0,0,1,0
181,183,200,200,54,55,102,96,0,1,0,0,1,0
178,181,200,200,54,54,104,102,0,1,0,0,1,0
175,178,200,200,53,54,58,104,0,1,0,0,1,0
200,175,200,200,52,53,57,58,0,0,1,0,1,0
200,200,200,200,50,52,58,57,0,0,1,0,0,1
165,200,200,200,48,50,102,58,0,0,1,0,0,1
159,165,200,200,44,48,200,102,0,0,1,0,0,1
200,159,200,200,41,44,44,200,0,0,1,0,0,1
45,200,20,200,39,41,42,44,0,1,0,0,0,1
41,45,152,20,37,39,40,42,0,1,0,0,1,0
37,41,148,152,36,37,39,40,1,0,0,0,1,0
35,37,146,148,32,36,45,39,1,0,0,1,0,0
200,35,144,146,30,32,200,45,1,0,0,1,0,0
144,200,143,144,30,30,52,200,1,0,0,1,0,0
140,144,200,143,29,30,48,52,1,0,0,1,0,0
137,140,200,200,29,29,46,48,1,0,0,1,0,0
134,137,200,200,29,29,37,46,1,0,0,1,0,0
131,134,200,200,32,29,47,37,0,1,0,1,0,0
130,131,200,200,33,32,34,47,0,1,0,0,1,0
126,130,200,200,33,33,33,34,0,1,0,0,1,0
124,126,200,200,33,33,33,33,0,1,0,0,1,0
122,124,200,200,33,33,32,33,0,1,0,0,1,0
117,122,200,200,34,33,32,32,0,1,0,0,1,0
114,117,200,200,34,34,64,32,0,1,0,0,1,0
109,114,200,200,34,34,33,64,0,1,0,0,1,0
200,109,200,200,33,34,33,33,0,1,0,0,1,0
200,200,200,200,34,33,34,33,0,1,0,0,1,0
99,200,200,200,34,34,33,34,0,1,0,0,1,0
95,99,200,200,34,34,40,33,0,1,0,0,1,0
92,95,200,200,34,34,41,40,0,1,0,0,1,0
