front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
200,200,200,200,11,200,83,200,0,1,0,0,1,0
200,200,200,200,200,11,84,83,0,1,0,0,1,0
200,200,200,200,17,200,10,84,0,1,0,0,1,0
200,200,200,200,17,17,10,10,0,1,0,0,1,0
200,200,200,200,200,17,93,10,1,0,0,0,1,0
200,200,200,200,200,200,100,93,1,0,0,1,0,0
200,200,200,200,200,200,7,100,1,0,0,1,0,0
200,200,200,200,200,200,7,7,0,1,0,1,0,0
200,200,200,200,200,200,8,7,0,1,0,0,1,0
200,200,200,200,200,200,11,8,0,1,0,0,1,0
200,200,200,200,200,200,12,11,0,1,0,0,1,0
200,200,200,200,200,200,13,12,0,1,0,0,1,0
200,200,200,200,200,200,15,13,0,1,0,0,1,0
200,200,200,200,200,200,17,15,1,0,0,0,1,0
200,200,200,200,200,200,17,17,1,0,0,1,0,0
200,200,200,200,200,200,19,17,0,1,0,1,0,0
200,200,200,200,200,200,20,19,0,1,0,0,1,0
200,200,200,200,200,200,23,20,0,1,0,0,1,0
200,200,200,200,200,200,26,23,0,0,1,0,1,0
200,200,200,200,200,200,28,26,0,0,1,0,0,1
200,200,200,200,200,200,30,28,0,0,1,0,0,1
200,200,200,200,200,200,33,30,0,1,0,0,0,1
200,200,200,200,38,200,34,33,0,1,0,0,1,0
200,200,200,200,38,38,35,34,0,1,0,0,1,0
200,200,200,200,37,38,36,35,0,1,0,0,1,0
200,200,200,200,38,37,36,36,0,1,0,0,1,0
200,200,200,200,37,38,37,36,0,1,0,0,1,0
200,200,200,200,36,37,36,37,0,1,0,0,1,0
200,200,200,200,37,36,36,36,0,1,0,0,1,0
200,200,200,200,36,37,36,36,0,1,0,0,1,0
200,200,200,200,36,36,37,36,0,1,0,0,1,0
200,200,200,200,35,36,37,37,0,1,0,0,1,0
200,200,200,200,35,35,37,37,0,1,0,0,1,0
200,200,200,200,34,35,37,37,0,1,0,0,1,0
