front,prev_front,front_left,prev_front_left,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
71,71,200,200,71,71,200,200,0,1,0,0,1,0
71,71,200,200,70,71,200,200,0,1,0,0,1,0
67,71,200,200,67,70,200,200,0,1,0,0,1,0
64,67,200,200,64,67,200,200,0,1,0,0,1,0
60,64,200,200,60,64,200,200,0,1,0,0,1,0
56,60,200,200,57,60,200,200,0,1,0,0,1,0
52,56,200,200,53,57,200,200,0,1,0,0,1,0
49,52,200,200,51,53,200,200,1,0,0,0,1,0
45,49,200,200,46,51,200,200,1,0,0,1,0,0
44,45,200,200,42,46,200,200,1,0,0,1,0,0
43,44,200,200,41,42,200,200,1,0,0,1,0,0
49,43,200,200,38,41,200,200,1,0,0,1,0,0
200,49,200,200,37,38,200,200,1,0,0,1,0,0
200,200,200,200,36,37,200,200,0,1,0,1,0,0
200,200,200,200,36,36,200,200,0,1,0,0,1,0
200,200,200,200,36,36,200,200,0,1,0,0,1,0
200,200,200,200,34,36,200,200,1,0,0,0,1,0
200,200,200,200,34,34,200,200,0,1,0,1,0,0
57,200,200,200,35,34,200,200,0,1,0,0,1,0
200,57,200,200,35,35,38,200,0,1,0,0,1,0
200,200,200,200,35,35,38,38,0,1,0,0,1,0
200,200,200,200,35,35,38,38,0,1,0,0,1,0
200,200,200,200,34,35,37,38,0,1,0,0,1,0
200,200,200,200,35,34,38,37,0,1,0,0,1,0
200,200,200,200,35,35,37,38,0,1,0,0,1,0
200,200,200,200,35,35,37,37,0,1,0,0,1,0
200,200,200,200,34,35,37,37,0,1,0,0,1,0
200,200,200,200,34,34,35,37,0,1,0,0,1,0
200,200,200,200,34,34,38,35,0,1,0,0,1,0
200,200,200,200,33,34,36,38,0,1,0,0,1,0
200,200,200,200,33,33,37,36,0,1,0,0,1,0
200,200,200,200,33,33,38,37,0,1,0,0,1,0
200,200,200,200,34,33,34,38,0,1,0,0,1,0
200,200,200,200,35,34,51,34,0,1,0,0,1,0
200,200,200,200,37,35,135,51,0,1,0,0,1,0
200,200,200,200,37,37,34,135,0,1,0,0,1,0
200,200,200,200,34,37,34,34,0,1,0,0,1,0
200,200,200,200,200,34,34,34,0,1,0,0,1,0
200,200,200,200,200,200,34,34,0,1,0,0,1,0
200,200,200,200,36,200,35,34,0,1,0,0,1,0
200,200,200,200,200,36,200,35,0,1,0,0,1,0
200,200,200,200,38,200,32,200,0,1,0,0,1,0
200,200,200,200,200,38,32,32,0,1,0,0,1,0
200,200,200,200,200,200,158,32,0,1,0,0,1,0
200,200,200,200,36,200,38,158,0,1,0,0,1,0
200,200,200,200,200,36,200,38,0,1,0,0,1,0
200,200,200,200,200,200,158,200,0,1,0,0,1,0
200,200,200,200,200,200,46,158,0,1,0,0,1,0
200,200,200,200,200,200,51,46,0,1,0,0,1,0
200,200,200,200,31,200,168,51,0,1,0,0,1,0
200,200,200,200,31,31,58,168,0,1,0,0,1,0
200,200,200,200,31,31,159,58,1,0,0,0,1,0
200,200,200,200,200,31,149,159,0,1,0,1,0,0
200,200,200,200,200,200,137,149,0,1,0,0,1,0
200,200,200,200,58,200,166,137,0,1,0,0,1,0
200,200,200,200,52,58,84,166,0,1,0,0,1,0
