front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
37,37,200,200,58,58,90,90,0,1,0,0,1,0
38,37,200,200,31,58,82,90,1,0,0,0,1,0
35,38,200,200,51,31,82,82,1,0,0,1,0,0
33,35,200,200,34,51,27,82,1,0,0,1,0,0
33,33,200,200,32,34,24,27,1,0,0,1,0,0
33,33,200,200,30,32,25,24,1,0,0,1,0,0
200,33,200,200,29,30,26,25,1,0,0,1,0,0
200,200,200,200,28,29,28,26,1,0,0,1,0,0
200,200,200,200,29,28,30,28,1,0,0,1,0,0
200,200,200,200,29,29,32,30,1,0,0,1,0,0
200,200,200,200,66,29,35,32,1,0,0,1,0,0
200,200,200,200,68,66,39,35,0,1,0,1,0,0
200,200,200,200,68,68,32,39,0,1,0,0,1,0
200,200,200,200,68,68,30,32,0,0,1,0,1,0
200,200,200,200,58,68,56,30,0,0,1,0,0,1
200,200,200,200,54,58,51,56,0,0,1,0,0,1
200,200,200,200,51,54,52,51,0,0,1,0,0,1
200,200,200,200,48,51,55,52,0,0,1,0,0,1
200,200,64,200,55,48,56,55,0,0,1,0,0,1
57,200,200,64,52,55,58,56,0,0,1,0,0,1
52,57,200,200,51,52,60,58,0,1,0,0,0,1
49,52,200,200,50,51,61,60,0,1,0,0,1,0
45,49,200,200,45,50,63,61,0,1,0,0,1,0
42,45,200,200,44,45,63,63,0,1,0,0,1,0
40,42,75,200,41,44,48,63,1,0,0,0,1,0
36,40,73,75,38,41,65,48,1,0,0,1,0,0
36,36,200,73,35,38,65,65,1,0,0,1,0,0
37,36,200,200,33,35,48,65,1,0,0,1,0,0
65,37,200,200,33,33,26,48,1,0,0,1,0,0
61,65,200,200,30,33,26,26,1,0,0,1,0,0
59,61,200,200,29,30,28,26,1,0,0,1,0,0
58,59,200,200,31,29,30,28,1,0,0,1,0,0
200,58,200,200,31,31,33,30,1,0,0,1,0,0
200,200,200,200,34,31,39,33,0,1,0,1,0,0
200,200,200,200,39,34,52,39,0,1,0,0,1,0
200,200,200,200,51,39,56,52,0,1,0,0,1,0
200,200,200,200,33,51,37,56,0,1,0,0,1,0
200,200,200,200,32,33,38,37,0,1,0,0,1,0
200,200,200,200,32,32,37,38,0,1,0,0,1,0
200,200,200,200,32,32,39,37,1,0,0,0,1,0
200,200,200,200,37,32,39,39,0,1,0,1,0,0
200,200,200,200,200,37,41,39,0,1,0,0,1,0
200,200,200,200,200,200,44,41,0,1,0,0,1,0
200,200,200,200,37,200,33,44,0,1,0,0,1,0
200,200,200,200,72,37,34,33,0,1,0,0,1,0
