front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
135,135,40,38,37,37,53,53,0,1,0,0,1,0
135,135,38,40,36,37,53,53,0,1,0,0,1,0
132,135,39,38,40,36,63,53,0,1,0,0,1,0
129,132,38,39,93,40,37,63,0,1,0,0,1,0
77,129,37,38,121,93,37,37,0,1,0,0,1,0
68,77,35,37,122,121,35,37,0,1,0,0,1,0
119,68,34,35,124,122,34,35,0,1,0,0,1,0
64,119,32,34,116,124,34,34,0,0,1,0,1,0
65,64,32,32,123,116,35,34,0,0,1,0,0,1
59,65,34,32,112,123,37,35,0,0,1,0,0,1
107,59,39,34,110,112,67,37,0,0,1,0,0,1
105,107,53,39,92,110,69,67,0,0,1,0,0,1
102,105,52,53,89,92,71,69,0,0,1,0,0,1
101,102,53,52,87,89,73,71,0,0,1,0,0,1
101,101,62,53,84,87,58,73,0,1,0,0,0,1
130,101,96,62,82,84,52,58,0,1,0,0,1,0
128,130,93,96,80,82,55,52,0,0,1,0,1,0
124,128,90,93,78,80,58,55,0,0,1,0,0,1
88,124,89,90,76,78,58,58,0,1,0,0,0,1
85,88,88,89,74,76,59,58,0,1,0,0,1,0
82,85,88,88,72,74,61,59,0,0,1,0,1,0
78,82,109,88,70,72,63,61,0,0,1,0,0,1
75,78,95,109,68,70,65,63,0,0,1,0,0,1
72,75,110,95,66,68,68,65,0,0,1,0,0,1
70,72,108,110,64,66,69,68,0,0,1,0,0,1
67,70,102,108,62,64,70,69,0,0,1,0,0,1
65,67,72,102,59,62,58,70,0,1,0,0,0,1
60,65,63,72,58,59,59,58,0,1,0,0,1,0
60,60,60,63,62,58,62,59,0,1,0,0,1,0
57,60,58,60,51,62,64,62,0,1,0,0,1,0
56,57,55,58,50,51,68,64,0,1,0,0,1,0
52,56,52,55,46,50,71,68,0,1,0,0,1,0
49,52,51,52,43,46,70,71,1,0,0,0,1,0
46,49,57,51,42,43,36,70,1,0,0,1,0,0
45,46,74,57,41,42,35,36,1,0,0,1,0,0
50,45,84,74,42,41,35,35,1,0,0,1,0,0
40,50,83,84,40,42,37,35,1,0,0,1,0,0
78,40,85,83,37,40,38,37,1,0,0,1,0,0
76,78,90,85,34,37,40,38,1,0,0,1,0,0
70,76,88,90,34,34,42,40,1,0,0,1,0,0
