front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
30,30,200,200,37,36,16,16,0,1,0,0,1,0
29,30,200,200,35,37,16,16,0,1,0,0,1,0
27,29,200,200,16,35,17,16,1,0,0,0,1,0
23,27,200,200,17,16,17,17,1,0,0,1,0,0
20,23,200,200,29,17,16,17,1,0,0,1,0,0
22,20,200,200,27,29,14,16,1,0,0,1,0,0
200,22,200,200,19,27,14,14,1,0,0,1,0,0
200,200,78,200,16,19,14,14,1,0,0,1,0,0
200,200,74,78,58,16,15,14,1,0,0,1,0,0
200,200,73,74,200,58,16,15,1,0,0,1,0,0
200,200,72,73,67,200,18,16,1,0,0,1,0,0
200,200,200,72,200,67,21,18,1,0,0,1,0,0
200,200,200,200,200,200,26,21,0,1,0,1,0,0
200,200,200,200,200,200,30,26,0,1,0,0,1,0
200,200,200,200,200,200,34,30,0,0,1,0,1,0
200,200,200,200,200,200,37,34,0,0,1,0,0,1
200,200,200,200,200,200,37,37,0,1,0,0,0,1
200,200,200,200,200,200,40,37,0,0,1,0,1,0
200,200,65,200,200,200,25,40,0,1,0,0,0,1
200,200,64,65,200,200,26,25,0,1,0,0,1,0
200,200,62,64,200,200,30,26,0,1,0,0,1,0
200,200,200,62,199,200,50,30,0,0,1,0,1,0
200,200,76,200,199,199,52,50,0,0,1,0,0,1
200,200,200,76,200,199,33,52,0,0,1,0,0,1
200,200,200,200,38,200,35,33,0,1,0,0,0,1
200,200,200,200,36,38,35,35,0,1,0,0,1,0
200,200,200,200,35,36,38,35,0,1,0,0,1,0
200,200,200,200,36,35,37,38,0,1,0,0,1,0
200,200,200,200,35,36,37,37,0,1,0,0,1,0
200,200,200,200,33,35,159,37,0,1,0,0,1,0
200,200,200,200,32,33,129,159,0,1,0,0,1,0
200,200,200,200,31,32,166,129,0,1,0,0,1,0
163,200,200,200,30,31,200,166,0,1,0,0,1,0
157,163,200,200,30,30,137,200,0,1,0,0,1,0
153,157,200,200,53,30,51,137,0,1,0,0,1,0
149,153,200,200,52,53,124,51,0,1,0,0,1,0
143,149,200,200,51,52,58,124,0,1,0,0,1,0
139,143,200,200,51,51,134,58,0,1,0,0,1,0
135,139,200,200,51,51,59,134,0,0,1,0,1,0
131,135,200,200,48,51,149,59,0,0,1,0,0,1
127,131,200,200,46,48,152,149,0,0,1,0,0,1
124,127,200,200,42,46,155,152,0,0,1,0,0,1
57,124,121,200,39,42,158,155,0,1,0,0,0,1
42,57,119,121,37,39,83,158,0,1,0,0,1,0
39,42,116,119,34,37,200,83,1,0,0,0,1,0
37,39,114,116,32,34,200,200,1,0,0,1,0,0
44,37,111,114,31,32,200,200,1,0,0,1,0,0
110,44,200,111,30,31,200,200,1,0,0,1,0,0
106,110,200,200,29,30,45,200,1,0,0,1,0,0
103,106,200,200,30,29,25,45,1,0,0,1,0,0
100,103,200,200,30,30,30,25,1,0,0,1,0,0
98,100,200,200,32,30,40,30,0,1,0,1,0,0
96,98,200,200,33,32,33,40,0,1,0,0,1,0
93,96,200,200,35,33,32,33,0,1,0,0,1,0
90,93,200,200,36,35,32,32,0,1,0,0,1,0
87,90,200,200,91,36,31,32,0,1,0,0,1,0
84,87,200,200,37,91,32,31,0,1,0,0,1,0
81,84,200,200,38,37,33,32,0,1,0,0,1,0
79,81,200,200,37,38,33,33,0,1,0,0,1,0
200,79,200,200,36,37,37,33,0,1,0,0,1,0
200,200,200,200,38,36,33,37,0,1,0,0,1,0
