front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
58,59,106,106,61,61,200,200,0,1,0,0,1,0
59,58,105,106,60,61,200,200,0,1,0,0,1,0
56,59,103,105,65,60,200,200,0,1,0,0,1,0
53,56,100,103,97,65,200,200,0,1,0,0,1,0
49,53,98,100,79,97,200,200,0,1,0,0,1,0
46,49,95,98,67,79,200,200,0,1,0,0,1,0
43,46,94,95,81,67,200,200,0,1,0,0,1,0
38,43,93,94,80,81,200,200,1,0,0,0,1,0
35,38,90,93,79,80,200,200,1,0,0,1,0,0
33,35,83,90,37,79,200,200,1,0,0,1,0,0
32,33,81,83,33,37,200,200,1,0,0,1,0,0
31,32,78,81,30,33,200,200,1,0,0,1,0,0
83,31,75,78,27,30,81,200,1,0,0,1,0,0
80,83,73,75,25,27,79,81,1,0,0,1,0,0
72,80,71,73,25,25,79,79,1,0,0,1,0,0
68,72,200,71,24,25,76,79,1,0,0,1,0,0
65,68,200,200,25,24,83,76,1,0,0,1,0,0
62,65,200,200,28,25,80,83,1,0,0,1,0,0
60,62,200,200,67,28,51,80,0,1,0,1,0,0
58,60,200,200,63,67,31,51,0,1,0,0,1,0
55,58,200,200,61,63,31,31,0,1,0,0,1,0
53,55,200,200,58,61,30,31,0,1,0,0,1,0
50,53,200,200,50,58,30,30,0,1,0,0,1,0
200,50,200,200,53,50,30,30,0,1,0,0,1,0
200,200,200,200,46,53,55,30,1,0,0,0,1,0
200,200,200,200,47,46,38,55,1,0,0,1,0,0
200,200,200,200,47,47,29,38,1,0,0,1,0,0
200,200,65,200,47,47,27,29,1,0,0,1,0,0
200,200,200,65,48,47,28,27,1,0,0,1,0,0
200,200,62,200,51,48,29,28,0,1,0,1,0,0
200,200,59,62,200,51,30,29,0,1,0,0,1,0
200,200,58,59,200,200,33,30,0,1,0,0,1,0
200,200,200,58,200,200,35,33,0,1,0,0,1,0
200,200,74,200,200,200,16,35,0,1,0,0,1,0
200,200,71,74,200,200,18,16,0,1,0,0,1,0
200,200,68,71,200,200,22,18,0,1,0,0,1,0
200,200,200,68,200,200,45,22,0,1,0,0,1,0
200,200,64,200,200,200,27,45,0,0,1,0,1,0
200,200,59,64,200,200,30,27,0,0,1,0,0,1
200,200,73,59,200,200,54,30,0,0,1,0,0,1
200,200,200,73,65,200,56,54,0,0,1,0,0,1
200,200,200,200,39,65,58,56,0,1,0,0,0,1
200,200,200,200,37,39,59,58,0,1,0,0,1,0
200,200,200,200,37,37,60,59,0,1,0,0,1,0
200,200,200,200,37,37,200,60,0,1,0,0,1,0
200,200,200,200,38,37,60,200,0,1,0,0,1,0
200,200,200,200,37,38,37,60,0,1,0,0,1,0
200,200,200,200,36,37,37,37,0,1,0,0,1,0
200,200,200,200,35,36,37,37,0,1,0,0,1,0
200,200,200,200,35,35,190,37,0,1,0,0,1,0
200,200,200,200,34,35,38,190,0,1,0,0,1,0
200,200,200,200,33,34,200,38,0,1,0,0,1,0
200,200,200,200,32,33,199,200,0,1,0,0,1,0
200,200,200,200,30,32,127,199,0,1,0,0,1,0
200,200,200,200,30,30,137,127,0,1,0,0,1,0
152,200,200,200,29,30,135,137,0,1,0,0,1,0
147,152,200,200,51,29,200,135,0,1,0,0,1,0
143,147,200,200,50,51,141,200,0,1,0,0,1,0
139,143,200,200,49,50,58,141,0,1,0,0,1,0
135,139,200,200,47,49,123,58,0,1,0,0,1,0
132,135,200,200,47,47,60,123,0,1,0,0,1,0
128,132,200,200,46,47,151,60,0,1,0,0,1,0
124,128,200,200,45,46,155,151,0,0,1,0,1,0
121,124,200,200,42,45,158,155,0,0,1,0,0,1
99,121,200,200,40,42,159,158,0,0,1,0,0,1
96,99,117,200,37,40,161,159,0,1,0,0,0,1
119,96,112,117,35,37,200,161,1,0,0,0,1,0
44,119,110,112,32,35,200,200,1,0,0,1,0,0
108,44,200,110,31,32,200,200,1,0,0,1,0,0
86,108,200,200,31,31,45,200,1,0,0,1,0,0
101,86,200,200,31,31,30,45,1,0,0,1,0,0
98,101,200,200,33,31,42,30,0,1,0,1,0,0
96,98,200,200,34,33,38,42,0,1,0,0,1,0
93,96,200,200,34,34,36,38,0,1,0,0,1,0
90,93,200,200,34,34,35,36,0,1,0,0,1,0
87,90,200,200,34,34,35,35,0,1,0,0,1,0
84,87,200,200,34,34,34,35,0,1,0,0,1,0
81,84,200,200,35,34,34,34,0,1,0,0,1,0
78,81,200,200,34,35,34,34,0,1,0,0,1,0
75,78,200,200,34,34,35,34,0,1,0,0,1,0
71,75,200,200,34,34,58,35,0,1,0,0,1,0
70,71,200,200,33,34,65,58,0,1,0,0,1,0
66,70,200,200,33,33,69,65,0,1,0,0,1,0
63,66,200,200,33,33,35,69,0,1,0,0,1,0
