front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
70,69,68,68,200,200,200,200,0,1,0,0,1,0
69,70,67,68,200,200,200,200,0,1,0,0,1,0
66,69,64,67,200,200,200,200,0,1,0,0,1,0
64,66,61,64,200,200,200,200,1,0,0,0,1,0
61,64,58,61,200,200,200,200,1,0,0,1,0,0
58,61,56,58,200,200,200,200,1,0,0,1,0,0
53,58,54,56,200,200,200,200,1,0,0,1,0,0
50,53,52,54,200,200,200,200,1,0,0,1,0,0
47,50,60,52,69,200,200,200,1,0,0,1,0,0
45,47,58,60,66,69,200,200,1,0,0,1,0,0
42,45,56,58,45,66,200,200,1,0,0,1,0,0
42,42,52,56,40,45,200,200,1,0,0,1,0,0
40,42,53,52,38,40,200,200,1,0,0,1,0,0
53,40,60,53,36,38,200,200,1,0,0,1,0,0
50,53,200,60,35,36,200,200,1,0,0,1,0,0
45,50,200,200,35,35,200,200,1,0,0,1,0,0
46,45,200,200,35,35,69,200,1,0,0,1,0,0
52,46,200,200,37,35,68,69,1,0,0,1,0,0
200,52,200,200,38,37,41,68,1,0,0,1,0,0
200,200,200,200,39,38,37,41,1,0,0,1,0,0
200,200,200,200,40,39,35,37,1,0,0,1,0,0
200,200,200,200,51,40,36,35,0,1,0,1,0,0
200,200,200,200,58,51,37,36,0,1,0,0,1,0
200,200,200,200,200,58,39,37,0,1,0,0,1,0
200,200,200,200,200,200,41,39,0,1,0,0,1,0
200,200,200,200,200,200,43,41,0,1,0,0,1,0
200,200,200,200,200,200,47,43,0,0,1,0,1,0
200,200,200,200,200,200,48,47,0,0,1,0,0,1
200,200,200,200,66,200,51,48,0,0,1,0,0,1
200,200,200,200,200,66,52,51,0,1,0,0,0,1
200,200,200,200,39,200,54,52,0,1,0,0,1,0
200,200,200,200,38,39,55,54,0,1,0,0,1,0
200,200,200,200,37,38,56,55,0,1,0,0,1,0
200,200,200,200,36,37,56,56,0,1,0,0,1,0
200,200,200,200,36,36,38,56,0,1,0,0,1,0
200,200,200,200,35,36,36,38,0,1,0,0,1,0
200,200,200,200,35,35,37,36,0,1,0,0,1,0
200,200,200,200,35,35,35,37,0,1,0,0,1,0
200,200,200,200,35,35,35,35,0,1,0,0,1,0
200,200,200,200,33,35,38,35,0,1,0,0,1,0
200,200,200,200,33,33,38,38,0,1,0,0,1,0
200,200,200,200,33,33,46,38,0,1,0,0,1,0
200,200,200,200,33,33,126,46,0,1,0,0,1,0
200,200,200,200,200,33,120,126,0,1,0,0,1,0
200,200,200,200,200,200,51,120,0,1,0,0,1,0
200,200,200,200,200,200,53,51,0,1,0,0,1,0
200,200,200,200,200,200,57,53,0,1,0,0,1,0
200,200,200,200,200,200,58,57,0,1,0,0,1,0
200,200,200,200,200,200,63,58,0,1,0,0,1,0
200,200,200,200,200,200,58,63,0,0,1,0,1,0
200,200,200,200,200,200,59,58,0,0,1,0,0,1
200,200,200,200,200,200,62,59,0,0,1,0,0,1
200,200,200,200,200,200,200,62,0,0,1,0,0,1
200,200,200,200,200,200,200,200,0,0,1,0,0,1
200,200,200,200,200,200,200,200,0,1,0,0,0,1
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,0,1,0,1,0
200,200,200,200,59,200,200,200,0,1,0,0,0,1
200,200,200,200,200,59,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,30,200,200,200,0,1,0,0,1,0
200,200,200,200,29,30,200,200,0,1,0,0,1,0
200,200,200,200,30,29,200,200,0,1,0,0,1,0
200,200,200,200,28,30,200,200,0,1,0,0,1,0
178,200,200,200,29,28,37,200,0,1,0,0,1,0
