front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
200,200,200,200,33,33,33,33,0,1,0,0,1,0
200,200,200,200,33,33,35,33,0,1,0,0,1,0
200,200,200,200,32,33,37,35,0,1,0,0,1,0
200,200,200,200,31,32,58,37,0,1,0,0,1,0
200,200,200,200,30,31,91,58,0,1,0,0,1,0
200,200,200,200,30,30,63,91,0,1,0,0,1,0
200,200,200,200,30,30,95,63,1,0,0,0,1,0
200,200,200,200,30,30,60,95,1,0,0,1,0,0
200,200,200,200,38,30,30,60,0,1,0,1,0,0
200,200,200,200,200,38,30,30,0,1,0,0,1,0
200,200,200,200,200,200,30,30,0,1,0,0,1,0
200,200,200,200,38,200,31,30,0,1,0,0,1,0
200,200,200,200,200,38,31,31,0,1,0,0,1,0
200,200,200,200,37,200,31,31,0,1,0,0,1,0
200,200,200,200,200,37,33,31,0,1,0,0,1,0
200,200,200,200,200,200,33,33,0,1,0,0,1,0
200,200,200,200,200,200,34,33,0,1,0,0,1,0
200,200,200,200,200,200,34,34,0,1,0,0,1,0
200,200,200,200,200,200,34,34,0,1,0,0,1,0
200,200,200,200,200,200,55,34,0,1,0,0,1,0
200,200,200,200,200,200,58,55,0,0,1,0,1,0
200,200,200,200,200,200,63,58,0,0,1,0,0,1
200,200,200,200,200,200,156,63,0,0,1,0,0,1
200,200,200,200,200,200,157,156,0,0,1,0,0,1
200,200,200,200,200,200,160,157,0,0,1,0,0,1
200,200,200,200,60,200,61,160,0,1,0,0,0,1
200,200,138,200,200,60,65,61,0,1,0,0,1,0
200,200,136,138,200,200,164,65,0,1,0,0,1,0
200,200,134,136,200,200,166,164,0,1,0,0,1,0
200,200,132,134,200,200,168,166,0,1,0,0,1,0
200,200,129,132,200,200,170,168,0,0,1,0,1,0
200,200,128,129,200,200,75,170,0,0,1,0,0,1
200,200,129,128,37,200,76,75,0,1,0,0,0,1
200,200,131,129,36,37,69,76,0,1,0,0,1,0
200,200,132,131,36,36,75,69,0,1,0,0,1,0
200,200,132,132,36,36,74,75,0,1,0,0,1,0
200,200,134,132,200,36,200,74,0,1,0,0,1,0
200,200,135,134,117,200,200,200,0,1,0,0,1,0
200,200,137,135,31,117,200,200,0,1,0,0,1,0
200,200,136,137,104,31,200,200,0,1,0,0,1,0
200,200,200,136,103,104,200,200,0,1,0,0,1,0
200,200,200,200,102,103,200,200,0,1,0,0,1,0
200,200,200,200,101,102,200,200,0,1,0,0,1,0
200,200,200,200,99,101,117,200,0,1,0,0,1,0
200,200,200,200,98,99,116,117,0,1,0,0,1,0
200,200,200,200,97,98,101,116,0,1,0,0,1,0
200,200,200,200,96,97,92,101,0,0,1,0,1,0
200,200,200,200,94,96,98,92,0,0,1,0,0,1
200,200,200,200,67,94,72,98,0,0,1,0,0,1
200,200,200,200,88,67,73,72,0,1,0,0,0,1
200,200,200,200,63,88,76,73,0,1,0,0,1,0
88,200,200,200,82,63,200,76,0,1,0,0,1,0
200,88,200,200,79,82,200,200,0,1,0,0,1,0
82,200,200,200,76,79,76,200,0,0,1,0,1,0
80,82,200,200,60,76,65,76,0,0,1,0,0,1
74,80,200,200,58,60,77,65,0,0,1,0,0,1
70,74,200,200,56,58,45,77,0,0,1,0,0,1
67,70,200,200,37,56,44,45,0,1,0,0,0,1
63,67,200,200,35,37,41,44,0,1,0,0,1,0
60,63,200,200,34,35,85,41,0,1,0,0,1,0
57,60,200,200,34,34,200,85,0,1,0,0,1,0
53,57,200,200,33,34,200,200,0,1,0,0,1,0
50,53,200,200,32,33,66,200,0,1,0,0,1,0
46,50,200,200,32,32,34,66,0,1,0,0,1,0
47,46,200,200,31,32,33,34,0,1,0,0,1,0
39,47,200,200,31,31,34,33,1,0,0,0,1,0
37,39,200,200,32,31,200,34,1,0,0,1,0,0
34,37,200,200,35,32,31,200,1,0,0,1,0,0
32,34,200,200,35,35,30,31,1,0,0,1,0,0
31,32,200,200,29,35,30,30,1,0,0,1,0,0
72,31,200,200,28,29,30,30,1,0,0,1,0,0
79,72,200,200,27,28,30,30,1,0,0,1,0,0
200,79,200,200,26,27,32,30,1,0,0,1,0,0
200,200,200,200,31,26,35,32,1,0,0,1,0,0
200,200,200,200,65,31,37,35,1,0,0,1,0,0
200,200,200,200,66,65,42,37,0,1,0,1,0,0
200,200,200,200,66,66,30,42,0,1,0,0,1,0
200,200,200,200,66,66,30,30,0,1,0,0,1,0
200,200,200,200,67,66,30,30,0,1,0,0,1,0
200,200,200,200,67,67,30,30,0,0,1,0,1,0
200,200,200,200,65,67,32,30,0,0,1,0,0,1
200,200,200,200,62,65,34,32,0,0,1,0,0,1
200,200,200,200,51,62,36,34,0,0,1,0,0,1
200,200,200,200,56,51,65,36,0,0,1,0,0,1
80,200,200,200,53,56,67,65,0,0,1,0,0,1
55,80,200,200,51,53,70,67,0,0,1,0,0,1
50,55,200,200,48,51,53,70,0,0,1,0,0,1
47,50,73,200,48,48,58,53,0,0,1,0,0,1
43,47,70,73,37,48,75,58,0,1,0,0,0,1
40,43,68,70,36,37,77,75,1,0,0,0,1,0
37,40,65,68,36,36,77,77,1,0,0,1,0,0
35,37,64,65,37,36,76,77,1,0,0,1,0,0
34,35,64,64,54,37,58,76,1,0,0,1,0,0
34,34,200,64,34,54,36,58,1,0,0,1,0,0
57,34,200,200,30,34,34,36,1,0,0,1,0,0
55,57,200,200,30,30,35,34,1,0,0,1,0,0
53,55,200,200,28,30,35,35,1,0,0,1,0,0
51,53,200,200,27,28,38,35,1,0,0,1,0,0
51,51,200,200,28,27,40,38,1,0,0,1,0,0
200,51,200,200,29,28,44,40,1,0,0,1,0,0
200,200,200,200,31,29,57,44,1,0,0,1,0,0
200,200,200,200,43,31,35,57,0,1,0,1,0,0
200,200,200,200,42,43,36,35,0,1,0,0,1,0
200,200,200,200,40,42,37,36,0,1,0,0,1,0
200,200,200,200,200,40,31,37,0,1,0,0,1,0
200,200,200,200,38,200,31,31,0,1,0,0,1,0
200,200,200,200,39,38,31,31,0,1,0,0,1,0
200,200,200,200,200,39,32,31,0,1,0,0,1,0
200,200,200,200,73,200,34,32,0,1,0,0,1,0
200,200,200,200,71,73,34,34,0,1,0,0,1,0
200,200,200,200,68,71,34,34,0,1,0,0,1,0
200,200,200,200,64,68,35,34,0,1,0,0,1,0
