front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
97,97,111,111,9,9,10,10,0,1,0,0,1,0
97,97,111,111,9,9,10,10,1,0,0,0,1,0
94,97,110,111,9,9,52,10,1,0,0,1,0,0
92,94,108,110,130,9,7,52,1,0,0,1,0,0
90,92,200,108,92,130,6,7,1,0,0,1,0,0
88,90,200,200,89,92,5,6,1,0,0,1,0,0
88,88,200,200,85,89,6,5,1,0,0,1,0,0
92,88,200,200,83,85,7,6,1,0,0,1,0,0
90,92,59,200,82,83,8,7,0,1,0,1,0,0
89,90,200,59,80,82,10,8,0,1,0,0,1,0
86,89,200,200,78,80,13,10,0,1,0,0,1,0
83,86,200,200,76,78,16,13,0,0,1,0,1,0
80,83,200,200,73,76,18,16,0,0,1,0,0,1
74,80,200,200,70,73,20,18,0,0,1,0,0,1
70,74,200,200,68,70,22,20,0,1,0,0,0,1
66,70,200,200,66,68,25,22,0,1,0,0,1,0
63,66,200,200,63,66,27,25,0,0,1,0,1,0
60,63,200,200,61,63,30,27,0,0,1,0,0,1
57,60,61,200,37,61,30,30,0,1,0,0,0,1
54,57,57,61,33,37,30,30,0,1,0,0,1,0
51,54,56,57,33,33,32,30,0,1,0,0,1,0
49,51,53,56,31,33,31,32,0,1,0,0,1,0
46,49,51,53,31,31,32,31,1,0,0,0,1,0
43,46,49,51,31,31,58,32,1,0,0,1,0,0
41,43,47,49,36,31,30,58,1,0,0,1,0,0
39,41,45,47,44,36,29,30,1,0,0,1,0,0
37,39,50,45,39,44,29,29,1,0,0,1,0,0
38,37,108,50,36,39,30,29,1,0,0,1,0,0
38,38,145,108,34,36,29,30,1,0,0,1,0,0
37,38,200,145,32,34,30,29,1,0,0,1,0,0
37,37,200,200,32,32,32,30,1,0,0,1,0,0
36,37,200,200,31,32,35,32,1,0,0,1,0,0
200,36,200,200,30,31,37,35,1,0,0,1,0,0
139,200,200,200,30,30,41,37,0,1,0,1,0,0
200,139,200,200,30,30,37,41,0,1,0,0,1,0
200,200,200,200,27,30,37,37,0,1,0,0,1,0
200,200,200,200,27,27,36,37,0,1,0,0,1,0
200,200,200,200,29,27,37,36,0,1,0,0,1,0
200,200,200,200,37,29,37,37,0,1,0,0,1,0
200,200,200,200,200,37,37,37,0,1,0,0,1,0
200,200,200,200,34,200,37,37,0,1,0,0,1,0
200,200,200,200,35,34,35,37,0,1,0,0,1,0
200,200,200,200,35,35,59,35,0,1,0,0,1,0
200,200,200,200,35,35,83,59,0,1,0,0,1,0
200,200,200,200,34,35,26,83,0,1,0,0,1,0
200,200,200,200,34,34,27,26,0,1,0,0,1,0
200,200,200,200,35,34,30,27,0,1,0,0,1,0
200,200,200,200,34,35,31,30,0,1,0,0,1,0
200,200,200,200,34,34,28,31,0,1,0,0,1,0
