front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
57,57,78,78,93,94,60,60,0,1,0,0,1,0
57,57,81,78,93,93,59,60,0,1,0,0,1,0
55,57,76,81,91,93,58,59,0,1,0,0,1,0
52,55,72,76,90,91,58,58,0,1,0,0,1,0
49,52,58,72,163,90,59,58,0,1,0,0,1,0
46,49,66,58,161,163,61,59,0,1,0,0,1,0
41,46,63,66,161,161,69,61,0,1,0,0,1,0
38,41,60,63,163,161,69,69,1,0,0,0,1,0
35,38,59,60,154,163,70,69,1,0,0,1,0,0
33,35,125,59,153,154,67,70,1,0,0,1,0,0
34,33,121,125,200,153,78,67,1,0,0,1,0,0
38,34,118,121,31,200,80,78,1,0,0,1,0,0
48,38,115,118,29,31,113,80,1,0,0,1,0,0
45,48,85,115,27,29,149,113,1,0,0,1,0,0
112,45,82,85,27,27,83,149,1,0,0,1,0,0
108,112,79,82,30,27,155,83,1,0,0,1,0,0
104,108,76,79,67,30,37,155,0,1,0,1,0,0
101,104,74,76,38,67,34,37,0,1,0,0,1,0
99,101,71,74,37,38,33,34,0,1,0,0,1,0
95,99,68,71,38,37,32,33,0,1,0,0,1,0
91,95,66,68,36,38,33,32,0,1,0,0,1,0
89,91,63,66,39,36,33,33,0,1,0,0,1,0
85,89,60,63,36,39,33,33,0,1,0,0,1,0Ы
