front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
137,137,142,142,30,30,50,50,0,1,0,0,1,0
138,137,142,142,30,30,50,50,0,1,0,0,1,0
165,138,139,142,30,30,50,50,0,1,0,0,1,0
130,165,140,139,28,30,51,50,0,1,0,0,1,0
126,130,87,140,27,28,53,51,0,1,0,0,1,0
123,126,132,87,24,27,56,53,0,1,0,0,1,0
119,123,129,132,22,24,59,56,1,0,0,0,1,0
110,119,127,129,23,22,58,59,1,0,0,1,0,0
148,110,130,127,78,23,59,58,1,0,0,1,0,0
118,148,128,130,79,78,68,59,0,1,0,1,0,0
114,118,51,128,79,79,74,68,0,1,0,0,1,0
111,114,49,51,81,79,27,74,0,1,0,0,1,0
108,111,49,49,97,81,63,27,0,1,0,0,1,0
104,108,47,49,96,97,68,63,0,0,1,0,1,0
101,104,48,47,94,96,72,68,0,0,1,0,0,1
98,101,110,48,82,94,74,72,0,0,1,0,0,1
96,98,96,110,76,82,73,74,0,0,1,0,0,1
96,96,93,96,74,76,72,73,0,0,1,0,0,1
85,96,61,93,70,74,61,72,0,0,1,0,0,1
80,85,64,61,68,70,59,61,0,0,1,0,0,1
77,80,92,64,65,68,61,59,0,1,0,0,0,1
73,77,95,92,63,65,64,61,0,1,0,0,1,0
70,73,95,95,60,63,64,64,0,0,1,0,1,0
67,70,70,95,58,60,67,64,0,1,0,0,0,1
63,67,66,70,55,58,69,67,0,1,0,0,1,0
60,63,62,66,53,55,70,69,0,1,0,0,1,0
57,60,59,62,51,53,72,70,0,1,0,0,1,0
53,57,57,59,47,51,73,72,0,1,0,0,1,0
51,53,54,57,44,47,75,73,0,1,0,0,1,0
47,51,51,54,33,44,77,75,0,1,0,0,1,0
44,47,48,51,33,33,30,77,1,0,0,0,1,0
43,44,47,48,35,33,30,30,1,0,0,1,0,0
40,43,46,47,34,35,29,30,1,0,0,1,0,0
40,40,88,46,33,34,28,29,1,0,0,1,0,0
39,40,82,88,35,33,28,28,1,0,0,1,0,0
38,39,84,82,36,35,30,28,1,0,0,1,0,0
35,38,81,84,36,36,32,30,1,0,0,1,0,0
36,35,79,81,33,36,35,32,1,0,0,1,0,0
72,36,77,79,29,33,36,35,1,0,0,1,0,0
70,72,75,77,29,29,35,36,0,1,0,1,0,0
70,70,74,75,28,29,37,35,0,1,0,0,1,0
66,70,72,74,29,28,38,37,0,1,0,0,1,0
62,66,68,72,29,29,41,38,0,1,0,0,1,0
59,62,66,68,27,29,37,41,0,1,0,0,1,0
57,59,73,66,29,27,37,37,0,1,0,0,1,0
55,57,61,73,27,29,39,37,0,1,0,0,1,0
53,55,68,61,27,27,38,39,0,1,0,0,1,0
51,53,67,68,29,27,37,38,1,0,0,0,1,0
47,51,65,67,30,29,38,37,1,0,0,1,0,0
45,47,61,65,48,30,28,38,1,0,0,1,0,0
44,45,60,61,44,48,24,28,1,0,0,1,0,0
44,44,60,60,42,44,24,24,1,0,0,1,0,0
56,44,62,60,41,42,25,24,1,0,0,1,0,0
55,56,89,62,39,41,27,25,0,1,0,1,0,0
52,55,87,89,37,39,28,27,0,1,0,0,1,0
51,52,84,87,36,37,30,28,0,1,0,0,1,0
48,51,82,84,34,36,33,30,0,1,0,0,1,0
46,48,79,82,32,34,35,33,1,0,0,0,1,0
45,46,77,79,32,32,38,35,1,0,0,1,0,0
75,45,75,77,31,32,41,38,1,0,0,1,0,0
72,75,74,75,33,31,45,41,1,0,0,1,0,0
69,72,151,74,33,33,45,45,0,1,0,1,0,0
67,69,132,151,36,33,49,45,0,1,0,0,1,0
63,67,131,132,40,36,51,49,0,1,0,0,1,0
60,63,130,131,67,40,53,51,0,1,0,0,1,0
57,60,128,130,59,67,57,53,0,1,0,0,1,0
54,57,127,128,62,59,58,57,0,1,0,0,1,0
51,54,125,127,53,62,62,58,0,1,0,0,1,0
48,51,124,125,51,53,65,62,0,1,0,0,1,0
44,48,123,124,48,51,38,65,0,1,0,0,1,0
42,44,123,123,45,48,37,38,1,0,0,0,1,0
39,42,120,123,40,45,37,37,1,0,0,1,0,0
37,39,118,120,37,40,29,37,1,0,0,1,0,0
38,37,115,118,35,37,29,29,1,0,0,1,0,0
137,38,113,115,33,35,30,29,1,0,0,1,0,0
132,137,82,113,32,33,31,30,1,0,0,1,0,0
129,132,111,82,32,32,35,31,1,0,0,1,0,0
110,129,82,111,32,32,37,35,1,0,0,1,0,0
104,110,79,82,34,32,41,37,0,1,0,1,0,0
100,104,78,79,35,34,52,41,0,1,0,0,1,0
97,100,103,78,36,35,38,52,0,1,0,0,1,0
95,97,72,103,37,36,37,38,0,1,0,0,1,0
92,95,68,72,37,37,37,37,0,1,0,0,1,0
88,92,66,68,37,37,35,37,0,1,0,0,1,0
85,88,97,66,37,37,36,35,0,1,0,0,1,0
82,85,61,97,37,37,35,36,0,1,0,0,1,0

