front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
48,49,59,59,200,200,177,176,0,1,0,0,1,0
48,48,58,59,46,200,176,177,0,1,0,0,1,0
46,48,58,58,47,46,177,176,0,1,0,0,1,0
43,46,58,58,200,47,177,177,1,0,0,0,1,0
39,43,56,58,41,200,177,177,1,0,0,1,0,0
38,39,53,56,39,41,176,177,1,0,0,1,0,0
37,38,51,53,36,39,176,176,1,0,0,1,0,0
38,37,49,51,34,36,176,176,1,0,0,1,0,0
43,38,47,49,32,34,178,176,1,0,0,1,0,0
49,43,46,47,32,32,180,178,1,0,0,1,0,0
46,49,44,46,32,32,181,180,1,0,0,1,0,0
42,46,42,44,32,32,44,181,1,0,0,1,0,0
38,42,41,42,31,32,187,44,1,0,0,1,0,0
36,38,200,41,32,31,200,187,1,0,0,1,0,0
34,36,200,200,33,32,38,200,1,0,0,1,0,0
32,34,200,200,35,33,35,38,1,0,0,1,0,0
29,32,200,200,37,35,34,35,1,0,0,1,0,0
29,29,200,200,31,37,33,34,1,0,0,1,0,0
28,29,200,200,30,31,33,33,1,0,0,1,0,0
66,28,200,200,50,30,32,33,1,0,0,1,0,0
66,66,200,200,23,50,34,32,1,0,0,1,0,0
71,66,200,200,22,23,34,34,1,0,0,1,0,0
200,71,200,200,23,22,37,34,1,0,0,1,0,0
200,200,200,200,60,23,38,37,1,0,0,1,0,0
200,200,200,200,59,60,42,38,0,1,0,1,0,0
200,200,200,200,51,59,46,42,0,1,0,0,1,0
200,200,200,200,48,51,49,46,1,0,0,0,1,0
200,200,200,200,58,48,30,49,0,1,0,1,0,0
200,200,200,200,58,58,27,30,0,1,0,0,1,0
200,200,200,200,58,58,30,27,0,1,0,0,1,0
200,200,200,200,57,58,28,30,0,0,1,0,1,0
58,200,200,200,55,57,29,28,0,0,1,0,0,1
200,58,200,200,53,55,31,29,0,0,1,0,0,1
200,200,200,200,50,53,32,31,0,0,1,0,0,1
73,200,200,200,47,50,35,32,0,0,1,0,0,1
50,73,200,200,46,47,39,35,0,0,1,0,0,1
46,50,200,200,43,46,55,39,0,0,1,0,0,1
42,46,200,200,43,43,58,55,1,0,0,0,0,1
39,42,65,200,40,43,76,58,1,0,0,1,0,0
38,39,200,65,37,40,38,76,1,0,0,1,0,0
39,38,200,200,35,37,37,38,1,0,0,1,0,0
57,39,200,200,33,35,36,37,1,0,0,1,0,0
55,57,200,200,32,33,37,36,1,0,0,1,0,0
54,55,200,200,33,32,38,37,1,0,0,1,0,0
200,54,200,200,32,33,41,38,1,0,0,1,0,0
200,200,200,200,34,32,46,41,1,0,0,1,0,0
200,200,200,200,35,34,37,46,1,0,0,1,0,0
200,200,200,200,38,35,35,37,0,1,0,1,0,0
200,200,200,200,39,38,34,35,0,1,0,0,1,0
200,200,200,200,40,39,36,34,0,0,1,0,1,0
200,200,200,200,37,40,37,36,0,1,0,0,0,1
200,200,200,200,36,37,38,37,0,1,0,0,1,0
63,200,200,200,35,36,38,38,0,1,0,0,1,0
200,63,200,200,35,35,39,38,0,1,0,0,1,0
200,200,200,200,35,35,37,39,0,1,0,0,1,0
200,200,200,200,34,35,38,37,0,1,0,0,1,0
200,200,200,200,200,34,37,38,0,1,0,0,1,0
